Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,1990-04-26,,IND,W,104,92,,43,91,0.473,2,3,0.667,41,88,0.466,0.484,16,20,0.8,21,25,46,16,3,5,17,28,33,71,0.465,2,8,0.25,31,63,0.492,0.479,24,27,0.889,8,24,32,21,3,3,15,27
2,2,1990-04-28,,IND,W,100,87,,35,75,0.467,1,5,0.2,34,70,0.486,0.473,29,35,0.829,10,24,34,23,6,4,10,22,37,78,0.474,2,9,0.222,35,69,0.507,0.487,11,16,0.688,13,23,36,16,5,3,17,29
3,3,1990-05-01,@,IND,W,108,96,,44,87,0.506,2,5,0.4,42,82,0.512,0.517,18,24,0.75,13,30,43,25,7,2,7,25,35,79,0.443,1,6,0.167,34,73,0.466,0.449,25,30,0.833,12,29,41,15,3,1,12,21
4,4,1990-05-08,,NYK,W,112,77,,48,92,0.522,3,7,0.429,45,85,0.529,0.538,13,22,0.591,15,38,53,26,8,6,12,17,32,90,0.356,3,9,0.333,29,81,0.358,0.372,10,22,0.455,21,28,49,17,6,5,18,24
5,5,1990-05-10,,NYK,W,104,97,,41,80,0.513,6,9,0.667,35,71,0.493,0.55,16,20,0.8,14,28,42,25,4,3,16,20,39,78,0.5,2,4,0.5,37,74,0.5,0.513,17,22,0.773,12,25,37,28,11,3,12,20
6,6,1990-05-12,@,NYK,L,103,111,,39,89,0.438,4,11,0.364,35,78,0.449,0.461,21,35,0.6,18,22,40,23,10,2,11,24,37,70,0.529,3,9,0.333,34,61,0.557,0.55,34,36,0.944,9,39,48,28,8,5,15,23
7,7,1990-05-13,@,NYK,W,102,90,,45,78,0.577,1,6,0.167,44,72,0.611,0.583,11,15,0.733,12,30,42,25,4,6,14,25,33,81,0.407,1,4,0.25,32,77,0.416,0.414,23,27,0.852,15,18,33,22,6,3,9,24
8,8,1990-05-15,,NYK,W,95,84,,38,82,0.463,2,9,0.222,36,73,0.493,0.476,17,19,0.895,11,33,44,18,7,5,13,22,33,77,0.429,1,6,0.167,32,71,0.451,0.435,17,20,0.85,6,28,34,23,7,4,14,16
9,9,1990-05-20,,CHI,W,86,77,,33,78,0.423,3,8,0.375,30,70,0.429,0.442,17,25,0.68,12,36,48,17,7,7,16,19,31,82,0.378,4,12,0.333,27,70,0.386,0.402,11,16,0.688,7,29,36,16,8,2,15,22
10,10,1990-05-22,,CHI,W,102,93,,34,73,0.466,1,5,0.2,33,68,0.485,0.473,33,43,0.767,11,33,44,20,8,5,19,23,31,76,0.408,3,10,0.3,28,66,0.424,0.428,28,35,0.8,8,27,35,18,7,6,19,34
