Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2023/10/25,,DAL,L,119,126,,46,89,0.517,11,35,0.314,35,54,0.648,0.579,16,22,0.727,9,36,45,33,8,5,19,23,47,99,0.475,15,47,0.319,32,52,0.615,0.551,17,23,0.739,13,35,48,24,6,3,12,20
2,2,2023/10/27,,HOU,W,126,122,OT,46,94,0.489,13,42,0.31,33,52,0.635,0.559,21,28,0.75,12,31,43,32,11,4,18,17,52,100,0.52,8,32,0.25,44,68,0.647,0.56,10,20,0.5,11,32,43,30,7,2,18,26
3,3,2023/10/29,@,LAC,L,83,123,,30,80,0.375,11,33,0.333,19,47,0.404,0.444,12,16,0.75,6,31,37,21,9,6,25,23,47,91,0.516,16,42,0.381,31,49,0.633,0.604,13,21,0.619,9,39,48,23,15,5,16,16
4,4,2023/10/31,@,PHO,W,115,114,,43,92,0.467,14,37,0.378,29,55,0.527,0.543,15,20,0.75,8,29,37,25,10,9,12,17,42,83,0.506,18,39,0.462,24,44,0.545,0.614,12,15,0.8,6,37,43,29,8,7,19,18
5,5,2023/11/2,@,PHO,W,132,121,,51,98,0.52,18,37,0.486,33,61,0.541,0.612,12,13,0.923,9,32,41,37,7,5,8,21,43,80,0.538,16,32,0.5,27,48,0.563,0.638,19,26,0.731,5,29,34,26,5,4,14,15
6,6,2023/11/5,,TOR,L,116,123,OT,48,96,0.5,10,32,0.313,38,64,0.594,0.552,10,13,0.769,9,37,46,30,7,7,17,21,44,97,0.454,19,48,0.396,25,49,0.51,0.552,16,26,0.615,13,34,47,29,12,6,15,15
7,7,2023/11/6,@,IND,L,111,152,,40,94,0.426,8,26,0.308,32,68,0.471,0.468,23,30,0.767,12,24,36,26,7,5,11,15,55,95,0.579,20,38,0.526,35,57,0.614,0.684,22,23,0.957,9,40,49,38,7,4,15,24
8,8,2023/11/8,@,NYK,L,105,126,,44,90,0.489,9,34,0.265,35,56,0.625,0.539,8,13,0.615,11,35,46,31,2,7,13,22,46,100,0.46,19,42,0.452,27,58,0.466,0.555,15,22,0.682,13,34,47,28,7,0,4,14
9,9,2023/11/10,,MIN,L,110,117,,43,92,0.467,12,34,0.353,31,58,0.534,0.533,12,19,0.632,7,31,38,29,9,8,14,21,43,87,0.494,10,27,0.37,33,60,0.55,0.552,21,27,0.778,13,38,51,23,6,4,18,19
10,10,2023/11/12,,MIA,L,113,118,,42,91,0.462,19,44,0.432,23,47,0.489,0.566,10,12,0.833,11,39,50,35,3,6,17,21,39,89,0.438,12,31,0.387,27,58,0.466,0.506,28,30,0.933,11,30,41,26,7,3,7,12
