,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024/10/24,@,DAL,L,109,120,,39,86,0.453,12,36,0.333,27,50,0.54,0.523,19,24,0.792,12,40,52,30,6,5,19,18,42,102,0.412,19,44,0.432,23,58,0.397,0.505,17,23,0.739,17,33,50,27,9,5,10,21
2,2,2024/10/26,,HOU,W,109,106,,39,79,0.494,8,20,0.4,31,59,0.525,0.544,23,28,0.821,10,39,49,23,6,7,17,18,38,92,0.413,13,41,0.317,25,51,0.49,0.484,17,21,0.81,8,26,34,21,10,3,11,24
3,3,2024/10/28,,HOU,L,101,106,,37,87,0.425,10,33,0.303,27,54,0.5,0.483,17,21,0.81,17,32,49,22,6,6,17,21,35,85,0.412,15,37,0.405,20,48,0.417,0.5,21,24,0.875,13,30,43,20,6,2,12,23
4,4,2024/10/30,@,OKC,L,93,105,,35,85,0.412,12,36,0.333,23,49,0.469,0.482,11,13,0.846,13,39,52,22,6,6,22,8,41,89,0.461,17,41,0.415,24,48,0.5,0.556,6,8,0.75,5,34,39,28,18,6,14,15
5,5,2024/10/31,@,UTA,W,106,88,,38,92,0.413,12,43,0.279,26,49,0.531,0.478,18,23,0.783,11,31,42,25,17,7,11,17,32,82,0.39,7,32,0.219,25,50,0.5,0.433,17,19,0.895,15,38,53,19,6,6,26,19
6,6,2024/11/2,,MIN,W,113,103,,43,83,0.518,13,42,0.31,30,41,0.732,0.596,14,17,0.824,7,37,44,32,6,5,13,16,39,82,0.476,11,37,0.297,28,45,0.622,0.543,14,20,0.7,6,26,32,21,7,2,13,16
7,7,2024/11/4,@,LAC,L,104,113,,38,86,0.442,11,41,0.268,27,45,0.6,0.506,17,19,0.895,12,33,45,22,9,10,14,16,41,90,0.456,19,37,0.514,22,53,0.415,0.561,12,17,0.706,16,28,44,25,6,7,11,21
8,8,2024/11/6,@,HOU,L,100,127,,37,83,0.446,14,36,0.389,23,47,0.489,0.53,12,16,0.75,8,33,41,20,6,6,20,13,54,96,0.563,10,27,0.37,44,69,0.638,0.615,9,15,0.6,11,34,45,28,10,5,12,13
9,9,2024/11/7,,POR,W,118,105,,44,82,0.537,16,39,0.41,28,43,0.651,0.634,14,18,0.778,12,33,45,35,9,4,16,15,41,86,0.477,9,32,0.281,32,54,0.593,0.529,14,22,0.636,14,27,41,23,7,3,14,14
