--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
24,Cam Spencer,SG,6-3,205,April 6 2000,us US,1,Loyola (MD) Rutgers University UConn
0,Jaylen Wells,SG,6-7,206,August 26 2003,us US,1,Sonoma State University Washington State
23,Cedric Coward,SG,6-5,206,September 11 2003,us US,R,Willamette University Eastern Washington Washington State
45,GG Jackson II,PF,6-9,210,December 17 2004,us US,2,South Carolina
18,Olivier-Maxence Prosper,PF,6-7,230,July 3 2002,ca CA,2,Clemson Marquette
3,Kentavious Caldwell-Pope,SG,6-5,204,February 18 1993,us US,12,Georgia
7,Santi Aldama,PF,7-0,215,January 10 2001,es ES,4,Loyola (MD)
10,Javon Small  (TW),PG,6-1,190,December 19 2002,us US,R,East Carolina University Oklahoma State West Virginia
21,Jahmai Mashack  (TW),SG,6-4,203,November 10 2002,us US,R,Tennessee
22,Taylor Hendricks,PF,6-9,215,November 22 2003,us US,2,Central Florida
4,Walter Clayton,PG,6-4,195,March 6 2003,us US,R,Iona College Florida
12,Ja Morant,PG,6-2,174,August 10 1999,us US,6,Murray State
32,Rayan Rupert  (TW),SG,6-7,205,May 31 2004,fr FR,2,
2,Ty Jerome,SG,6-5,195,July 8 1997,us US,6,Virginia
14,Zach Edey,C,7-3,305,May 14 2002,ca CA,1,Purdue
1,Scotty Pippen Jr.,PG,6-2,170,November 10 2000,us US,3,Vanderbilt
67,Taj Gibson,C,6-9,232,June 24 1985,us US,16,USC
15,Brandon Clarke,PF,6-8,215,September 19 1996,ca CA,6,San Jose State Gonzaga


--- When using SR data, please cite us and provide a link and/or a mention.


 
,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19730,3390,7431,.456,1143,3241,.353,2247,4190,.536,1480,1867,.793,916,2538,3454,2283,723,393,1236,1680,9403
Team/G,,240.6,41.3,90.6,.456,13.9,39.5,.353,27.4,51.1,.536,18.0,22.8,.793,11.2,31.0,42.1,27.8,8.8,4.8,15.1,20.5,114.7
Lg Rank,,26,21,4,27,12,8,22,23,19,22,16,20,9,16,26,23,10,10,16,20,21,20
Year/Year,,0.1%,-7.6%,-2.9%,-.023,0.2%,4.3%,-.015,-11.2%,-7.9%,-.020,-1.3%,-2.1%,+.007,-13.3%,-10.0%,-10.9%,-2.0%,-0.4%,-14.9%,-3.8%,-1.8%,-5.8%
Opponent,82,19730,3615,7458,.485,1151,3162,.364,2464,4296,.574,1515,1954,.775,1044,2792,3836,2314,724,434,1272,1599,9896
Opponent/G,,240.6,44.1,91.0,.485,14.0,38.6,.364,30.0,52.4,.574,18.5,23.8,.775,12.7,34.0,46.8,28.2,8.8,5.3,15.5,19.5,120.7
Lg Rank,,26,25,22,25,24,23,21,25,17,26,16,18,10,29,24,29,26,22,22,8,20,26
Year/Year,,0.1%,5.2%,-0.9%,+.028,-0.9%,-2.1%,+.004,8.4%,-0.1%,+.045,-2.3%,-2.9%,+.005,10.5%,6.4%,7.5%,4.4%,2.0%,-3.6%,2.4%,-3.3%,3.3%


--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,Advanced,Advanced,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Team,25,57,27,55,-6.01,0.18,-5.83,112.9,118.8,101.3,.251,.436,.533,13.0,24.7,.199,.562,13.3,70.9,.203,FedExForum,632000
Lg Rank,25,6,24,24,24,9,24,25,24,7,21,10,24,18,19,19,26,9,29,14,,30




--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Toby Okani,24,SG,6,4,36.2,4.2,11.7,.357,1.5,5.2,.290,2.7,6.5,.410,.421,0.2,1.3,.125,1.5,2.0,3.5,1.0,0.7,0.5,0.5,3.3,10.0,,okanito01
2,Lucas Williamson,27,SG,7,2,32.0,3.6,10.7,.333,2.1,7.6,.283,1.4,3.1,.455,.433,1.1,1.1,1.000,1.6,3.9,5.4,2.6,1.6,0.1,1.4,3.7,10.4,,willilu01
3,Rayan Rupert,21,SG,16,8,30.9,4.4,10.4,.422,1.4,4.1,.338,3.0,6.3,.475,.488,2.1,2.5,.825,1.6,4.8,6.4,2.1,1.6,0.4,1.7,4.0,12.2,,ruperra01
4,Jaren Jackson Jr.,26,C,45,45,30.7,7.1,14.9,.475,1.8,4.9,.359,5.3,10.0,.531,.534,3.3,4.2,.797,0.9,4.8,5.8,1.9,1.0,1.5,2.2,3.8,19.2,,jacksja02
5,Dariq Whitehead,21,SF,6,2,30.5,6.2,15.5,.398,3.2,10.0,.317,3.0,5.5,.545,.500,0.8,1.2,.714,0.3,3.7,4.0,1.5,0.7,0.0,1.7,2.2,16.3,,whiteda01
6,Adama-Alpha Bal,22,SG,8,1,30.1,3.5,8.5,.412,2.3,5.5,.409,1.3,3.0,.417,.544,1.1,1.3,.900,0.8,2.4,3.1,2.4,1.1,0.1,0.8,3.4,10.4,,balad01
7,Ja Morant,26,PG,20,20,28.5,6.6,16.1,.410,1.0,4.3,.235,5.6,11.9,.473,.441,5.3,5.9,.897,0.4,2.9,3.3,8.1,1.0,0.3,3.6,2.0,19.5,,moranja01
8,Santi Aldama,25,PF,43,11,27.9,5.3,11.1,.479,1.6,4.7,.350,3.7,6.4,.572,.553,1.8,2.7,.667,1.6,5.1,6.7,2.9,0.9,0.7,1.3,1.6,14.0,,aldamsa01
9,Jaylen Wells,22,SG,69,69,26.4,4.4,10.1,.431,1.9,5.3,.353,2.5,4.8,.517,.524,1.9,2.5,.784,0.9,2.3,3.2,1.6,0.9,0.1,1.1,2.1,12.5,,wellsja01
10,Zach Edey,23,C,11,11,25.8,5.6,8.9,.633,0.1,0.5,.200,5.5,8.5,.656,.638,2.3,2.9,.781,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,13.6,,edeyza01
11,Cedric Coward,22,SG,62,47,25.8,4.9,10.5,.471,1.5,4.4,.338,3.4,6.0,.568,.542,2.3,2.7,.843,1.3,4.5,5.9,2.8,0.6,0.4,1.7,2.0,13.6,ROY-5,cowarce01
12,Tyler Burton,25,SF,12,0,25.6,3.5,9.3,.375,1.8,5.5,.333,1.7,3.8,.435,.473,1.9,2.3,.852,0.7,3.5,4.2,1.0,0.9,0.3,0.9,2.6,10.8,,burtoty01
13,Walter Clayton,22,PG,24,6,25.0,3.1,8.5,.366,1.3,4.2,.307,1.8,4.3,.423,.441,2.1,2.5,.864,0.4,1.7,2.1,5.7,0.8,0.3,2.5,1.7,9.7,,claytwa01
14,Lawson Lovering,22,C,2,1,24.5,3.0,5.0,.600,0.0,0.0,,3.0,5.0,.600,.600,1.0,2.5,.400,3.0,4.5,7.5,1.5,1.5,0.5,1.0,3.5,7.0,,loverla01
15,Taylor Hendricks,22,PF,26,11,24.1,4.0,8.7,.463,1.5,4.4,.342,2.5,4.3,.584,.548,1.0,1.5,.650,1.4,3.3,4.7,1.2,1.4,0.8,1.2,2.3,10.6,,hendrta01
16,Cam Spencer,25,SG,72,20,23.8,3.7,7.7,.473,2.0,4.5,.449,1.6,3.2,.506,.604,1.8,1.9,.940,0.6,2.0,2.5,5.6,0.7,0.2,1.3,1.4,11.1,,spencca01
17,Jock Landale,30,C,45,25,23.6,4.4,8.6,.514,1.1,2.9,.380,3.4,5.8,.581,.577,1.3,2.0,.674,3.1,3.4,6.5,1.7,0.6,0.5,1.0,2.3,11.3,,landajo01
18,Ty Jerome,28,SG,15,15,22.6,6.8,14.3,.474,2.8,6.7,.420,4.0,7.7,.522,.572,3.3,3.7,.875,0.7,2.1,2.8,5.7,1.1,0.3,1.8,2.1,19.7,,jeromty01
