--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Keldon Johnson,SF,6-6,220,October 11 1999,us US,6,Kentucky
30,Julian Champagnie,SF,6-7,217,June 29 2001,us US,3,St. John's
40,Harrison Barnes,PF,6-7,225,May 30 1992,us US,13,UNC
4,De'Aaron Fox,PG,6-3,185,December 20 1997,us US,8,Kentucky
11,Carter Bryant,PF,6-6,220,November 26 2005,us US,R,Arizona
2,Dylan Harper,SG,6-5,215,March 2 2006,us US,R,Rutgers University
5,Stephon Castle,PG,6-6,215,November 1 2004,us US,1,UConn
7,Luke Kornet,C,7-1,250,July 15 1995,us US,8,Vanderbilt
24,Devin Vassell,SG,6-5,200,August 23 2000,us US,5,Florida State
1,Victor Wembanyama,C,7-4,235,January 4 2004,fr FR,2,
0,Jordan McLaughlin,PG,5-11,185,April 9 1996,us US,6,USC
8,Kelly Olynyk,C,7-0,240,April 19 1991,ca CA,12,Gonzaga
43,Lindy Waters III,SG,6-5,210,July 28 1997,us US,4,Oklahoma State
18,Bismack Biyombo,C,6-8,255,August 28 1992,cd CD,14,
25,David Jones García  (TW),SF,6-4,210,November 24 2001,do DO,R,DePaul St. John's Memphis
55,Harrison Ingram  (TW),SF,6-5,230,November 27 2002,us US,1,Stanford UNC
45,Mason Plumlee,C,7-0,254,March 5 1990,us US,12,Duke
,Emanuel Miller  (TW),PF,6-5,215,June 19 2000,ca CA,1,Texas A&M TCU



--- When using SR data, please cite us and provide a link and/or a mention.


 
,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19730,3562,7371,.483,1116,3108,.359,2446,4263,.574,1586,2016,.787,935,2921,3856,2302,617,447,1103,1546,9826
Team/G,,240.6,43.4,89.9,.483,13.6,37.9,.359,29.8,52.0,.574,19.3,24.6,.787,11.4,35.6,47.0,28.1,7.5,5.5,13.5,18.9,119.8
Lg Rank,,26,4,13,6,16,14,15,10,13,3,11,13,12,14,1,2,9,25,8,4,4,3
Year/Year,,0.0%,4.0%,0.1%,+.018,-3.6%,-4.3%,+.002,7.8%,3.6%,+.023,19.1%,17.1%,+.013,4.4%,8.8%,7.7%,-2.0%,-8.5%,-1.8%,-3.1%,13.4%,5.2%
Opponent,82,19730,3366,7469,.451,1066,3028,.352,2300,4441,.518,1347,1705,.790,856,2635,3491,2148,628,374,1064,1659,9145
Opponent/G,,240.6,41.0,91.1,.451,13.0,36.9,.352,28.0,54.2,.518,16.4,20.8,.790,10.4,32.1,42.6,26.2,7.7,4.6,13.0,20.2,111.5
Lg Rank,,26,10,23,4,15,17,8,10,24,4,3,2,20,4,14,8,12,5,11,26,12,8
Year/Year,,0.0%,-6.4%,-1.6%,-.023,-9.4%,-6.1%,-.013,-4.9%,1.8%,-.037,12.2%,12.2%,-.000,-13.7%,-5.7%,-7.8%,-6.4%,-5.4%,5.1%,-5.1%,16.2%,-4.4%



--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,Advanced,Advanced,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Team,62,20,60,22,8.30,-0.03,8.28,119.6,111.3,99.9,.274,.422,.559,11.8,26.2,.215,.522,11.5,77.3,.180,Frost Bank Center,743129
Lg Rank,2,29,2,2,2,16,2,4,3,13,12,15,7,5,11,10,3,26,1,1,,15


--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,De'Aaron Fox,28,PG,72,72,31.0,7.1,14.5,.486,1.8,5.5,.332,5.3,9.1,.580,.549,2.6,3.4,.760,0.6,3.2,3.8,6.2,1.2,0.3,2.3,2.3,18.6,AS,foxde01
2,Devin Vassell,25,SG,67,65,30.5,4.9,11.3,.437,2.5,6.4,.384,2.4,4.8,.508,.547,1.6,1.9,.815,0.6,3.4,4.0,2.5,0.9,0.4,0.9,1.6,13.9,,vassede01
3,Stephon Castle,21,PG,68,67,30.0,5.7,12.0,.471,1.2,3.6,.332,4.5,8.4,.531,.521,4.1,5.6,.734,1.4,3.9,5.3,7.4,1.1,0.3,3.2,3.3,16.7,,castlst01
4,Victor Wembanyama,22,C,64,55,29.2,8.6,16.9,.512,1.9,5.5,.349,6.7,11.4,.590,.569,5.8,7.0,.827,2.0,9.5,11.5,3.1,1.0,3.1,2.4,2.4,25.0,DPOY-1AS,wembavi01
5,Julian Champagnie,24,SF,82,68,27.6,3.7,8.4,.437,2.4,6.2,.381,1.3,2.2,.599,.578,1.4,1.6,.844,0.9,4.9,5.8,1.5,0.8,0.5,0.8,1.6,11.1,,champju02
6,Harrison Barnes,33,PF,77,52,25.8,3.4,7.5,.456,1.8,4.6,.388,1.6,2.8,.567,.577,1.3,1.6,.829,0.8,2.0,2.8,1.9,0.6,0.2,0.8,1.1,9.9,,barneha02
7,Keldon Johnson,26,SF,82,0,23.3,5.0,9.7,.519,1.2,3.3,.363,3.8,6.4,.601,.582,1.9,2.4,.794,1.7,3.7,5.4,1.4,0.6,0.1,0.9,2.0,13.2,6MOY-1,johnske04
8,Dylan Harper,19,SG,69,4,22.6,4.8,9.5,.505,0.9,2.6,.343,3.9,6.9,.565,.551,1.3,1.7,.756,0.8,2.6,3.4,3.9,0.8,0.3,1.4,2.0,11.8,ROY-46MOY-11,harpedy01
9,Luke Kornet,30,C,68,25,21.0,2.6,4.0,.643,0.0,0.0,,2.6,4.0,.643,.643,1.4,1.7,.825,2.7,3.4,6.1,1.9,0.5,1.0,0.4,1.8,6.5,,kornelu01
10,Jeremy Sochan,22,PF,28,0,12.8,1.7,3.5,.475,0.3,1.3,.257,1.4,2.3,.594,.520,0.4,0.6,.688,0.9,1.7,2.6,1.0,0.4,0.2,0.6,1.8,4.1,,sochaje01
11,Carter Bryant,20,PF,71,0,11.5,1.5,3.7,.408,0.7,2.2,.335,0.8,1.5,.509,.506,0.4,0.6,.714,0.5,2.0,2.5,0.7,0.2,0.3,0.5,1.3,4.2,,bryanca01
12,Kelly Olynyk,34,C,42,0,8.6,1.1,2.3,.490,0.3,1.1,.255,0.8,1.2,.714,.552,0.6,0.9,.711,0.6,1.2,1.8,1.2,0.4,0.1,0.6,0.9,3.2,,olynyke01
13,Mason Plumlee,35,C,6,1,7.8,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.2,0.3,.500,1.2,1.0,2.2,0.7,0.7,0.0,0.5,1.2,0.8,,plumlma01
14,Lindy Waters III,28,SG,40,0,7.1,0.8,2.2,.375,0.7,2.0,.342,0.2,0.2,.667,.528,0.1,0.1,.667,0.1,0.7,0.7,0.5,0.2,0.0,0.2,0.6,2.4,,waterli01
15,Jordan McLaughlin,29,PG,44,0,6.4,0.8,1.8,.418,0.4,0.9,.425,0.4,0.9,.410,.525,0.1,0.2,.857,0.2,0.6,0.7,0.9,0.5,0.0,0.3,0.3,2.0,,mclaujo01
16,David Jones García,24,SF,11,0,6.2,1.2,2.3,.520,0.3,0.5,.600,0.9,1.8,.500,.580,0.3,0.5,.500,0.4,0.8,1.2,1.6,0.5,0.1,0.5,0.5,2.9,,jonesda06
17,Bismack Biyombo,33,C,25,1,5.6,0.4,0.6,.600,0.0,0.0,,0.4,0.6,.600,.600,0.2,0.3,.714,0.2,0.8,1.0,0.2,0.2,0.1,0.3,1.1,0.9,,biyombi01
