--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Keldon Johnson,SF,6-6,220,October 11 1999,us US,6,Kentucky
30,Julian Champagnie,SF,6-7,217,June 29 2001,us US,3,St. John's
40,Harrison Barnes,PF,6-7,225,May 30 1992,us US,13,UNC
4,De'Aaron Fox,PG,6-3,185,December 20 1997,us US,8,Kentucky
11,Carter Bryant,PF,6-6,220,November 26 2005,us US,R,Arizona
2,Dylan Harper,SG,6-5,215,March 2 2006,us US,R,Rutgers University
5,Stephon Castle,PG,6-6,215,November 1 2004,us US,1,UConn
7,Luke Kornet,C,7-1,250,July 15 1995,us US,8,Vanderbilt
24,Devin Vassell,SG,6-5,200,August 23 2000,us US,5,Florida State
1,Victor Wembanyama,C,7-4,235,January 4 2004,fr FR,2,
0,Jordan McLaughlin,PG,5-11,185,April 9 1996,us US,6,USC
8,Kelly Olynyk,C,7-0,240,April 19 1991,ca CA,12,Gonzaga
43,Lindy Waters III,SG,6-5,210,July 28 1997,us US,4,Oklahoma State
18,Bismack Biyombo,C,6-8,255,August 28 1992,cd CD,14,
25,David Jones García  (TW),SF,6-4,210,November 24 2001,do DO,R,DePaul St. John's Memphis
55,Harrison Ingram  (TW),SF,6-5,230,November 27 2002,us US,1,Stanford UNC
45,Mason Plumlee,C,7-0,254,March 5 1990,us US,12,Duke
,Emanuel Miller  (TW),PF,6-5,215,June 19 2000,ca CA,1,Texas A&M TCU
