--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2025-10-22,@,DAL,W,125,92,,124.4,91.5,100.5,.322,.230,.629,57.5,48.0,10.0,8.1,.621,13.1,28.2,.195,.428,14.5,18.8,.253
2,2,2025-10-24,@,NOP,W,120,116,OT,113.9,110.1,95.4,.265,.439,.548,56.7,55.6,5.7,20.0,.526,14.8,40.8,.173,.485,12.0,29.1,.227
3,3,2025-10-26,,BRK,W,118,107,,125.1,113.4,94.3,.462,.346,.629,57.0,51.3,7.4,16.2,.577,13.8,32.4,.359,.483,11.0,24.4,.264
4,4,2025-10-27,,TOR,W,121,103,,123.2,104.9,98.2,.537,.403,.730,68.8,74.4,11.2,6.4,.679,20.2,26.9,.448,.544,14.4,2.6,.215
5,5,2025-10-30,,MIA,W,107,101,,108.0,102.0,99.1,.267,.477,.557,53.9,68.4,10.1,15.4,.523,10.3,20.0,.198,.517,12.9,11.4,.089
6,6,2025-11-02,@,PHO,L,118,130,,115.1,126.8,102.5,.235,.418,.546,51.3,46.7,10.7,10.9,.510,11.5,32.0,.184,.703,18.4,16.7,.241
7,7,2025-11-05,@,LAL,L,116,118,,116.2,118.2,99.8,.541,.446,.633,49.3,61.1,7.0,1.9,.574,17.2,23.5,.419,.506,12.0,29.3,.410
8,8,2025-11-07,,HOU,W,121,110,,123.4,112.2,98.1,.287,.517,.617,49.4,75.0,15.3,6.9,.563,17.6,38.5,.264,.535,20.3,40.5,.224
9,9,2025-11-08,,NOP,W,126,119,,127.7,120.6,98.7,.200,.444,.643,51.8,64.6,6.1,10.7,.611,10.9,25.6,.178,.559,10.6,25.0,.149
10,10,2025-11-10,@,CHI,W,121,117,,118.0,114.1,102.6,.314,.384,.618,51.1,68.2,9.8,12.7,.570,13.3,20.9,.267,.527,11.2,22.4,.204
11,11,2025-11-12,,GSW,L,120,125,,113.5,118.2,105.7,.170,.415,.594,55.1,65.2,4.7,10.7,.564,16.5,28.9,.149,.547,13.7,18.2,.376
12,12,2025-11-14,,GSW,L,108,109,,111.4,112.4,97.0,.224,.447,.578,54.7,71.8,8.2,13.3,.541,18.4,31.4,.188,.517,13.3,29.4,.178
13,13,2025-11-16,,SAC,W,123,110,,121.9,109.0,100.9,.207,.437,.648,55.4,80.9,6.9,7.4,.621,13.6,22.0,.172,.540,11.0,11.9,.184
14,14,2025-11-18,,MEM,W,111,101,,115.1,104.7,96.4,.149,.483,.599,39.2,54.8,10.4,4.6,.575,8.8,9.5,.126,.462,11.5,38.2,.048
15,15,2025-11-20,,ATL,W,135,126,,131.6,122.8,102.6,.330,.440,.648,52.4,70.8,9.7,8.0,.621,9.5,23.3,.242,.678,14.7,15.4,.092
16,16,2025-11-23,@,PHO,L,102,111,,106.9,116.3,95.4,.442,.442,.555,53.8,53.1,4.2,6.8,.481,17.1,30.4,.364,.515,5.5,23.4,.113
17,17,2025-11-26,@,POR,W,115,102,,114.4,101.5,100.5,.248,.327,.513,54.3,41.5,11.9,11.8,.460,7.4,35.7,.218,.477,15.2,24.5,.218
18,18,2025-11-28,@,DEN,W,139,136,,136.5,133.5,101.9,.340,.447,.643,44.3,65.2,9.8,9.6,.580,7.7,28.6,.319,.615,14.0,37.8,.264
19,19,2025-11-30,@,MIN,L,112,125,,120.2,134.1,93.2,.226,.393,.606,47.8,38.6,10.7,2.0,.571,9.8,21.2,.190,.661,12.3,27.8,.115
20,20,2025-12-02,,MEM,W,126,119,,124.0,117.1,101.6,.337,.424,.596,44.4,66.7,6.9,10.9,.554,6.2,21.2,.261,.550,13.0,23.7,.222
21,21,2025-12-03,@,ORL,W,114,112,,108.0,106.1,105.5,.264,.418,.561,52.0,47.6,4.7,6.9,.533,15.8,25.5,.187,.500,8.5,20.4,.131
22,22,2025-12-05,@,CLE,L,117,130,,112.3,124.8,104.2,.280,.462,.560,44.2,66.7,8.6,5.0,.532,11.8,22.0,.194,.628,13.2,25.0,.256
23,23,2025-12-08,@,NOP,W,135,132,,128.2,125.4,105.3,.255,.367,.619,56.6,59.2,4.7,0.0,.587,12.1,29.3,.204,.619,8.3,11.4,.261
24,24,2025-12-10,@,LAL,W,132,119,,129.0,116.3,102.3,.419,.442,.648,53.8,58.1,8.8,6.0,.599,10.5,19.6,.337,.586,10.2,12.8,.195
25,25,2025-12-13,@,OKC,W,111,109,,107.0,105.1,103.7,.356,.467,.533,50.5,56.8,8.7,10.9,.483,15.4,28.8,.267,.462,12.6,27.5,.261
26,26,2025-12-18,,WAS,W,119,94,,121.5,95.9,98.0,.222,.467,.602,53.5,65.9,6.1,15.5,.572,12.4,29.8,.178,.452,12.3,25.0,.096
27,27,2025-12-19,@,ATL,W,126,98,,120.3,93.6,104.7,.170,.383,.624,56.6,60.8,10.5,7.4,.612,12.9,26.7,.117,.457,14.4,18.5,.128
28,28,2025-12-21,@,WAS,W,124,113,,121.9,111.1,101.7,.308,.394,.525,58.7,60.5,2.9,10.0,.476,7.8,36.4,.240,.500,4.5,16.3,.189
29,29,2025-12-23,,OKC,W,130,110,,141.6,119.8,91.8,.286,.429,.687,48.6,70.8,10.9,5.5,.667,8.7,27.0,.214,.612,14.6,27.3,.071
30,30,2025-12-25,@,OKC,W,117,102,,123.5,107.7,94.7,.250,.345,.627,50.5,44.4,3.2,7.8,.601,12.2,23.8,.190,.447,6.2,29.1,.179
31,31,2025-12-27,,UTA,L,114,127,,113.2,126.2,100.7,.212,.444,.527,55.4,69.8,6.0,15.2,.485,10.0,33.3,.182,.645,14.5,18.4,.241
32,32,2025-12-29,,CLE,L,101,113,,96.0,107.4,105.2,.434,.373,.511,52.5,65.6,6.7,3.7,.428,15.4,21.3,.361,.495,11.8,19.2,.188
33,33,2025-12-31,,NYK,W,134,132,,130.3,128.3,102.8,.449,.427,.629,54.5,56.8,6.8,6.8,.573,9.4,26.8,.360,.594,8.7,21.3,.188
34,34,2026-01-02,@,IND,W,123,113,,115.4,106.0,106.6,.286,.469,.557,55.7,52.3,7.5,3.6,.515,10.5,24.0,.224,.581,13.1,2.6,.151
35,35,2026-01-03,,POR,L,110,115,,115.3,120.6,95.4,.247,.333,.533,48.5,67.5,8.4,15.2,.484,5.5,25.0,.215,.544,9.7,29.4,.176
36,36,2026-01-06,@,MEM,L,105,106,,97.8,98.7,107.4,.176,.451,.478,45.0,68.4,8.4,8.2,.441,11.3,22.8,.147,.490,18.0,31.5,.102
