--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,Score,Score,Score,Score,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2025-10-22,@,DAL,W,125,92,,50,87,.575,8,20,.400,42,67,.627,.621,17,28,.607,11,39,50,24,10,5,15,24,31,83,.373,9,21,.429,22,62,.355,.428,21,26,.808,9,28,37,20,5,3,16,24
2,2,2025-10-24,@,NOP,W,120,116,OT,45,98,.459,13,43,.302,32,55,.582,.526,17,26,.654,20,39,59,25,6,13,19,27,42,97,.433,10,32,.313,32,65,.492,.485,22,29,.759,16,29,45,24,10,3,15,21
3,3,2025-10-26,,BRK,W,118,107,,39,78,.500,12,27,.444,27,51,.529,.577,28,36,.778,11,34,45,20,7,6,15,23,34,87,.391,16,50,.320,18,37,.486,.483,23,24,.958,11,23,34,22,9,0,12,30
4,4,2025-10-27,,TOR,W,121,103,,39,67,.582,13,27,.481,26,40,.650,.679,30,36,.833,7,37,44,29,11,3,21,17,37,79,.468,12,32,.375,25,47,.532,.544,17,23,.739,1,19,20,29,9,4,15,23
5,5,2025-10-30,,MIA,W,107,101,,38,86,.442,14,41,.341,24,45,.533,.523,17,23,.739,9,39,48,26,10,8,11,17,39,90,.433,15,38,.395,24,52,.462,.517,8,11,.727,5,36,41,29,6,2,14,20
6,6,2025-11-02,@,PHO,L,118,130,,45,98,.459,10,41,.244,35,57,.614,.510,18,23,.783,16,25,41,21,11,5,14,21,46,79,.582,19,33,.576,27,46,.587,.703,19,22,.864,5,34,39,34,8,4,20,26
7,7,2025-11-05,@,LAL,L,116,118,,36,74,.486,13,33,.394,23,41,.561,.574,31,40,.775,8,29,37,22,7,1,19,36,37,83,.446,10,31,.323,27,52,.519,.506,34,44,.773,12,26,38,23,8,5,14,30
8,8,2025-11-07,,HOU,W,121,110,,40,87,.460,18,45,.400,22,42,.524,.563,23,25,.920,15,25,40,30,15,4,21,19,39,85,.459,13,27,.481,26,58,.448,.535,19,21,.905,17,24,41,25,12,4,24,24
9,9,2025-11-08,,NOP,W,126,119,,48,90,.533,14,40,.350,34,50,.680,.611,16,18,.889,10,33,43,31,6,6,12,20,45,94,.479,15,38,.395,30,56,.536,.559,14,17,.824,11,29,40,27,7,2,12,19
10,10,2025-11-10,@,CHI,W,121,117,,44,86,.512,10,33,.303,34,53,.642,.570,23,27,.852,9,38,47,30,10,7,15,17,41,93,.441,16,38,.421,25,55,.455,.527,19,23,.826,11,34,45,29,10,4,13,20
11,11,2025-11-12,,GSW,L,120,125,,46,94,.489,14,39,.359,32,55,.582,.564,14,16,.875,13,36,49,30,5,3,20,24,36,85,.424,21,57,.368,15,28,.536,.547,32,36,.889,8,32,40,30,13,3,16,18
12,12,2025-11-14,,GSW,L,108,109,,39,85,.459,14,38,.368,25,47,.532,.541,16,19,.842,11,36,47,28,8,6,21,19,38,90,.422,17,45,.378,21,45,.467,.517,16,18,.889,15,24,39,18,9,8,15,20
13,13,2025-11-16,,SAC,W,123,110,,47,87,.540,14,38,.368,33,49,.673,.621,15,18,.833,9,37,46,38,7,4,15,17,41,87,.471,12,33,.364,29,54,.537,.540,16,22,.727,5,32,37,25,10,3,12,17
14,14,2025-11-18,,MEM,W,111,101,,42,87,.483,16,42,.381,26,45,.578,.575,11,13,.846,4,34,38,23,10,3,9,16,42,104,.404,12,39,.308,30,65,.462,.462,5,9,.556,21,38,59,30,6,4,14,15
15,15,2025-11-20,,ATL,W,135,126,,48,91,.527,17,40,.425,31,51,.608,.621,22,30,.733,10,33,43,34,10,4,11,15,49,87,.563,20,37,.541,29,50,.580,.678,8,13,.615,6,33,39,30,7,6,16,24
16,16,2025-11-23,@,PHO,L,102,111,,32,77,.416,10,34,.294,22,43,.512,.481,28,34,.824,14,36,50,17,4,4,19,17,43,97,.443,14,38,.368,29,59,.492,.515,11,16,.688,11,32,43,27,10,6,6,23
17,17,2025-11-26,@,POR,W,115,102,,41,101,.406,11,33,.333,30,68,.441,.460,22,25,.880,20,37,57,17,12,6,9,22,37,87,.425,9,36,.250,28,51,.549,.477,19,30,.633,12,36,48,21,3,9,18,22
