--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
00,Max Christie,SG,6-5,190,February 10 2003,us US,3,Michigan State
13,Naji Marshall,SF,6-6,220,January 24 1998,us US,5,Xavier
32,Cooper Flagg,SF,6-9,205,December 21 2006,us US,R,Duke
31,Klay Thompson,SF,6-5,220,February 8 1990,us US,12,Washington State
10,Brandon Williams,PG,6-1,190,November 22 1999,us US,3,Arizona
7,Dwight Powell,C,6-10,240,July 20 1991,ca CA,11,Stanford
9,Ryan Nembhard,PG,5-11,180,March 10 2003,ca CA,R,Creighton Gonzaga
16,Caleb Martin,SF,6-5,205,September 28 1995,us US,6,NC State Nevada
25,P.J. Washington,PF,6-7,230,August 23 1998,us US,6,Kentucky
21,Daniel Gafford,C,6-10,265,October 1 1998,us US,6,Arkansas
30,Moussa Cisse  (TW),C,6-11,220,September 10 2002,gn GN,R,Oklahoma State Ole Miss Memphis
20,Khris Middleton,SF,6-7,222,August 12 1991,us US,13,Texas A&M
8,AJ Johnson,SG,6-5,160,December 1 2004,us US,1,
35,Marvin Bagley III,PF,6-10,235,March 14 1999,us US,7,Duke
1,John Poulakidas  (TW),SG,6-6,205,April 4 2003,us US,R,Yale
23,Tyler Smith  (TW),PF,6-9,224,November 2 2004,us US,1,
2,Dereck Lively II,C,7-1,230,February 12 2004,us US,2,Duke
,Kyrie Irving,SG,6-2,195,March 23 1992,au AU,14,Duke


--- When using SR data, please cite us and provide a link and/or a mention.


 
,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19855,3432,7366,.466,899,2615,.344,2533,4751,.533,1595,2113,.755,863,2803,3666,2072,619,423,1193,1508,9358
Team/G,,242.1,41.9,89.8,.466,11.0,31.9,.344,30.9,57.9,.533,19.5,25.8,.755,10.5,34.2,44.7,25.3,7.5,5.2,14.5,18.4,114.1
Lg Rank,,4,17,14,19,29,27,26,6,5,24,10,5,28,22,6,10,22,24,10,18,2,23
Year/Year,,0.6%,-0.3%,2.4%,-.013,-11.9%,-6.6%,-.020,4.5%,8.1%,-.018,9.4%,11.6%,-.015,4.2%,3.7%,3.9%,0.1%,-2.7%,-4.9%,3.6%,3.4%,-0.1%
Opponent,82,19855,3676,7695,.478,1050,2996,.350,2626,4699,.559,1408,1828,.770,980,2855,3835,2325,721,432,1096,1723,9810
Opponent/G,,242.1,44.8,93.8,.478,12.8,36.5,.350,32.0,57.3,.559,17.2,22.3,.770,12.0,34.8,46.8,28.4,8.8,5.3,13.4,21.0,119.6
Lg Rank,,4,27,30,21,10,15,6,29,30,21,7,9,3,25,28,28,27,20,21,24,5,23
Year/Year,,0.6%,4.1%,2.3%,+.008,-0.4%,3.2%,-.012,6.0%,1.8%,+.022,4.6%,5.8%,-.009,-1.6%,5.0%,3.2%,4.7%,8.6%,15.2%,0.9%,12.5%,3.7%


--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,Advanced,Advanced,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Team,26,56,28,54,-5.51,0.18,-5.33,111.2,116.5,101.7,.287,.355,.527,12.6,23.2,.217,.546,11.4,74.1,.183,American Airlines Center,790821
Lg Rank,23,7,23,23,23,10,23,27,20,4,6,27,28,13,26,9,19,28,16,2,,7


--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Cooper Flagg,19,SF,70,70,33.5,8.0,17.1,.468,1.0,3.5,.295,7.0,13.6,.513,.498,4.0,4.9,.827,1.2,5.4,6.7,4.5,1.2,0.9,2.3,2.0,21.0,ROY-1,flaggco01
2,Anthony Davis,32,PF,20,20,31.3,8.5,16.7,.506,0.5,1.9,.270,8.0,14.9,.535,.521,3.0,4.1,.728,3.1,8.0,11.1,2.8,1.1,1.7,2.1,2.1,20.4,,davisan02
3,P.J. Washington,27,PF,56,53,31.0,5.3,11.8,.450,1.4,4.2,.325,3.9,7.6,.519,.508,2.2,3.3,.687,1.5,5.5,7.0,1.8,1.0,1.1,1.7,2.1,14.2,,washipj01
4,Naji Marshall,28,SF,74,47,29.5,5.7,11.1,.510,0.8,2.9,.291,4.8,8.2,.587,.548,3.1,4.1,.760,0.9,3.8,4.7,3.3,1.1,0.1,1.6,1.9,15.2,,marshna01
5,Max Christie,22,SG,77,68,29.1,4.2,9.4,.441,2.3,5.8,.404,1.8,3.6,.502,.566,1.6,1.8,.899,0.2,3.0,3.2,2.0,0.6,0.4,1.2,1.3,12.3,,chrisma02
6,Brandon Williams,26,PG,66,15,22.2,4.4,9.3,.472,0.5,2.3,.232,3.9,7.0,.552,.501,3.7,4.6,.793,0.5,2.4,2.9,3.9,0.9,0.3,1.9,1.6,13.0,,willibr03
7,Klay Thompson,35,SF,69,8,21.7,4.1,10.6,.393,2.9,7.6,.383,1.2,2.9,.418,.532,0.5,0.7,.766,0.3,1.8,2.1,1.4,0.5,0.3,0.9,1.0,11.7,,thompkl01
8,Daniel Gafford,27,C,55,44,21.7,3.8,5.7,.655,0.0,0.0,,3.8,5.7,.655,.655,2.0,2.9,.683,2.5,4.4,6.9,1.1,0.8,1.3,1.1,2.6,9.5,,gaffoda01
9,Marvin Bagley III,26,PF,22,4,21.4,4.5,7.5,.606,0.7,1.5,.485,3.8,6.0,.636,.655,1.2,2.1,.553,2.4,4.4,6.8,1.3,0.4,0.7,0.8,2.0,11.0,,baglema01
10,Khris Middleton,34,SF,29,16,21.1,3.3,8.3,.404,1.2,3.0,.391,2.2,5.3,.412,.475,2.1,2.3,.910,0.7,2.6,3.3,2.2,0.5,0.0,1.8,2.0,10.0,,middlkh01
11,Ryan Nembhard,22,PG,60,27,19.5,2.7,6.5,.415,0.8,2.3,.356,1.9,4.3,.447,.477,0.4,0.5,.806,0.2,2.0,2.2,5.3,0.4,0.0,1.4,1.4,6.6,,nembhry01
12,John Poulakidas,22,SG,13,0,19.5,3.0,7.0,.429,2.4,5.9,.403,0.6,1.1,.571,.599,0.5,0.5,.857,0.3,2.0,2.3,0.8,0.5,0.3,0.3,2.2,8.8,,poulajo01
13,D'Angelo Russell,29,PG,26,3,19.0,3.6,8.9,.405,1.3,4.3,.295,2.3,4.6,.508,.476,1.7,2.3,.717,0.3,2.0,2.3,4.0,0.5,0.1,1.9,1.2,10.2,,russeda01
14,Tyus Jones,29,PG,8,2,16.6,1.6,4.3,.382,0.5,2.4,.211,1.1,1.9,.600,.441,0.1,0.3,.500,0.1,1.0,1.1,3.8,0.4,0.0,0.6,0.6,3.9,,jonesty01
15,Dereck Lively II,21,C,7,4,16.4,1.6,2.6,.611,0.0,0.0,,1.6,2.6,.611,.611,1.1,1.4,.800,2.0,3.3,5.3,1.9,0.6,1.6,1.4,3.0,4.3,,livelde01
16,Caleb Martin,30,SF,58,12,14.8,1.5,3.3,.450,0.3,1.0,.351,1.1,2.3,.492,.503,0.6,1.1,.607,0.5,2.0,2.5,1.4,0.7,0.3,0.7,1.5,3.9,,martica02
17,Dwight Powell,34,C,63,12,14.3,1.0,1.6,.644,0.0,0.1,.286,1.0,1.5,.670,.653,1.2,1.8,.696,1.5,2.6,4.1,1.1,0.5,0.3,0.7,2.1,3.3,,poweldw01
