--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
15,Reed Sheppard,SG,6-2,185,June 24 2004,us US,1,Kentucky
1,Amen Thompson,PG,6-7,200,January 30 2003,us US,2,
7,Kevin Durant,SF,6-11,240,September 29 1988,us US,17,Texas
20,Josh Okogie,SG,6-4,213,September 1 1998,ng NG,7,Georgia Tech
10,Jabari Smith Jr.,PF,6-11,220,May 13 2003,us US,3,Auburn
30,Clint Capela,C,6-10,256,May 18 1994,ch CH,11,
28,Alperen Şengün,C,6-11,243,July 25 2002,tr TR,4,
17,Tari Eason,PF,6-8,215,May 10 2001,us US,3,Cincinnati LSU
0,Aaron Holiday,PG,6-0,185,September 30 1996,us US,7,UCLA
8,Jae'Sean Tate,SF,6-4,230,October 28 1995,us US,5,Ohio State
2,Dorian Finney-Smith,PF,6-7,220,May 4 1993,us US,9,Florida
12,Steven Adams,C,6-11,265,July 20 1993,nz NZ,11,Pitt
32,Jeff Green,PF,6-8,235,August 28 1986,us US,17,Georgetown
4,JD Davison,PG,6-1,195,October 3 2002,us US,3,Alabama
27,Isaiah Crawford  (TW),SF,6-6,220,November 1 2001,us US,1,Louisiana Tech
00,Tristen Newton  (TW),SG,6-5,190,April 26 2001,us US,1,East Carolina University UConn
,Fred VanVleet,PG,6-0,197,February 25 1994,us US,9,Wichita State

--- When using SR data, please cite us and provide a link and/or a mention.


 
,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19905,3523,7361,.479,940,2580,.364,2583,4781,.540,1463,1917,.763,1233,2713,3946,2083,701,473,1261,1501,9449
Team/G,,242.7,43.0,89.8,.479,11.5,31.5,.364,31.5,58.3,.540,17.8,23.4,.763,15.0,33.1,48.1,25.4,8.5,5.8,15.4,18.3,115.2
Lg Rank,,2,8,15,10,25,28,10,2,4,20,19,16,25,1,9,1,21,14,3,24,1,18
Year/Year,,0.6%,1.1%,-3.9%,+.024,-9.4%,-12.2%,+.011,5.6%,1.3%,+.022,7.1%,3.6%,+.025,2.8%,-2.2%,-0.7%,8.8%,1.7%,15.1%,10.7%,-3.6%,0.8%
Opponent,82,19905,3320,7217,.460,1014,2892,.351,2306,4325,.533,1367,1809,.756,928,2309,3237,2011,738,385,1102,1640,9021
Opponent/G,,242.7,40.5,88.0,.460,12.4,35.3,.351,28.1,52.7,.533,16.7,22.1,.756,11.3,28.2,39.5,24.5,9.0,4.7,13.4,20.0,110.0
Lg Rank,,2,7,11,6,5,7,7,11,20,7,5,8,2,17,1,2,3,25,14,23,15,4
Year/Year,,0.6%,-0.1%,-0.4%,+.001,0.4%,2.1%,-.006,-0.3%,-1.9%,+.009,1.4%,1.9%,-.003,7.0%,-10.8%,-6.3%,4.4%,13.4%,-17.6%,-6.2%,4.0%,0.2%



--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,Advanced,Advanced,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Team,52,30,54,28,5.22,-0.35,4.87,118.6,113.2,96.1,.260,.350,.542,13.3,34.8,.199,.530,12.1,74.5,.189,Toyota Center,740378
Lg Rank,8,22,6,6,6,29,7,8,6,29,18,28,17,24,1,20,6,21,9,5,,17


--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Amen Thompson,23,PG,79,79,37.4,7.1,13.2,.534,0.3,1.5,.216,6.7,11.7,.573,.545,3.8,4.9,.779,3.0,4.8,7.8,5.3,1.5,0.6,2.4,2.2,18.3,DPOY-8,thompam01
2,Kevin Durant,37,SF,78,78,36.4,9.2,17.6,.520,2.4,5.8,.413,6.8,11.9,.572,.588,5.2,6.0,.874,0.5,4.9,5.5,4.8,0.8,0.9,3.2,1.8,26.0,CPOY-9AS,duranke01
3,Jabari Smith Jr.,22,PF,77,77,35.1,5.7,12.6,.450,2.3,6.3,.363,3.4,6.3,.537,.541,2.1,2.7,.775,1.4,5.5,6.9,1.9,0.7,0.9,1.4,2.5,15.8,,smithja05
4,Alperen Şengün,23,C,72,72,33.3,8.1,15.6,.519,0.6,1.8,.305,7.5,13.8,.547,.537,3.6,5.2,.691,3.0,5.9,8.9,6.2,1.2,1.1,3.2,3.3,20.4,AS,sengual01
5,Reed Sheppard,21,SG,82,21,26.2,5.0,11.5,.430,2.8,7.0,.394,2.2,4.5,.486,.550,0.8,1.0,.802,0.3,2.6,2.9,3.4,1.5,0.7,1.5,2.0,13.5,6MOY-6,sheppre01
6,Tari Eason,24,PF,60,34,25.8,4.0,9.7,.416,1.6,4.3,.358,2.5,5.3,.463,.496,0.9,1.1,.776,2.1,4.2,6.3,1.5,1.2,0.5,1.4,2.3,10.5,,easonta01
7,Steven Adams,32,C,32,11,22.8,2.2,4.3,.504,0.0,0.0,,2.2,4.3,.504,.504,1.5,2.5,.580,4.5,4.1,8.6,1.5,0.7,0.6,1.1,1.7,5.8,,adamsst01
8,Josh Okogie,27,SG,78,32,17.4,1.6,3.8,.425,0.8,2.1,.385,0.8,1.7,.474,.531,0.5,0.9,.594,1.0,1.5,2.6,0.9,0.8,0.2,0.5,1.4,4.5,,okogijo01
9,Dorian Finney-Smith,32,PF,37,1,16.8,1.2,3.6,.333,0.7,2.7,.270,0.5,0.9,.531,.436,0.2,0.2,.889,0.9,1.6,2.5,1.0,0.4,0.2,0.6,1.6,3.3,,finnedo01
10,Aaron Holiday,29,PG,57,1,13.7,1.8,4.4,.417,1.2,3.0,.394,0.7,1.4,.463,.550,0.6,0.7,.854,0.2,0.8,1.0,1.1,0.5,0.1,0.7,1.3,5.5,,holidaa01
11,Clint Capela,31,C,75,3,12.3,1.6,3.0,.520,0.0,0.0,.500,1.6,3.0,.520,.522,0.6,1.0,.577,2.1,2.5,4.6,0.7,0.5,0.8,0.5,1.0,3.8,,capelca01
12,Tristen Newton,24,SG,1,0,12.0,4.0,9.0,.444,2.0,5.0,.400,2.0,4.0,.500,.556,2.0,3.0,.667,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,,newtotr01
13,Jae'Sean Tate,30,SF,46,1,8.8,1.2,2.4,.514,0.2,0.7,.313,1.0,1.7,.597,.560,0.2,0.2,.636,0.7,0.9,1.6,0.5,0.2,0.1,0.3,1.0,2.8,,tateja01
14,JD Davison,23,PG,28,0,7.8,0.9,2.3,.375,0.3,1.1,.250,0.6,1.1,.500,.438,0.5,0.7,.684,0.1,1.1,1.2,1.3,0.2,0.2,0.3,0.6,2.5,,davisjd01
15,Isaiah Crawford,24,SF,14,0,6.6,0.7,1.7,.417,0.2,0.9,.231,0.5,0.8,.636,.479,0.4,0.4,.833,0.2,0.9,1.1,0.4,0.1,0.2,0.3,0.3,2.0,,crawfis01
16,Jeff Green,39,PF,30,0,5.8,0.8,2.3,.368,0.4,1.5,.273,0.4,0.8,.542,.456,0.2,0.2,1.000,0.2,0.6,0.8,0.3,0.1,0.1,0.1,0.4,2.2,,greenje02
,Team Totals,,,82,82,242.7,43.0,89.8,.479,11.5,31.5,.364,31.5,58.3,.540,.542,17.8,23.4,.763,15.0,33.1,48.1,25.4,8.5,5.8,15.4,18.3,115.2,,-9999


--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
