--- When using SR data, please cite us and provide a link and/or a mention.


 
No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0,Jeremiah Fears,PG,6-3,190,October 14 2006,us US,R,Oklahoma
22,Derik Queen,C,6-9,250,December 27 2004,us US,R,Maryland
41,Saddiq Bey,SF,6-8,215,April 9 1999,us US,4,Villanova
25,Trey Murphy III,SF,6-8,206,June 18 2000,us US,4,Rice University Virginia
21,Yves Missi,C,6-11,235,May 14 2004,be BE,1,Baylor
1,Zion Williamson,PF,6-6,284,July 6 2000,us US,5,Duke
17,Karlo Matković,PF,6-10,231,March 30 2001,ba BA,1,
14,Micah Peavy,SG,6-7,215,July 16 2001,us US,R,Texas Tech TCU Georgetown
2,Herbert Jones,SF,6-7,206,October 6 1998,us US,4,Alabama
24,Jordan Hawkins,SG,6-5,190,April 29 2002,us US,2,UConn
11,Bryce McGowens,SG,6-6,190,November 8 2002,us US,3,Nebraska
3,Jordan Poole,PG,6-4,194,June 19 1999,us US,6,Michigan
55,Kevon Looney,C,6-9,222,February 6 1996,us US,10,UCLA
5,Dejounte Murray,PG,6-4,180,September 19 1996,us US,8,Washington
6 9,DeAndre Jordan,C,6-11,265,July 21 1988,us US,17,Texas A&M
23,Trey Alexander  (TW),SG,6-5,185,May 2 2003,us US,1,Creighton
4,Hunter Dickinson  (TW),C,7-1,255,November 25 2000,us US,R,Michigan Kansas
13,Josh Oduro  (TW),PF,6-9,240,October 14 2000,us US,R,George Mason Providence


--- When using SR data, please cite us and provide a link and/or a mention.


 
,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82,19805,3455,7420,.466,914,2635,.347,2541,4785,.531,1649,2104,.784,1002,2596,3598,2058,726,425,1163,1634,9473
Team/G,,241.5,42.1,90.5,.466,11.1,32.1,.347,31.0,58.4,.531,20.1,25.7,.784,12.2,31.7,43.9,25.1,8.9,5.2,14.2,19.9,115.5
Lg Rank,,8,15,5,20,27,25,24,5,3,29,5,6,14,8,21,15,24,9,9,12,17,16
Year/Year,,0.3%,3.7%,0.7%,+.013,-7.3%,-7.2%,-.000,8.3%,5.7%,+.013,21.6%,17.0%,+.030,0.9%,0.5%,0.6%,-2.9%,3.6%,-0.9%,-3.2%,9.0%,5.2%
Opponent,82,19805,3589,7519,.477,1164,3323,.350,2425,4196,.578,1500,1939,.774,1040,2715,3755,2307,656,475,1187,1659,9842
Opponent/G,,241.5,43.8,91.7,.477,14.2,40.5,.350,29.6,51.2,.578,18.3,23.6,.774,12.7,33.1,45.8,28.1,8.0,5.8,14.5,20.2,120.0
Lg Rank,,8,23,26,20,27,29,5,20,11,29,14,17,6,28,18,25,25,10,28,17,12,24
Year/Year,,0.3%,0.1%,1.3%,-.006,-2.9%,1.0%,-.014,1.6%,1.6%,+.000,6.4%,8.1%,-.012,7.0%,-2.3%,0.1%,-1.8%,-11.2%,11.0%,3.4%,12.8%,0.6%

--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,Advanced,Advanced,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
Team,26,56,30,52,-4.50,0.24,-4.26,114.4,118.9,100.3,.284,.355,.527,12.2,27.0,.222,.555,12.4,71.4,.199,Smoothie King Center,675507
Lg Rank,23,7,21,21,21,7,21,21,25,11,8,26,27,10,8,7,22,19,28,13,,26




--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Trey Murphy III,25,SF,66,66,35.5,7.5,15.9,.470,3.2,8.6,.379,4.2,7.3,.577,.572,3.3,3.7,.886,1.0,4.8,5.7,3.8,1.5,0.4,1.8,2.1,21.5,,murphtr02
2,Saddiq Bey,26,SF,72,64,31.2,6.1,13.4,.451,2.1,5.7,.367,4.0,7.7,.514,.529,3.4,4.1,.841,1.7,3.9,5.6,2.5,0.9,0.1,0.9,1.3,17.7,,beysa01
3,Zion Williamson,25,PF,62,55,29.7,7.8,13.0,.600,0.0,0.1,.250,7.8,13.0,.601,.600,5.4,7.5,.716,2.0,3.7,5.7,3.2,1.0,0.5,2.0,2.3,21.0,,willizi01
4,Herbert Jones,27,SF,56,56,28.4,3.3,8.5,.383,1.4,4.6,.309,1.8,3.9,.470,.467,0.9,1.1,.806,0.8,2.6,3.4,2.8,1.6,0.5,1.3,3.2,8.9,,joneshe01
5,Dejounte Murray,29,PG,14,14,27.8,6.3,13.0,.484,1.4,4.4,.306,4.9,8.6,.575,.536,2.8,3.2,.867,0.3,5.1,5.4,6.4,1.6,0.2,3.4,2.4,16.7,,murrade01
6,Josh Oduro,25,PF,3,1,27.3,3.7,5.7,.647,0.0,0.7,.000,3.7,5.0,.733,.647,1.0,2.0,.500,3.7,4.0,7.7,1.3,0.0,0.0,0.7,4.7,8.3,,odurojo01
7,Jeremiah Fears,19,PG,82,49,25.8,5.3,12.3,.434,1.2,3.7,.330,4.1,8.5,.480,.485,2.4,3.0,.789,0.7,2.9,3.7,3.4,1.2,0.4,2.2,1.8,14.3,,fearsje01
8,Derik Queen,21,C,81,48,25.0,4.4,9.2,.473,0.3,1.1,.261,4.1,8.1,.502,.489,2.7,3.4,.795,1.7,5.4,7.1,3.7,1.0,0.9,2.3,2.7,11.7,,queende01
9,Jordan Poole,26,PG,39,8,23.9,4.2,11.4,.372,2.5,7.4,.333,1.8,4.0,.442,.480,2.5,2.9,.860,0.2,1.7,2.0,3.1,0.6,0.4,1.8,2.3,13.4,,poolejo01
10,Jose Alvarado,27,PG,41,0,21.9,2.9,6.8,.418,1.7,4.7,.363,1.1,2.1,.540,.543,0.5,0.6,.833,0.4,2.4,2.8,3.1,0.9,0.1,1.1,2.0,7.9,,alvarjo01
11,Bryce McGowens,23,SG,42,13,21.0,2.7,5.6,.481,0.9,2.2,.409,1.8,3.4,.528,.561,1.8,2.3,.779,0.3,1.8,2.1,1.5,0.6,0.2,0.4,2.1,8.1,,mcgowbr01
12,Yves Missi,21,C,66,14,19.7,2.4,4.5,.544,0.0,0.0,.000,2.4,4.4,.546,.544,0.9,1.5,.559,2.8,3.1,5.8,1.3,0.3,1.5,0.8,1.7,5.7,,missiyv01
13,DeAndre Jordan,37,C,12,7,16.6,1.8,2.7,.656,0.0,0.0,,1.8,2.7,.656,.656,0.9,1.4,.647,2.2,4.2,6.3,0.9,0.3,0.8,0.8,1.3,4.4,,jordade01
14,Micah Peavy,24,SG,61,4,15.0,1.7,4.5,.385,0.5,1.8,.259,1.3,2.7,.467,.436,0.4,0.5,.759,0.8,1.2,1.9,1.0,0.7,0.1,0.3,1.6,4.3,,peavymi01
15,Karlo Matković,24,PF,62,2,14.7,2.3,3.8,.604,0.6,1.5,.422,1.7,2.3,.717,.685,0.5,0.7,.732,1.2,2.5,3.7,0.8,0.4,0.9,0.5,1.7,5.7,,matkoka01
16,Kevon Looney,29,C,21,8,14.7,1.2,2.9,.417,0.1,0.6,.154,1.1,2.2,.489,.433,0.3,0.5,.700,2.3,3.3,5.6,1.6,0.4,0.5,0.4,1.6,2.8,,looneke01
17,Jordan Hawkins,23,SG,51,1,13.6,1.8,5.0,.366,0.9,2.6,.348,0.9,2.4,.385,.457,0.5,0.5,.852,0.4,1.3,1.7,0.8,0.3,0.2,0.7,0.6,5.1,,hawkijo01
