month,date,visitor_team,home_team,visitor_score,home_score,boxscore_url,game_date
october,,Houston Rockets,Oklahoma City Thunder,124.0,125.0,https://www.basketball-reference.com/boxscores/202510210OKC.html,20251021
october,,Golden State Warriors,Los Angeles Lakers,119.0,109.0,https://www.basketball-reference.com/boxscores/202510210LAL.html,20251021
october,,Brooklyn Nets,Charlotte Hornets,117.0,136.0,https://www.basketball-reference.com/boxscores/202510220CHO.html,20251022
october,,Cleveland Cavaliers,New York Knicks,111.0,119.0,https://www.basketball-reference.com/boxscores/202510220NYK.html,20251022
october,,Miami Heat,Orlando Magic,121.0,125.0,https://www.basketball-reference.com/boxscores/202510220ORL.html,20251022
october,,Philadelphia 76ers,Boston Celtics,117.0,116.0,https://www.basketball-reference.com/boxscores/202510220BOS.html,20251022
october,,Toronto Raptors,Atlanta Hawks,138.0,118.0,https://www.basketball-reference.com/boxscores/202510220ATL.html,20251022
october,,Detroit Pistons,Chicago Bulls,111.0,115.0,https://www.basketball-reference.com/boxscores/202510220CHI.html,20251022
october,,New Orleans Pelicans,Memphis Grizzlies,122.0,128.0,https://www.basketball-reference.com/boxscores/202510220MEM.html,20251022
october,,Washington Wizards,Milwaukee Bucks,120.0,133.0,https://www.basketball-reference.com/boxscores/202510220MIL.html,20251022
october,,Los Angeles Clippers,Utah Jazz,108.0,129.0,https://www.basketball-reference.com/boxscores/202510220UTA.html,20251022
october,,San Antonio Spurs,Dallas Mavericks,125.0,92.0,https://www.basketball-reference.com/boxscores/202510220DAL.html,20251022
october,,Minnesota Timberwolves,Portland Trail Blazers,118.0,114.0,https://www.basketball-reference.com/boxscores/202510220POR.html,20251022
october,,Sacramento Kings,Phoenix Suns,116.0,120.0,https://www.basketball-reference.com/boxscores/202510220PHO.html,20251022
october,,Oklahoma City Thunder,Indiana Pacers,141.0,135.0,https://www.basketball-reference.com/boxscores/202510230IND.html,20251023
october,,Denver Nuggets,Golden State Warriors,131.0,137.0,https://www.basketball-reference.com/boxscores/202510230GSW.html,20251023
october,,Milwaukee Bucks,Toronto Raptors,122.0,116.0,https://www.basketball-reference.com/boxscores/202510240TOR.html,20251024
october,,Atlanta Hawks,Orlando Magic,111.0,107.0,https://www.basketball-reference.com/boxscores/202510240ORL.html,20251024
october,,Cleveland Cavaliers,Brooklyn Nets,131.0,124.0,https://www.basketball-reference.com/boxscores/202510240BRK.html,20251024
october,,Boston Celtics,New York Knicks,95.0,105.0,https://www.basketball-reference.com/boxscores/202510240NYK.html,20251024
october,,Detroit Pistons,Houston Rockets,115.0,111.0,https://www.basketball-reference.com/boxscores/202510240HOU.html,20251024
october,,San Antonio Spurs,New Orleans Pelicans,120.0,116.0,https://www.basketball-reference.com/boxscores/202510240NOP.html,20251024
october,,Miami Heat,Memphis Grizzlies,146.0,114.0,https://www.basketball-reference.com/boxscores/202510240MEM.html,20251024
october,,Washington Wizards,Dallas Mavericks,117.0,107.0,https://www.basketball-reference.com/boxscores/202510240DAL.html,20251024
october,,Minnesota Timberwolves,Los Angeles Lakers,110.0,128.0,https://www.basketball-reference.com/boxscores/202510240LAL.html,20251024
october,,Golden State Warriors,Portland Trail Blazers,119.0,139.0,https://www.basketball-reference.com/boxscores/202510240POR.html,20251024
october,,Utah Jazz,Sacramento Kings,104.0,105.0,https://www.basketball-reference.com/boxscores/202510240SAC.html,20251024
october,,Phoenix Suns,Los Angeles Clippers,102.0,129.0,https://www.basketball-reference.com/boxscores/202510240LAC.html,20251024
october,,Chicago Bulls,Orlando Magic,110.0,98.0,https://www.basketball-reference.com/boxscores/202510250ORL.html,20251025
october,,Oklahoma City Thunder,Atlanta Hawks,117.0,100.0,https://www.basketball-reference.com/boxscores/202510250ATL.html,20251025
october,,Charlotte Hornets,Philadelphia 76ers,121.0,125.0,https://www.basketball-reference.com/boxscores/202510250PHI.html,20251025
october,,Indiana Pacers,Memphis Grizzlies,103.0,128.0,https://www.basketball-reference.com/boxscores/202510250MEM.html,20251025
october,,Phoenix Suns,Denver Nuggets,111.0,133.0,https://www.basketball-reference.com/boxscores/202510250DEN.html,20251025
october,,Brooklyn Nets,San Antonio Spurs,107.0,118.0,https://www.basketball-reference.com/boxscores/202510260SAS.html,20251026
october,,Boston Celtics,Detroit Pistons,113.0,119.0,https://www.basketball-reference.com/boxscores/202510260DET.html,20251026
october,,Charlotte Hornets,Washington Wizards,139.0,113.0,https://www.basketball-reference.com/boxscores/202510260WAS.html,20251026
october,,New York Knicks,Miami Heat,107.0,115.0,https://www.basketball-reference.com/boxscores/202510260MIA.html,20251026
