id,team_abbr,season,game_num,date,opponent,result,team_score,opponent_score,ot,fg,fga,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_three_p,opp_three_pa,opp_three_p_pct,opp_two_p,opp_two_pa,opp_two_p_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,created_at
,BKN,1988-89,1,1988-12-14,LAL,W,118,113,OT,46,91,.505,1,4,.250,45,87,.517,.511,25,30,.833,19,37,56,22,11,9,19,25,43,89,.483,4,9,.444,39,80,.488,.506,23,35,.657,12,26,38,22,13,2,15,20,2026-06-04T11:38:36.863795
,BKN,1988-89,2,1989-01-17,CHA,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,3,1989-01-17,UTA,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,4,1989-01-17,DAL,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,5,1989-01-17,TOR,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,6,1989-01-17,SAS,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,7,1989-01-17,DEN,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,8,1989-01-17,SAC,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,9,1989-01-17,POR,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,10,1989-01-17,GSW,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,11,1989-01-17,PHX,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,12,1989-01-17,HOU,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,13,1989-01-17,PHI,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,14,1989-01-17,ORL,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,15,1989-01-17,IND,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,16,1989-01-17,OKC,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,17,1989-01-17,LAC,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,18,1989-01-17,NYK,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,19,1989-01-17,NOP,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,20,1989-01-17,MIN,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,21,1989-01-17,MEM,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,22,1989-01-17,MIL,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,23,1989-01-17,CLE,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,24,1989-01-17,WAS,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,25,1989-01-17,MIA,W,117,112,,43,86,.500,4,10,.400,39,76,.513,.523,27,39,.692,14,33,47,26,9,9,21,20,48,94,.511,0,4,.000,48,90,.533,.511,16,26,.615,11,30,41,28,12,8,22,26,2026-06-04T11:38:36.863795
,BKN,1988-89,26,1989-02-05,LAL,L,116,134,,46,86,.535,4,9,.444,42,77,.545,.558,20,28,.714,11,26,37,24,8,4,11,28,50,89,.562,2,9,.222,48,80,.600,.573,32,39,.821,14,28,42,28,6,5,10,18,2026-06-04T11:38:36.863795
,BKN,1988-89,27,1989-03-09,ORL,L,98,112,,39,73,.534,0,4,.000,39,69,.565,.534,20,32,.625,14,23,37,18,18,2,31,19,48,87,.552,4,5,.800,44,82,.537,.575,12,13,.923,10,22,32,23,19,9,27,23,2026-06-04T11:38:36.863795
,BKN,1988-89,28,1989-03-09,SAC,L,98,112,,39,73,.534,0,4,.000,39,69,.565,.534,20,32,.625,14,23,37,18,18,2,31,19,48,87,.552,4,5,.800,44,82,.537,.575,12,13,.923,10,22,32,23,19,9,27,23,2026-06-04T11:38:36.863795
,BKN,1988-89,29,1989-03-09,PHX,L,98,112,,39,73,.534,0,4,.000,39,69,.565,.534,20,32,.625,14,23,37,18,18,2,31,19,48,87,.552,4,5,.800,44,82,.537,.575,12,13,.923,10,22,32,23,19,9,27,23,2026-06-04T11:38:36.863795
,BKN,1988-89,30,1989-03-09,CLE,L,98,112,,39,73,.534,0,4,.000,39,69,.565,.534,20,32,.625,14,23,37,18,18,2,31,19,48,87,.552,4,5,.800,44,82,.537,.575,12,13,.923,10,22,32,23,19,9,27,23,2026-06-04T11:38:36.863795
