id,team_abbr,season,game_num,date,opponent,result,team_score,opponent_score,ot,fg,fga,fg_pct,three_p,three_pa,three_p_pct,two_p,two_pa,two_p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_three_p,opp_three_pa,opp_three_p_pct,opp_two_p,opp_two_pa,opp_two_p_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,created_at
,BKN,2025-26,1,2025/10/29,ATL,L,112,117,,40,88,0.455,11,37,0.297,29,51,0.569,0.517,21,27,0.778,15,32,47,23,4,4,16,17,44,93,0.473,13,33,0.394,31,60,0.517,0.543,16,22,0.727,13,31,44,33,11,8,8,26,2026-06-04T11:28:46.785344
,BKN,2025-26,2,2025/11/18,BOS,L,99,113,,33,82,0.402,14,38,0.368,19,44,0.432,0.488,19,27,0.704,12,27,39,25,12,2,14,22,37,75,0.493,19,42,0.452,18,33,0.545,0.62,20,26,0.769,10,39,49,25,6,5,20,24,2026-06-04T11:28:46.785344
,BKN,2025-26,3,2025/11/21,BOS,W,113,105,,43,82,0.524,13,33,0.394,30,49,0.612,0.604,14,21,0.667,7,34,41,31,5,6,14,17,42,90,0.467,11,34,0.324,31,56,0.554,0.528,10,14,0.714,14,30,44,24,7,1,13,25,2026-06-04T11:28:46.785344
,BKN,2025-26,4,2025/12/3,CHI,W,113,103,,38,78,0.487,19,46,0.413,19,32,0.594,0.609,18,22,0.818,7,35,42,30,12,8,21,19,38,90,0.422,7,30,0.233,31,60,0.517,0.461,20,25,0.8,11,31,42,20,14,1,16,15,2026-06-04T11:28:46.785344
,BKN,2025-26,5,2026/1/16,CHI,W,112,109,,39,91,0.429,19,40,0.475,20,51,0.392,0.533,15,17,0.882,11,36,47,30,7,4,14,17,41,86,0.477,11,35,0.314,30,51,0.588,0.541,16,20,0.8,4,37,41,28,10,10,8,14,2026-06-04T11:28:46.785344
,BKN,2025-26,6,2026/1/18,CHI,L,102,124,,38,83,0.458,16,37,0.432,22,46,0.478,0.554,10,15,0.667,7,31,38,33,4,4,11,15,49,94,0.521,20,46,0.435,29,48,0.604,0.628,6,9,0.667,10,34,44,41,8,5,9,18,2026-06-04T11:28:46.785344
,BKN,2025-26,7,2026/1/23,BOS,L,126,130,2OT,42,95,0.442,13,44,0.295,29,51,0.569,0.511,29,34,0.853,16,42,58,22,5,6,18,26,49,109,0.45,22,51,0.431,27,58,0.466,0.55,10,16,0.625,9,32,41,35,8,5,9,28,2026-06-04T11:28:46.785344
,BKN,2025-26,8,2026/2/22,ATL,L,104,115,,38,85,0.447,12,34,0.353,26,51,0.51,0.518,16,22,0.727,9,25,34,29,9,4,13,18,42,87,0.483,13,33,0.394,29,54,0.537,0.557,18,21,0.857,15,37,52,28,10,4,17,16,2026-06-04T11:28:46.785344
,BKN,2025-26,9,2026/2/27,BOS,L,111,148,,43,88,0.489,14,34,0.412,29,54,0.537,0.568,11,16,0.688,9,16,25,29,7,2,12,25,52,78,0.667,22,34,0.647,30,44,0.682,0.808,22,27,0.815,7,32,39,38,9,7,12,17,2026-06-04T11:28:46.785344
,BKN,2025-26,10,2026/2/9,CHI,W,123,115,,45,88,0.511,12,25,0.48,33,63,0.524,0.58,21,31,0.677,10,37,47,28,10,6,20,22,40,91,0.44,10,36,0.278,30,55,0.545,0.495,25,32,0.781,12,27,39,20,13,8,18,22,2026-06-04T11:28:46.785344
,BKN,2025-26,11,2026/3/12,ATL,L,97,108,,34,72,0.472,12,35,0.343,22,37,0.595,0.556,17,22,0.773,4,35,39,19,5,6,20,29,35,89,0.393,12,40,0.3,23,49,0.469,0.461,26,35,0.743,17,34,51,22,12,6,12,14,2026-06-04T11:28:46.785344
,BKN,2025-26,12,2026/4/3,ATL,L,107,141,,39,79,0.494,12,28,0.429,27,51,0.529,0.57,17,20,0.85,3,30,33,24,10,4,20,21,51,90,0.567,20,39,0.513,31,51,0.608,0.678,19,24,0.792,8,33,41,36,11,9,13,18,2026-06-04T11:28:46.785344
