1996-97 Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,,1,1996/11/1,LAL,,PHO,"W, 96-82",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,1996/11/3,LAL,,MIN,"W, 91-85",,6:22,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,1,1,1,0,-1.1,-8
2,2,3,1996/11/5,LAL,@,NYK,"W, 98-92",,3:16,0,1,0,0,0,,0,1,0,0,1,2,0.5,0,0,0,0,0,0,1,0,1,-1.1,-8
3,3,4,1996/11/6,LAL,@,CHH,"L, 78-88",,6:49,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,0,0,0,0,0,3,0,5,0.7,0
4,4,5,1996/11/8,LAL,@,TOR,"L, 92-93",,17:15,3,8,0.375,2,3,0.667,1,5,0.2,0.5,2,4,0.5,0,3,3,0,0,1,0,3,10,5.2,2
5,5,6,1996/11/10,LAL,,ATL,"W, 92-85",,8:25,0,3,0,0,0,,0,3,0,0,2,2,1,1,2,3,1,0,0,0,0,2,1.9,-4
6,6,7,1996/11/12,LAL,@,HOU,"W, 126-115 (2OT)",,5:03,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,1,1,0,0,0,2,0,2,-0.7,-4
7,7,8,1996/11/13,LAL,@,SAS,"L, 83-95",,6:06,2,2,1,1,1,1,1,1,1,1.25,1,1,1,0,0,0,0,1,0,0,2,6,5.6,-4
8,8,9,1996/11/15,LAL,,LAC,"W, 107-100",,7:01,1,4,0.25,0,2,0,1,2,0.5,0.25,2,3,0.667,0,0,0,0,0,0,1,4,4,-1.4,1
9,9,10,1996/11/17,LAL,@,PHO,"W, 102-88",,14:29,5,8,0.625,4,6,0.667,1,2,0.5,0.875,2,2,1,2,0,2,2,0,0,4,2,16,10.4,-3
10,10,11,1996/11/19,LAL,@,GSW,"W, 112-109",,7:47,0,2,0,0,1,0,0,1,0,0,3,4,0.75,0,2,2,1,0,0,1,2,3,0.7,-2
11,11,12,1996/11/20,LAL,,UTA,"L, 97-113",,20:32,4,5,0.8,3,3,1,1,2,0.5,1.1,0,0,,0,1,1,1,0,1,2,1,11,8.4,-5
11,,13,1996/11/22,LAL,,SAS,"W, 96-86",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,
11,,14,1996/11/24,LAL,,HOU,"L, 85-90",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,15,1996/11/26,LAL,@,PHI,"W, 100-88",,20:52,4,10,0.4,2,5,0.4,2,5,0.4,0.5,2,2,1,0,1,1,1,0,0,3,1,12,4.2,12
13,13,16,1996/11/27,LAL,@,BOS,"L, 94-110",,19:33,1,7,0.143,0,3,0,1,4,0.25,0.143,0,0,,1,3,4,1,0,1,2,3,2,-2.7,-8
14,14,17,1996/11/29,LAL,@,DET,"W, 84-76",,6:35,0,1,0,0,0,,0,1,0,0,1,2,0.5,1,0,1,0,0,1,0,1,1,0.9,2
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
15,15,18,1996/12/1,LAL,,DEN,"W, 104-96",,2:41,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,0,0,0,1,0,2,0.3,-4
15,,19,1996/12/3,LAL,,SEA,"W, 110-106",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,20,1996/12/4,LAL,@,UTA,"L, 75-101",,13:24,2,6,0.333,0,0,,2,6,0.333,0.333,4,6,0.667,1,2,3,2,0,0,1,1,8,5.1,0
16,,21,1996/12/6,LAL,,ORL,"W, 92-81",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,22,1996/12/8,LAL,,MIN,"W, 110-86",,22:02,3,10,0.3,0,3,0,3,7,0.429,0.3,5,6,0.833,2,1,3,3,2,2,3,2,11,8.2,-1
18,18,23,1996/12/10,LAL,@,SAC,"W, 92-90",,6:07,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,1,1,0,1,0,0,0.3,-8
18,,24,1996/12/11,LAL,,IND,"W, 79-76",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
18,,25,1996/12/13,LAL,,POR,"W, 120-119 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,26,1996/12/17,LAL,@,CHI,"L, 123-129 (OT)",,9:48,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,2,0,0,1,1,0,0,1,0,1,5,2.1,-5
20,20,27,1996/12/18,LAL,@,MIL,"W, 111-105",,7:49,0,0,,0,0,,0,0,,,0,0,,2,1,3,1,0,1,1,0,0,2.1,-4
21,21,28,1996/12/21,LAL,@,MIN,"L, 88-103",,11:38,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,1,1,0,0,1,3,2,5,0.9,-4
22,22,29,1996/12/25,LAL,@,PHO,"W, 108-87",,5:12,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,1,0,-1.5,3
22,,30,1996/12/27,LAL,,BOS,"W, 109-102",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,31,1996/12/29,LAL,,PHI,"W, 115-102",,6:31,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,1,0,1,3,0,-1.6,2
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
24,24,32,1997/1/2,LAL,@,SAC,"W, 90-83",,10:29,2,3,0.667,0,1,0,2,2,1,0.667,0,0,,0,1,1,2,1,0,0,3,4,4.2,6
25,25,33,1997/1/3,LAL,,SAC,"W, 100-93",,22:16,6,10,0.6,0,2,0,6,8,0.75,0.6,9,10,0.9,2,3,5,1,2,2,0,1,21,22,10
26,26,34,1997/1/5,LAL,@,VAN,"W, 95-82",,28:48:00,6,9,0.667,1,1,1,5,8,0.625,0.722,3,4,0.75,3,2,5,3,1,0,2,3,16,14.3,12
27,27,35,1997/1/6,LAL,@,POR,"L, 84-88",,23:12,3,9,0.333,1,3,0.333,2,6,0.333,0.389,1,2,0.5,0,2,2,2,2,0,2,3,8,3.3,7
28,28,36,1997/1/8,LAL,,CHH,"W, 101-97",,21:32,4,13,0.308,0,2,0,4,11,0.364,0.308,1,2,0.5,1,0,1,2,2,1,2,2,9,3.1,-2
29,29,37,1997/1/10,LAL,,MIA,"W, 94-85",,7:46,1,3,0.333,0,1,0,1,2,0.5,0.333,0,0,,1,2,3,0,0,0,2,0,2,-0.4,-2
30,30,38,1997/1/14,LAL,,VAN,"W, 91-81",,5:34,1,6,0.167,0,2,0,1,4,0.25,0.167,0,0,,0,0,0,0,1,0,0,1,2,-1.2,-5
30,,39,1997/1/16,LAL,,POR,"L, 98-102",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,40,1997/1/18,LAL,,DET,"L, 97-100 (2OT)",,32:20:00,8,13,0.615,3,5,0.6,5,8,0.625,0.731,2,2,1,0,2,2,5,1,0,4,1,21,15.8,-1
32,32,41,1997/1/20,LAL,,DAL,"W, 109-99",,13:24,3,7,0.429,0,0,,3,7,0.429,0.429,0,0,,1,1,2,1,1,0,5,2,6,-0.8,-5
33,33,42,1997/1/24,LAL,,GSW,"W, 114-97",,24:54:00,4,8,0.5,1,4,0.25,3,4,0.75,0.563,8,8,1,3,3,6,4,1,0,3,2,17,16,13
34,34,43,1997/1/26,LAL,@,SEA,"W, 104-103",,17:02,3,6,0.5,1,1,1,2,5,0.4,0.583,0,0,,1,0,1,1,1,0,3,0,7,3.4,-3
35,35,44,1997/1/28,LAL,@,DAL,"W, 102-83",*,31:45:00,5,11,0.455,0,3,0,5,8,0.625,0.455,2,3,0.667,1,2,3,2,2,1,3,1,12,7.9,10
36,36,45,1997/1/29,LAL,@,SAS,"W, 99-92",*,29:51:00,6,12,0.5,3,7,0.429,3,5,0.6,0.625,4,4,1,1,3,4,0,2,2,3,2,19,14.2,13
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
37,37,46,1997/2/2,LAL,,WSB,"W, 129-99",,24:00:00,2,9,0.222,0,1,0,2,8,0.25,0.222,9,9,1,0,3,3,3,0,0,1,0,13,9.5,2
38,38,47,1997/2/4,LAL,@,LAC,"L, 86-108",,22:32,2,10,0.2,0,2,0,2,8,0.25,0.2,2,2,1,1,2,3,0,2,0,2,2,6,0.3,-18
39,39,48,1997/2/5,LAL,,CHI,"W, 106-90",,12:40,2,7,0.286,1,2,0.5,1,5,0.2,0.357,0,0,,1,2,3,0,0,1,0,0,5,2.9,10
40,40,49,1997/2/12,LAL,@,MIN,"W, 100-84",,11:02,0,4,0,0,0,,0,4,0,0,2,3,0.667,1,1,2,3,0,1,1,1,2,1.2,2
41,41,50,1997/2/13,LAL,@,DEN,"W, 132-117",,20:00,4,10,0.4,1,2,0.5,3,8,0.375,0.45,0,0,,1,1,2,3,1,0,1,2,9,5.9,14
42,42,51,1997/2/16,LAL,,SEA,"L, 91-102",,12:55,0,3,0,0,1,0,0,2,0,0,0,0,,0,1,1,0,0,0,2,2,0,-4.6,-18
43,43,52,1997/2/19,LAL,,CLE,"L, 84-103",*,23:27,3,7,0.429,2,4,0.5,1,3,0.333,0.571,2,2,1,0,2,2,0,0,2,1,3,10,6.1,4
44,44,53,1997/2/21,LAL,,VAN,"W, 99-91",,5:15,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,2,0,2,0,-1
45,45,54,1997/2/23,LAL,,NYK,"L, 121-127 (2OT)",,3:47,0,2,0,0,1,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,1,0,-1.5,4
