--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,766,1,2013-10-29,MIA,,CHI,W 107-95,*,38:01,.568,.455,0.0,16.5,9.4,32.9,1.3,0.0,11.8,20.8,121,101,16.9,2.7
2,767,2,2013-10-30,MIA,@,PHI,L 110-114,*,36:38,.666,.647,0.0,16.4,7.4,56.4,0.0,0.0,17.6,27.2,127,118,21.4,8.5
3,768,3,2013-11-01,MIA,@,BRK,L 100-101,*,42:14,.613,.605,3.1,20.7,11.4,35.0,2.4,2.2,19.1,30.4,102,107,19.9,4.4
4,769,4,2013-11-03,MIA,,WAS,W 103-93,*,34:41,.772,.750,0.0,10.1,5.7,28.2,1.6,0.0,27.0,31.4,108,109,17.0,2.9
5,770,5,2013-11-05,MIA,@,TOR,W 104-95,*,36:01,.744,.675,7.2,19.5,13.7,45.0,0.0,2.6,4.1,32.6,157,110,33.9,20.9
6,771,6,2013-11-07,MIA,,LAC,W 102-97,*,37:09,.531,.500,0.0,20.8,9.5,25.6,1.4,0.0,19.1,26.7,96,108,10.8,-0.7
7,772,7,2013-11-09,MIA,,BOS,L 110-111,*,36:32,.737,.692,4.1,24.2,15.0,45.0,0.0,0.0,22.8,30.1,126,123,23.1,5.5
8,773,8,2013-11-12,MIA,,MIL,W 118-95,*,29:58,.698,.714,0.0,11.2,6.5,12.7,0.0,0.0,11.3,41.6,116,107,21.6,4.3
9,774,9,2013-11-15,MIA,,DAL,W 110-104,*,36:58,.854,.806,0.0,21.6,11.5,23.8,1.3,0.0,20.8,36.3,135,112,31.2,10.0
10,775,10,2013-11-16,MIA,@,CHA,W 97-81,*,31:55,.759,.722,4.7,9.6,7.6,68.1,1.7,2.7,13.2,36.4,140,96,27.4,19.8
11,776,11,2013-11-19,MIA,,ATL,W 104-88,*,30:42,.454,.462,8.7,15.6,12.3,24.7,1.7,0.0,17.3,25.9,95,100,9.6,-3.0
12,777,12,2013-11-20,MIA,@,ORL,W 120-92,*,29:05,.663,.455,5.5,23.6,15.2,38.8,1.8,3.9,20.2,30.0,135,98,20.1,6.9
13,778,13,2013-11-23,MIA,,ORL,W 101-99,*,37:35,.684,.654,0.0,29.5,15.5,31.9,4.1,0.0,15.7,24.0,122,98,22.5,13.8
14,779,14,2013-11-25,MIA,,PHO,W 107-92,*,33:21,.929,.857,0.0,16.0,8.7,24.8,1.6,2.8,17.5,31.7,153,100,31.6,21.8
15,780,15,2013-11-27,MIA,@,CLE,W 95-84,*,37:06,.587,.500,0.0,20.3,11.8,44.3,4.1,0.0,4.0,33.1,120,83,26.3,12.9
16,781,16,2013-11-29,MIA,@,TOR,W 90-83,*,36:27,.687,.676,3.7,15.3,10.0,17.3,1.4,3.1,13.3,29.6,115,90,20.5,11.6
17,782,17,2013-12-01,MIA,,CHA,W 99-98,*,38:16,.747,.654,0.0,17.4,8.6,19.3,1.4,2.1,14.7,27.2,132,108,22.7,7.3
18,783,18,2013-12-03,MIA,,DET,L 97-107,*,36:58,.621,.600,8.5,7.6,8.1,30.4,2.8,2.0,24.5,28.7,106,115,17.3,5.8
