Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2023-10-25,,DAL,L,119,126,,46,89,.517,11,35,.314,35,54,.648,.579,16,22,.727,9,36,45,33,8,5,19,23,47,99,.475,15,47,.319,32,52,.615,.551,17,23,.739,13,35,48,24,6,3,12,20
2,2,2023-10-27,,HOU,W,126,122,OT,46,94,.489,13,42,.310,33,52,.635,.559,21,28,.750,12,31,43,32,11,4,18,17,52,100,.520,8,32,.250,44,68,.647,.560,10,20,.500,11,32,43,30,7,2,18,26
3,3,2023-10-29,@,LAC,L,83,123,,30,80,.375,11,33,.333,19,47,.404,.444,12,16,.750,6,31,37,21,9,6,25,23,47,91,.516,16,42,.381,31,49,.633,.604,13,21,.619,9,39,48,23,15,5,16,16
4,4,2023-10-31,@,PHO,W,115,114,,43,92,.467,14,37,.378,29,55,.527,.543,15,20,.750,8,29,37,25,10,9,12,17,42,83,.506,18,39,.462,24,44,.545,.614,12,15,.800,6,37,43,29,8,7,19,18
5,5,2023-11-02,@,PHO,W,132,121,,51,98,.520,18,37,.486,33,61,.541,.612,12,13,.923,9,32,41,37,7,5,8,21,43,80,.538,16,32,.500,27,48,.563,.638,19,26,.731,5,29,34,26,5,4,14,15
6,6,2023-11-05,,TOR,L,116,123,OT,48,96,.500,10,32,.313,38,64,.594,.552,10,13,.769,9,37,46,30,7,7,17,21,44,97,.454,19,48,.396,25,49,.510,.552,16,26,.615,13,34,47,29,12,6,15,15
7,7,2023-11-06,@,IND,L,111,152,,40,94,.426,8,26,.308,32,68,.471,.468,23,30,.767,12,24,36,26,7,5,11,15,55,95,.579,20,38,.526,35,57,.614,.684,22,23,.957,9,40,49,38,7,4,15,24
8,8,2023-11-08,@,NYK,L,105,126,,44,90,.489,9,34,.265,35,56,.625,.539,8,13,.615,11,35,46,31,2,7,13,22,46,100,.460,19,42,.452,27,58,.466,.555,15,22,.682,13,34,47,28,7,0,4,14
9,9,2023-11-10,,MIN,L,110,117,,43,92,.467,12,34,.353,31,58,.534,.533,12,19,.632,7,31,38,29,9,8,14,21,43,87,.494,10,27,.370,33,60,.550,.552,21,27,.778,13,38,51,23,6,4,18,19
10,10,2023-11-12,,MIA,L,113,118,,42,91,.462,19,44,.432,23,47,.489,.566,10,12,.833,11,39,50,35,3,6,17,21,39,89,.438,12,31,.387,27,58,.466,.506,28,30,.933,11,30,41,26,7,3,7,12
11,11,2023-11-14,@,OKC,L,87,123,,36,93,.387,9,30,.300,27,63,.429,.435,6,9,.667,13,30,43,24,7,6,25,13,46,89,.517,15,39,.385,31,50,.620,.601,16,20,.800,4,36,40,34,19,6,16,17
12,12,2023-11-17,,SAC,L,120,129,,43,92,.467,15,36,.417,28,56,.500,.549,19,23,.826,6,36,42,33,7,3,15,21,46,85,.541,18,42,.429,28,43,.651,.647,19,24,.792,4,38,42,31,10,2,14,22
13,13,2023-11-18,,MEM,L,108,120,,36,83,.434,15,40,.375,21,43,.488,.524,21,26,.808,12,28,40,26,5,9,15,28,40,86,.465,11,33,.333,29,53,.547,.529,29,36,.806,12,33,45,23,7,3,14,25
14,14,2023-11-20,,LAC,L,99,124,,39,90,.433,10,38,.263,29,52,.558,.489,11,14,.786,13,36,49,23,4,7,16,17,45,95,.474,12,36,.333,33,59,.559,.537,22,25,.880,10,41,51,30,15,3,7,10
15,15,2023-11-22,,LAC,L,102,109,,35,91,.385,11,38,.289,24,53,.453,.445,21,23,.913,10,34,44,26,8,6,14,24,39,85,.459,9,28,.321,30,57,.526,.512,22,29,.759,11,39,50,29,10,3,16,23
16,16,2023-11-24,@,GSW,L,112,118,,45,100,.450,12,47,.255,33,53,.623,.510,10,12,.833,15,31,46,28,10,3,20,18,40,81,.494,19,42,.452,21,39,.538,.611,19,24,.792,7,34,41,35,7,2,24,21
17,17,2023-11-26,@,DEN,L,120,132,,42,93,.452,14,37,.378,28,56,.500,.527,22,26,.846,10,25,35,34,10,6,15,22,50,89,.562,12,28,.429,38,61,.623,.629,20,25,.800,11,34,45,38,8,3,20,25
18,18,2023-11-30,,ATL,L,135,137,,48,89,.539,18,41,.439,30,48,.625,.640,21,23,.913,11,36,47,34,4,7,21,22,49,96,.510,14,33,.424,35,63,.556,.583,25,29,.862,8,29,37,24,14,2,10,25
19,19,2023-12-01,@,NOP,L,106,121,,38,83,.458,16,39,.410,22,44,.500,.554,14,17,.824,8,31,39,28,5,5,20,21,42,85,.494,10,31,.323,32,54,.593,.553,27,29,.931,10,32,42,26,8,6,12,15
20,20,2023-12-06,@,MIN,L,94,102,,38,101,.376,8,36,.222,30,65,.462,.416,10,15,.667,13,36,49,23,7,4,12,17,36,87,.414,12,40,.300,24,47,.511,.483,18,21,.857,11,44,55,20,4,10,14,16
