1997-98 Regular Season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,1997/10/31,SAS,@,DEN,"W, 107-96",*,35:30:00,6,9,0.667,0,0,,6,9,0.667,0.667,3,5,0.6,1,9,10,2,0,2,4,2,15,11.7,-1
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,2,2,1997/11/1,SAS,,CLE,"W, 83-80",*,22:53,4,7,0.571,0,0,,4,7,0.571,0.571,1,2,0.5,1,4,5,4,1,2,4,5,9,6.4,10
3,3,3,1997/11/3,SAS,@,CHI,"L, 83-87 (2OT)",*,46:34:00,8,14,0.571,0,1,0,8,13,0.615,0.571,3,6,0.5,6,16,22,0,0,1,4,4,19,15.3,1
4,4,4,1997/11/5,SAS,,VAN,"W, 87-79",*,35:18:00,9,16,0.563,0,0,,9,16,0.563,0.563,1,5,0.2,2,7,9,3,0,4,2,2,19,15.4,10
5,5,5,1997/11/8,SAS,,UTA,"W, 87-80",*,36:38:00,3,10,0.3,0,0,,3,10,0.3,0.3,2,4,0.5,5,8,13,2,0,4,3,6,8,6.1,4
6,6,6,1997/11/10,SAS,@,TOR,"W, 100-98",*,34:17:00,7,9,0.778,0,0,,7,9,0.778,0.778,1,4,0.25,2,6,8,3,1,4,5,3,15,13.2,-2
7,7,7,1997/11/11,SAS,@,MIN,"W, 93-92",*,34:39:00,9,13,0.692,0,0,,9,13,0.692,0.692,4,6,0.667,3,6,9,1,0,1,3,4,22,16.4,-3
8,8,8,1997/11/13,SAS,,LAL,"L, 100-109 (OT)",*,38:46:00,9,17,0.529,0,1,0,9,16,0.563,0.529,1,2,0.5,3,10,13,4,0,3,4,3,19,15.1,1
9,9,9,1997/11/15,SAS,,MIN,"L, 94-105",*,40:47:00,5,8,0.625,0,0,,5,8,0.625,0.625,5,10,0.5,2,15,17,0,0,1,1,4,15,13.4,-2
10,10,10,1997/11/19,SAS,,GSW,"W, 108-87",*,35:38:00,9,14,0.643,0,0,,9,14,0.643,0.643,1,5,0.2,1,9,10,2,0,3,2,2,19,15.3,14
11,11,11,1997/11/21,SAS,@,SEA,"L, 74-94",*,31:13:00,3,8,0.375,0,0,,3,8,0.375,0.375,2,6,0.333,1,8,9,0,1,2,3,2,8,3.7,-14
12,12,12,1997/11/22,SAS,@,UTA,"L, 74-103",*,32:55:00,4,12,0.333,0,0,,4,12,0.333,0.333,1,2,0.5,3,4,7,0,1,2,4,4,9,1.9,-16
13,13,13,1997/11/25,SAS,@,DAL,"W, 102-91",*,22:27,5,9,0.556,0,0,,5,9,0.556,0.556,1,6,0.167,2,8,10,1,1,2,3,4,11,7,8
14,14,14,1997/11/26,SAS,,WAS,"L, 94-98",*,41:10:00,9,15,0.6,0,0,,9,15,0.6,0.6,0,0,,3,11,14,0,0,5,5,2,18,14.2,-3
15,15,15,1997/11/29,SAS,,DAL,"W, 96-87",*,41:08:00,7,12,0.583,0,0,,7,12,0.583,0.583,3,4,0.75,5,9,14,5,2,5,3,1,17,22.8,15
16,16,16,1997/11/30,SAS,@,ATL,"L, 96-108",*,37:32:00,9,14,0.643,0,0,,9,14,0.643,0.643,2,2,1,1,7,8,3,1,0,4,5,20,13.7,-6
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
17,17,17,1997/12/2,SAS,,NYK,"W, 90-84",*,39:06:00,9,15,0.6,0,0,,9,15,0.6,0.6,5,8,0.625,4,9,13,2,2,0,1,2,23,22,16
18,18,18,1997/12/4,SAS,@,LAC,"L, 96-100 (OT)",*,47:25:00,7,17,0.412,0,0,,7,17,0.412,0.412,2,2,1,2,14,16,3,0,3,4,3,16,11.5,-1
19,19,19,1997/12/5,SAS,@,LAL,"L, 88-98",*,41:45:00,8,13,0.615,0,0,,8,13,0.615,0.615,2,3,0.667,2,7,9,3,2,2,5,2,18,14.9,0
20,20,20,1997/12/9,SAS,@,HOU,"L, 78-108",*,30:29:00,4,10,0.4,0,0,,4,10,0.4,0.4,5,6,0.833,3,6,9,2,1,1,4,3,13,9,-26
21,21,21,1997/12/10,SAS,,LAC,"W, 102-87",*,41:52:00,6,17,0.353,0,0,,6,17,0.353,0.353,2,4,0.5,4,8,12,1,1,6,3,2,14,11,13
22,22,22,1997/12/13,SAS,,ORL,"W, 107-78",*,35:34:00,15,20,0.75,0,0,,15,20,0.75,0.75,2,3,0.667,1,10,11,3,0,1,0,1,32,29.7,29
23,23,23,1997/12/16,SAS,@,DEN,"W, 99-85",*,29:59:00,9,11,0.818,0,0,,9,11,0.818,0.818,2,4,0.5,3,5,8,3,1,2,2,4,20,19.6,21
24,24,24,1997/12/17,SAS,,VAN,"W, 98-87",*,43:17:00,7,16,0.438,0,0,,7,16,0.438,0.438,5,7,0.714,3,10,13,3,0,7,4,4,19,16.3,18
25,25,25,1997/12/20,SAS,,HOU,"W, 100-87",*,40:52:00,9,14,0.643,0,0,,9,14,0.643,0.643,2,6,0.333,3,7,10,5,0,0,0,4,20,18.3,16
26,26,26,1997/12/23,SAS,,IND,"W, 91-79",*,42:16:00,9,15,0.6,0,0,,9,15,0.6,0.6,0,4,0,5,12,17,1,1,2,4,4,18,14.1,14
27,27,27,1997/12/26,SAS,,BOS,"W, 101-86",*,37:42:00,9,12,0.75,0,0,,9,12,0.75,0.75,5,8,0.625,3,12,15,1,0,8,6,2,23,22.2,15
28,28,28,1997/12/28,SAS,@,POR,"L, 79-82",*,33:46:00,5,11,0.455,0,0,,5,11,0.455,0.455,3,4,0.75,2,10,12,0,0,2,1,5,13,9.7,0
29,29,29,1997/12/30,SAS,@,VAN,"W, 124-115",*,39:25:00,7,10,0.7,0,0,,7,10,0.7,0.7,8,10,0.8,3,6,9,1,1,2,4,4,22,18.4,-3
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
