--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,
Season,Age,Team,Lg,Round,Opp,W/L,G,MP,PTS,TRB,AST,STL,BLK,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1997-98,21,SAS,NBA,WC1,PHO,W (3-1),4,40.8,20.3,9.8,2.8,0.5,3.8,34,61,.557,0,0,,34,61,.557,.557,13,22,.591,8,31,39,11,2,15,14,12,81,
1997-98,22,SAS,NBA,WCS,UTA,L (1-4),5,42.0,21.0,8.4,1.2,0.6,1.6,39,79,.494,0,1,.000,39,78,.500,.494,27,38,.711,12,30,42,6,3,8,11,12,105,
1998-99,23,SAS,NBA,WC1,MIN,W (3-1),4,42.8,18.8,10.8,3.3,0.8,3.0,29,63,.460,0,1,.000,29,62,.468,.460,17,22,.773,17,26,43,13,3,12,7,9,75,
1998-99,23,SAS,NBA,WCS,LAL,W (4-0),4,44.3,29.0,10.8,3.3,1.0,2.0,39,76,.513,0,0,,39,76,.513,.513,38,47,.809,10,33,43,13,4,8,18,16,116,
1998-99,23,SAS,NBA,WCF,POR,W (4-0),4,39.3,16.8,9.8,2.5,0.3,3.5,25,48,.521,0,0,,25,48,.521,.521,17,30,.567,14,25,39,10,1,14,10,13,67,
1998-99,23,SAS,NBA,FIN,NYK,W (4-1),5,45.6,27.4,14.0,2.4,1.0,2.2,51,95,.537,0,2,.000,51,93,.548,.537,35,44,.795,14,56,70,12,5,11,17,12,137,Finals MVP-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01,24,SAS,NBA,WC1,MIN,W (3-1),4,38.5,22.5,13.0,3.5,1.0,2.0,34,73,.466,0,0,,34,73,.466,.466,22,34,.647,14,38,52,14,4,8,11,13,90,
2000-01,25,SAS,NBA,WCS,DAL,W (4-1),5,40.4,27.0,17.4,3.6,1.0,2.0,53,104,.510,0,0,,53,104,.510,.510,29,48,.604,24,63,87,18,5,10,21,13,135,
2000-01,25,SAS,NBA,WCF,LAL,L (0-4),4,42.3,23.0,12.3,4.3,1.3,4.3,33,69,.478,1,1,1.000,32,68,.471,.486,25,37,.676,16,33,49,17,5,17,18,16,92,
2001-02,25,SAS,NBA,WC1,SEA,W (3-2),4,39.0,25.8,11.0,5.5,0.3,5.8,34,68,.500,0,1,.000,34,67,.507,.500,35,39,.897,6,38,44,22,1,23,14,5,103,
2001-02,26,SAS,NBA,WCS,LAL,L (1-4),5,44.8,29.0,17.2,4.6,1.0,3.2,48,113,.425,1,2,.500,47,111,.423,.429,48,62,.774,22,64,86,23,5,16,23,17,145,
2002-03,26,SAS,NBA,WC1,PHO,W (4-2),6,42.8,18.7,16.0,5.2,0.3,3.5,38,73,.521,0,0,,38,73,.521,.521,36,52,.692,28,68,96,31,2,21,22,19,112,
2002-03,27,SAS,NBA,WCS,LAL,W (4-2),6,40.2,28.0,11.8,4.8,0.3,1.3,64,121,.529,0,2,.000,64,119,.538,.529,40,57,.702,17,54,71,29,2,8,13,21,168,
2002-03,27,SAS,NBA,WCF,DAL,W (4-2),6,43.3,28.0,16.7,5.8,0.8,3.0,62,109,.569,0,3,.000,62,106,.585,.569,44,69,.638,28,72,100,35,5,18,18,22,168,
2002-03,27,SAS,NBA,FIN,NJN,W (4-2),6,44.0,24.2,17.0,5.3,1.0,5.3,54,109,.495,0,2,.000,54,107,.505,.495,37,54,.685,23,79,102,32,6,32,23,16,145,Finals MVP-1
2003-04,27,SAS,NBA,WC1,MEM,W (4-0),4,38.3,24.3,10.0,3.0,0.5,2.5,40,68,.588,0,0,,40,68,.588,.588,17,30,.567,10,30,40,12,2,10,14,13,97,
2003-04,28,SAS,NBA,WCS,LAL,L (2-4),6,41.8,20.7,12.2,3.3,1.0,1.7,43,91,.473,0,1,.000,43,90,.478,.473,38,57,.667,23,50,73,20,6,10,28,21,124,
2004-05,28,SAS,NBA,WC1,DEN,W (4-1),5,33.0,22.0,11.2,3.4,0.0,2.6,44,94,.468,0,0,,44,94,.468,.468,22,30,.733,11,45,56,17,0,13,12,19,110,
2004-05,29,SAS,NBA,WCS,SEA,W (4-2),6,36.3,25.2,10.3,2.5,0.3,2.5,50,109,.459,1,2,.500,49,107,.458,.463,50,69,.725,20,42,62,15,2,15,18,16,151,
2004-05,29,SAS,NBA,WCF,PHO,W (4-1),5,39.6,27.4,13.8,3.2,0.6,1.8,49,93,.527,0,3,.000,49,90,.544,.527,39,52,.750,23,46,69,16,3,9,15,15,137,
2004-05,29,SAS,NBA,FIN,DET,W (4-3),7,40.7,20.6,14.1,2.1,0.4,2.1,54,129,.419,0,0,,54,129,.419,.419,36,54,.667,33,66,99,15,3,15,17,16,144,Finals MVP-1
2005-06,29,SAS,NBA,WC1,SAC,W (4-2),6,33.7,18.3,9.2,2.8,0.7,1.2,41,67,.612,0,0,,41,67,.612,.612,28,41,.683,9,46,55,17,4,7,13,22,110,
2005-06,30,SAS,NBA,WCS,DAL,L (3-4),7,41.6,32.3,11.7,3.7,1.0,2.6,80,144,.556,0,2,.000,80,142,.563,.556,66,90,.733,24,58,82,26,7,18,21,28,226,
2006-07,30,SAS,NBA,WC1,DEN,W (4-1),5,37.6,20.2,10.6,5.4,0.8,2.8,44,93,.473,0,0,,44,93,.473,.473,13,22,.591,18,35,53,27,4,14,12,9,101,
2006-07,31,SAS,NBA,WCS,PHO,W (4-2),6,38.2,26.8,13.7,1.2,0.2,4.2,63,110,.573,0,0,,63,110,.573,.573,35,57,.614,28,54,82,7,1,25,14,21,161,
2006-07,31,SAS,NBA,WCF,UTA,W (4-1),5,34.0,21.8,9.6,3.2,0.6,2.8,38,66,.576,0,0,,38,66,.576,.576,33,46,.717,11,37,48,16,3,14,22,16,109,
2006-07,31,SAS,NBA,FIN,CLE,W (4-0),4,37.3,18.3,11.5,3.8,1.3,2.3,29,65,.446,0,0,,29,65,.446,.446,15,24,.625,16,30,46,15,5,9,11,13,73,
2007-08,31,SAS,NBA,WC1,PHO,W (4-1),5,39.8,24.8,13.8,2.6,0.8,2.4,52,105,.495,1,1,1.000,51,104,.490,.500,19,31,.613,27,42,69,13,4,12,14,13,124,
2007-08,32,SAS,NBA,WCS,NOH,W (4-3),7,38.0,15.3,13.0,2.7,0.7,1.9,40,95,.421,0,2,.000,40,93,.430,.421,27,40,.675,18,73,91,19,5,13,15,14,107,
2007-08,32,SAS,NBA,WCF,LAL,L (1-4),5,40.2,22.4,17.4,4.8,1.2,2.0,43,101,.426,0,2,.000,43,99,.434,.426,26,44,.591,16,71,87,24,6,10,12,14,112,
2008-09,32,SAS,NBA,WC1,DAL,L (1-4),5,32.8,19.8,8.0,3.2,0.6,1.2,41,77,.532,0,0,,41,77,.532,.532,17,28,.607,12,28,40,16,3,6,7,11,99,
2009-10,33,SAS,NBA,WC1,DAL,W (4-2),6,37.2,18.2,9.5,2.7,0.5,1.0,46,92,.500,0,0,,46,92,.500,.500,17,35,.486,16,41,57,16,3,6,17,11,109,
2009-10,34,SAS,NBA,WCS,PHO,L (0-4),4,37.5,20.3,10.5,2.5,1.3,2.8,32,58,.552,1,2,.500,31,56,.554,.560,16,34,.471,14,28,42,10,5,11,7,16,81,
2010-11,34,SAS,NBA,WC1,MEM,L (2-4),6,35.3,12.7,10.5,2.7,0.5,2.5,33,69,.478,0,0,,33,69,.478,.478,10,16,.625,16,47,63,16,3,15,18,17,76,
2011-12,36,SAS,NBA,WC1,UTA,W (4-0),4,30.3,14.3,8.8,2.5,1.0,1.8,23,49,.469,0,1,.000,23,48,.479,.469,11,14,.786,7,28,35,10,4,7,5,7,57,
2011-12,36,SAS,NBA,WCS,LAC,W (4-0),4,34.0,21.0,9.3,3.3,1.0,2.0,38,64,.594,0,0,,38,64,.594,.594,8,10,.800,7,30,37,13,4,8,5,7,84,
2011-12,36,SAS,NBA,WCF,OKC,L (2-4),6,34.5,17.0,9.8,2.7,0.3,2.3,40,91,.440,0,0,,40,91,.440,.440,22,34,.647,18,41,59,16,2,14,11,16,102,
2012-13,36,SAS,NBA,WC1,LAL,W (4-0),4,32.3,17.5,7.5,1.5,1.5,1.0,30,58,.517,0,1,.000,30,57,.526,.517,10,12,.833,8,22,30,6,6,4,6,12,70,
2012-13,37,SAS,NBA,WCS,GSW,W (4-2),6,35.7,19.5,10.3,1.8,0.5,1.3,44,104,.423,0,0,,44,104,.423,.423,29,34,.853,12,50,62,11,3,8,11,12,117,
2012-13,37,SAS,NBA,WCF,MEM,W (4-0),4,34.3,15.5,9.3,3.3,0.8,3.0,27,57,.474,0,0,,27,57,.474,.474,8,13,.615,8,29,37,13,3,12,9,13,62,
