Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Tue, Nov 2, 1999",Orlando Magic,86,Charlotte Hornets,100,Box Score,,"17,461",,Charlotte Coliseum,,2000,November
"Tue, Nov 2, 1999",Golden State Warriors,96,Dallas Mavericks,108,Box Score,,"12,848",,Reunion Arena,,2000,November
"Tue, Nov 2, 1999",Phoenix Suns,102,Denver Nuggets,107,Box Score,OT,"19,099",,Pepsi Center,,2000,November
"Tue, Nov 2, 1999",Milwaukee Bucks,98,Houston Rockets,93,Box Score,,"14,491",,Compaq Center,,2000,November
"Tue, Nov 2, 1999",Seattle SuperSonics,104,Los Angeles Clippers,92,Box Score,,"17,847",,STAPLES Center,,2000,November
"Tue, Nov 2, 1999",Detroit Pistons,122,Miami Heat,128,Box Score,2OT,"14,623",,Miami Arena,,2000,November
"Tue, Nov 2, 1999",Indiana Pacers,119,New Jersey Nets,112,Box Score,,"13,051",,Continental Airlines Arena,,2000,November
"Tue, Nov 2, 1999",Cleveland Cavaliers,84,New York Knicks,92,Box Score,,"19,763",,Madison Square Garden (IV),,2000,November
"Tue, Nov 2, 1999",Philadelphia 76ers,76,San Antonio Spurs,89,Box Score,,"27,288",,Alamodome,,2000,November
"Tue, Nov 2, 1999",Boston Celtics,103,Toronto Raptors,90,Box Score,,"17,711",2:10,Air Canada Centre,,2000,November
"Tue, Nov 2, 1999",Los Angeles Lakers,91,Utah Jazz,84,Box Score,,"19,911",,Delta Center,,2000,November
"Tue, Nov 2, 1999",Portland Trail Blazers,106,Vancouver Grizzlies,86,Box Score,,"18,218",,General Motors Place,,2000,November
"Tue, Nov 2, 1999",Atlanta Hawks,87,Washington Wizards,94,Box Score,,"16,038",,MCI Center,,2000,November
"Wed, Nov 3, 1999",Washington Wizards,101,Boston Celtics,112,Box Score,,"16,082",2:25,FleetCenter,,2000,November
"Wed, Nov 3, 1999",New York Knicks,84,Chicago Bulls,74,Box Score,,"22,176",,United Center,,2000,November
"Wed, Nov 3, 1999",New Jersey Nets,90,Cleveland Cavaliers,97,Box Score,,"16,777",,Gund Arena,,2000,November
"Wed, Nov 3, 1999",Vancouver Grizzlies,88,Los Angeles Lakers,103,Box Score,,"18,997",,STAPLES Center,,2000,November
"Wed, Nov 3, 1999",Detroit Pistons,94,Orlando Magic,103,Box Score,,"14,253",,TD Waterhouse Centre,,2000,November
"Wed, Nov 3, 1999",Los Angeles Clippers,98,Portland Trail Blazers,121,Box Score,,"20,584",,Rose Garden Arena,,2000,November
"Thu, Nov 4, 1999",Milwaukee Bucks,119,Atlanta Hawks,109,Box Score,,"18,514",,Philips Arena,,2000,November
"Thu, Nov 4, 1999",Indiana Pacers,89,Charlotte Hornets,98,Box Score,,"15,762",,Charlotte Coliseum,,2000,November
"Thu, Nov 4, 1999",Philadelphia 76ers,80,Phoenix Suns,84,Box Score,,"19,023",,America West Arena,,2000,November
"Thu, Nov 4, 1999",Golden State Warriors,81,San Antonio Spurs,104,Box Score,,"14,508",,Alamodome,,2000,November
"Thu, Nov 4, 1999",Dallas Mavericks,96,Seattle SuperSonics,106,Box Score,,"16,140",,KeyArena at Seattle Center,,2000,November
"Thu, Nov 4, 1999",Miami Heat,86,Toronto Raptors,97,Box Score,,"16,389",,Air Canada Centre,,2000,November
"Thu, Nov 4, 1999",Houston Rockets,82,Utah Jazz,98,Box Score,,"19,142",,Delta Center,,2000,November
"Fri, Nov 5, 1999",Charlotte Hornets,100,Boston Celtics,103,Box Score,,"16,582",2:24,FleetCenter,,2000,November
"Fri, Nov 5, 1999",Miami Heat,105,Chicago Bulls,87,Box Score,,"21,972",,United Center,,2000,November
"Fri, Nov 5, 1999",New York Knicks,103,Detroit Pistons,91,Box Score,,"22,076",,The Palace of Auburn Hills,,2000,November
"Fri, Nov 5, 1999",San Antonio Spurs,95,Houston Rockets,85,Box Score,,"16,285",,Compaq Center,,2000,November
"Fri, Nov 5, 1999",Philadelphia 76ers,81,Los Angeles Clippers,91,Box Score,,"14,271",,STAPLES Center,,2000,November
"Fri, Nov 5, 1999",Toronto Raptors,112,New Jersey Nets,92,Box Score,,"15,517",,Continental Airlines Arena,,2000,November
"Fri, Nov 5, 1999",Cleveland Cavaliers,104,Orlando Magic,99,Box Score,,"13,142",,TD Waterhouse Centre,,2000,November
"Fri, Nov 5, 1999",Denver Nuggets,83,Portland Trail Blazers,95,Box Score,,"19,995",,Rose Garden Arena,,2000,November
"Fri, Nov 5, 1999",Minnesota Timberwolves,95,Sacramento Kings,100,Box Score,,"32,623",,Tokyo Dome,"at Tokyo, Japan",2000,November
"Sat, Nov 6, 1999",Chicago Bulls,97,Atlanta Hawks,113,Box Score,,"13,342",,Philips Arena,,2000,November
"Sat, Nov 6, 1999",New York Knicks,93,Cleveland Cavaliers,102,Box Score,,"17,604",,Gund Arena,,2000,November
"Sat, Nov 6, 1999",Dallas Mavericks,120,Golden State Warriors,97,Box Score,,"12,708",,The Arena in Oakland,,2000,November
"Sat, Nov 6, 1999",Boston Celtics,108,Indiana Pacers,115,Box Score,,"18,345",2:36,Conseco Fieldhouse,,2000,November
"Sat, Nov 6, 1999",Detroit Pistons,111,Milwaukee Bucks,121,Box Score,,"18,374",,Bradley Center,,2000,November
"Sat, Nov 6, 1999",Sacramento Kings,101,Minnesota Timberwolves,114,Box Score,,"34,013",,Tokyo Dome,"at Tokyo, Japan",2000,November
"Sat, Nov 6, 1999",Los Angeles Lakers,82,Portland Trail Blazers,97,Box Score,,"20,584",,Rose Garden Arena,,2000,November
"Sat, Nov 6, 1999",Utah Jazz,94,Seattle SuperSonics,99,Box Score,,"17,072",,KeyArena at Seattle Center,,2000,November
"Sat, Nov 6, 1999",Denver Nuggets,94,Vancouver Grizzlies,109,Box Score,,"12,159",,General Motors Place,,2000,November
"Sat, Nov 6, 1999",Orlando Magic,107,Washington Wizards,104,Box Score,,"14,954",,MCI Center,,2000,November
