Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Mon, Dec 1, 1997",New Jersey Nets,95,Utah Jazz,100,Box Score,,"19,911",,Delta Center,,1998,December
"Tue, Dec 2, 1997",Sacramento Kings,102,Charlotte Hornets,121,Box Score,,"21,166",,Charlotte Coliseum,,1998,December
"Tue, Dec 2, 1997",Atlanta Hawks,112,Dallas Mavericks,79,Box Score,,"10,170",,Reunion Arena,,1998,December
"Tue, Dec 2, 1997",Denver Nuggets,101,Houston Rockets,112,Box Score,,"16,285",,The Summit,,1998,December
"Tue, Dec 2, 1997",Phoenix Suns,90,Milwaukee Bucks,86,Box Score,,"13,131",,Bradley Center,,1998,December
"Tue, Dec 2, 1997",Orlando Magic,89,Portland Trail Blazers,88,Box Score,,"19,677",,Rose Garden Arena,,1998,December
"Tue, Dec 2, 1997",New York Knicks,84,San Antonio Spurs,90,Box Score,,"14,967",,Alamodome,,1998,December
"Tue, Dec 2, 1997",Seattle SuperSonics,78,Washington Wizards,95,Box Score,,"20,674",,MCI Center,,1998,December
"Wed, Dec 3, 1997",Chicago Bulls,97,Boston Celtics,87,Box Score,,"18,624",2:06,FleetCenter,,1998,December
"Wed, Dec 3, 1997",Los Angeles Lakers,107,Denver Nuggets,89,Box Score,,"14,503",,McNichols Sports Arena,,1998,December
"Wed, Dec 3, 1997",Phoenix Suns,103,Detroit Pistons,108,Box Score,3OT,"15,548",,The Palace of Auburn Hills,,1998,December
"Wed, Dec 3, 1997",Cleveland Cavaliers,95,Golden State Warriors,67,Box Score,,"10,565",,The Arena in Oakland,,1998,December
"Wed, Dec 3, 1997",Philadelphia 76ers,90,Miami Heat,94,Box Score,,"14,312",,Miami Arena,,1998,December
"Wed, Dec 3, 1997",Indiana Pacers,94,Minnesota Timberwolves,90,Box Score,,"16,559",,Target Center,,1998,December
"Wed, Dec 3, 1997",Seattle SuperSonics,93,New Jersey Nets,89,Box Score,,"15,259",,Continental Airlines Arena,,1998,December
"Wed, Dec 3, 1997",Toronto Raptors,98,Utah Jazz,115,Box Score,,"19,590",,Delta Center,,1998,December
"Wed, Dec 3, 1997",Orlando Magic,101,Vancouver Grizzlies,97,Box Score,,"15,069",,General Motors Place,,1998,December
"Thu, Dec 4, 1997",New York Knicks,91,Dallas Mavericks,105,Box Score,,"12,666",,Reunion Arena,,1998,December
"Thu, Dec 4, 1997",Atlanta Hawks,87,Houston Rockets,94,Box Score,,"16,285",,The Summit,,1998,December
"Thu, Dec 4, 1997",San Antonio Spurs,96,Los Angeles Clippers,100,Box Score,OT,"5,302",,Los Angeles Memorial Sports Arena,,1998,December
"Thu, Dec 4, 1997",Charlotte Hornets,92,Milwaukee Bucks,102,Box Score,,"13,898",,Bradley Center,,1998,December
"Thu, Dec 4, 1997",Sacramento Kings,96,Washington Wizards,118,Box Score,,"18,230",,MCI Center,,1998,December
"Fri, Dec 5, 1997",Milwaukee Bucks,62,Chicago Bulls,84,Box Score,,"24,041",,United Center,,1998,December
"Fri, Dec 5, 1997",Indiana Pacers,96,Denver Nuggets,85,Box Score,,"11,215",,McNichols Sports Arena,,1998,December
"Fri, Dec 5, 1997",Seattle SuperSonics,94,Detroit Pistons,89,Box Score,,"18,424",,The Palace of Auburn Hills,,1998,December
"Fri, Dec 5, 1997",Orlando Magic,89,Golden State Warriors,104,Box Score,,"10,084",,The Arena in Oakland,,1998,December
"Fri, Dec 5, 1997",San Antonio Spurs,88,Los Angeles Lakers,98,Box Score,,"17,505",,Great Western Forum,,1998,December
"Fri, Dec 5, 1997",Boston Celtics,97,Miami Heat,117,Box Score,,"14,937",2:04,Miami Arena,,1998,December
"Fri, Dec 5, 1997",Sacramento Kings,90,Minnesota Timberwolves,101,Box Score,,"16,151",,Target Center,,1998,December
"Fri, Dec 5, 1997",Philadelphia 76ers,88,New Jersey Nets,107,Box Score,,"17,845",,Continental Airlines Arena,,1998,December
"Fri, Dec 5, 1997",Toronto Raptors,91,Phoenix Suns,110,Box Score,,"19,023",,America West Arena,,1998,December
"Fri, Dec 5, 1997",Utah Jazz,77,Portland Trail Blazers,94,Box Score,,"19,545",,Rose Garden Arena,,1998,December
"Fri, Dec 5, 1997",Cleveland Cavaliers,107,Vancouver Grizzlies,98,Box Score,,"15,558",,General Motors Place,,1998,December
"Sat, Dec 6, 1997",Houston Rockets,108,Dallas Mavericks,106,Box Score,,"20,635",,Palacio de los Deportes,"at Mexico City, Mexico",1998,December
"Sat, Dec 6, 1997",Orlando Magic,83,Los Angeles Clippers,79,Box Score,,"8,757",,Los Angeles Memorial Sports Arena,,1998,December
"Sat, Dec 6, 1997",Charlotte Hornets,79,New York Knicks,90,Box Score,,"19,763",,Madison Square Garden (IV),,1998,December
"Sat, Dec 6, 1997",Minnesota Timberwolves,103,Washington Wizards,114,Box Score,,"20,674",,MCI Center,,1998,December
"Sun, Dec 7, 1997",Los Angeles Clippers,92,Denver Nuggets,100,Box Score,,"7,507",,McNichols Sports Arena,,1998,December
"Sun, Dec 7, 1997",Cleveland Cavaliers,94,Los Angeles Lakers,84,Box Score,,"16,945",,Great Western Forum,,1998,December
"Sun, Dec 7, 1997",Seattle SuperSonics,91,Milwaukee Bucks,97,Box Score,,"15,806",,Bradley Center,,1998,December
"Sun, Dec 7, 1997",New York Knicks,78,Philadelphia 76ers,93,Box Score,,"20,037",,CoreStates Center,,1998,December
"Sun, Dec 7, 1997",Indiana Pacers,99,Phoenix Suns,97,Box Score,OT,"19,023",,America West Arena,,1998,December
"Sun, Dec 7, 1997",Golden State Warriors,84,Sacramento Kings,99,Box Score,,"12,226",,ARCO Arena (II),,1998,December
"Sun, Dec 7, 1997",Detroit Pistons,93,Toronto Raptors,83,Box Score,,"16,829",,SkyDome,,1998,December
"Mon, Dec 8, 1997",New Jersey Nets,97,Miami Heat,105,Box Score,,"14,387",,Miami Arena,,1998,December
"Mon, Dec 8, 1997",Philadelphia 76ers,86,Orlando Magic,95,Box Score,,"16,824",,Orlando Arena,,1998,December
"Mon, Dec 8, 1997",Los Angeles Lakers,99,Portland Trail Blazers,105,Box Score,,"20,721",,Rose Garden Arena,,1998,December
"Mon, Dec 8, 1997",Indiana Pacers,97,Utah Jazz,106,Box Score,,"19,911",,Delta Center,,1998,December
"Tue, Dec 9, 1997",Miami Heat,97,Atlanta Hawks,81,Box Score,,"9,156",,Alexander Memorial Coliseum at McDonald's Center,"at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)",1998,December
"Tue, Dec 9, 1997",New York Knicks,82,Chicago Bulls,100,Box Score,,"24,107",,United Center,,1998,December
"Tue, Dec 9, 1997",Los Angeles Clippers,99,Dallas Mavericks,92,Box Score,,"9,532",,Reunion Arena,,1998,December
"Tue, Dec 9, 1997",Denver Nuggets,83,Detroit Pistons,92,Box Score,,"14,856",,The Palace of Auburn Hills,,1998,December
"Tue, Dec 9, 1997",San Antonio Spurs,78,Houston Rockets,108,Box Score,,"16,285",,The Summit,,1998,December
"Tue, Dec 9, 1997",Seattle SuperSonics,108,Minnesota Timberwolves,99,Box Score,,"15,073",,Target Center,,1998,December
"Tue, Dec 9, 1997",Vancouver Grizzlies,85,Phoenix Suns,107,Box Score,,"19,023",,America West Arena,,1998,December
"Tue, Dec 9, 1997",Utah Jazz,101,Sacramento Kings,113,Box Score,,"13,624",,ARCO Arena (II),,1998,December
"Tue, Dec 9, 1997",Charlotte Hornets,95,Toronto Raptors,82,Box Score,,"16,325",,SkyDome,,1998,December
"Tue, Dec 9, 1997",New Jersey Nets,99,Washington Wizards,120,Box Score,,"17,351",,MCI Center,,1998,December
"Wed, Dec 10, 1997",Milwaukee Bucks,91,Boston Celtics,96,Box Score,,"17,012",2:19,FleetCenter,,1998,December
"Wed, Dec 10, 1997",Washington Wizards,101,Charlotte Hornets,104,Box Score,,"21,155",,Charlotte Coliseum,,1998,December
"Wed, Dec 10, 1997",Denver Nuggets,83,Cleveland Cavaliers,102,Box Score,,"15,353",,Gund Arena,,1998,December
"Wed, Dec 10, 1997",Los Angeles Lakers,92,Golden State Warriors,93,Box Score,,"13,414",,The Arena in Oakland,,1998,December
"Wed, Dec 10, 1997",Chicago Bulls,98,Orlando Magic,106,Box Score,,"17,248",,Orlando Arena,,1998,December
"Wed, Dec 10, 1997",Toronto Raptors,104,Philadelphia 76ers,97,Box Score,,"11,833",,CoreStates Center,,1998,December
"Wed, Dec 10, 1997",Indiana Pacers,85,Portland Trail Blazers,93,Box Score,,"19,803",,Rose Garden Arena,,1998,December
"Wed, Dec 10, 1997",Los Angeles Clippers,87,San Antonio Spurs,102,Box Score,,"14,982",,Alamodome,,1998,December
"Thu, Dec 11, 1997",Orlando Magic,100,Dallas Mavericks,90,Box Score,,"10,671",,Reunion Arena,,1998,December
