Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Sat, Nov 1, 1997",Toronto Raptors,85,Atlanta Hawks,90,Box Score,,"8,539",,Georgia Dome,"at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)",1998,November
"Sat, Nov 1, 1997",Philadelphia 76ers,74,Chicago Bulls,94,Box Score,,"24,196",,United Center,,1998,November
"Sat, Nov 1, 1997",Golden State Warriors,83,Indiana Pacers,96,Box Score,,"16,729",,Market Square Arena,,1998,November
"Sat, Nov 1, 1997",Portland Trail Blazers,82,Los Angeles Clippers,74,Box Score,,"12,898",,Los Angeles Memorial Sports Arena,,1998,November
"Sat, Nov 1, 1997",New Jersey Nets,113,Milwaukee Bucks,109,Box Score,OT,"18,717",,Bradley Center,,1998,November
"Sat, Nov 1, 1997",Charlotte Hornets,90,Minnesota Timberwolves,106,Box Score,,"19,006",,Target Center,,1998,November
"Sat, Nov 1, 1997",Cleveland Cavaliers,80,San Antonio Spurs,83,Box Score,,"24,793",,Alamodome,,1998,November
"Sat, Nov 1, 1997",Dallas Mavericks,89,Seattle SuperSonics,81,Box Score,,"17,072",,KeyArena at Seattle Center,,1998,November
"Sat, Nov 1, 1997",Denver Nuggets,84,Utah Jazz,102,Box Score,,"19,911",,Delta Center,,1998,November
"Sat, Nov 1, 1997",Sacramento Kings,96,Vancouver Grizzlies,97,Box Score,,"15,460",,General Motors Place,,1998,November
"Sat, Nov 1, 1997",Miami Heat,109,Washington Wizards,108,Box Score,,"18,281",,Capital Centre,"at Landover, MD",1998,November
"Sun, Nov 2, 1997",Orlando Magic,107,Boston Celtics,96,Box Score,,"17,954",2:09,FleetCenter,,1998,November
"Sun, Nov 2, 1997",Detroit Pistons,94,New York Knicks,86,Box Score,,"19,763",,Madison Square Garden (IV),,1998,November
"Sun, Nov 2, 1997",Houston Rockets,93,Sacramento Kings,77,Box Score,,"17,317",,ARCO Arena (II),,1998,November
"Mon, Nov 3, 1997",San Antonio Spurs,83,Chicago Bulls,87,Box Score,2OT,"23,868",,United Center,,1998,November
