Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Fri, Oct 31, 1997",Chicago Bulls,85,Boston Celtics,92,Box Score,,"18,624",2:17,FleetCenter,,1998,October
"Fri, Oct 31, 1997",New York Knicks,97,Charlotte Hornets,85,Box Score,,"24,042",,Charlotte Coliseum,,1998,October
"Fri, Oct 31, 1997",San Antonio Spurs,107,Denver Nuggets,96,Box Score,,"15,031",,McNichols Sports Arena,,1998,October
"Fri, Oct 31, 1997",Washington Wizards,79,Detroit Pistons,92,Box Score,,"22,076",,The Palace of Auburn Hills,,1998,October
"Fri, Oct 31, 1997",Cleveland Cavaliers,86,Houston Rockets,94,Box Score,,"16,285",,The Summit,,1998,October
"Fri, Oct 31, 1997",Utah Jazz,87,Los Angeles Lakers,104,Box Score,,"16,234",,Great Western Forum,,1998,October
"Fri, Oct 31, 1997",Toronto Raptors,101,Miami Heat,114,Box Score,,"14,795",,Miami Arena,,1998,October
"Fri, Oct 31, 1997",Golden State Warriors,113,Minnesota Timberwolves,129,Box Score,,"16,784",,Target Center,,1998,October
"Fri, Oct 31, 1997",Indiana Pacers,95,New Jersey Nets,97,Box Score,,"20,049",,Continental Airlines Arena,,1998,October
"Fri, Oct 31, 1997",Atlanta Hawks,105,Orlando Magic,99,Box Score,,"17,248",,Orlando Arena,,1998,October
"Fri, Oct 31, 1997",Milwaukee Bucks,103,Philadelphia 76ers,88,Box Score,,"12,199",,CoreStates Center,,1998,October
"Fri, Oct 31, 1997",Los Angeles Clippers,100,Phoenix Suns,110,Box Score,,"19,023",,America West Arena,,1998,October
"Fri, Oct 31, 1997",Seattle SuperSonics,91,Portland Trail Blazers,83,Box Score,,"21,538",,Rose Garden Arena,,1998,October
"Fri, Oct 31, 1997",Dallas Mavericks,90,Vancouver Grizzlies,88,Box Score,,"17,021",,General Motors Place,,1998,October
