Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Tue, Feb 1, 2000",Washington Wizards,108,Cleveland Cavaliers,112,Box Score,,"11,298",,Gund Arena,,2000,February
"Tue, Feb 1, 2000",Philadelphia 76ers,101,Dallas Mavericks,100,Box Score,,"13,506",,Reunion Arena,,2000,February
"Tue, Feb 1, 2000",Charlotte Hornets,83,Houston Rockets,99,Box Score,,"14,391",,Compaq Center,,2000,February
"Tue, Feb 1, 2000",Boston Celtics,96,Indiana Pacers,99,Box Score,,"18,345",2:12,Conseco Fieldhouse,,2000,February
"Tue, Feb 1, 2000",Golden State Warriors,107,Los Angeles Clippers,76,Box Score,,"10,409",,STAPLES Center,,2000,February
"Tue, Feb 1, 2000",Orlando Magic,98,New York Knicks,77,Box Score,,"19,763",,Madison Square Garden (IV),,2000,February
"Tue, Feb 1, 2000",Chicago Bulls,81,Portland Trail Blazers,92,Box Score,,"20,220",,Rose Garden Arena,,2000,February
"Tue, Feb 1, 2000",Los Angeles Lakers,81,San Antonio Spurs,105,Box Score,,"25,589",,Alamodome,,2000,February
"Tue, Feb 1, 2000",Seattle SuperSonics,104,Utah Jazz,96,Box Score,,"19,327",,Delta Center,,2000,February
"Wed, Feb 2, 2000",Miami Heat,105,Boston Celtics,103,Box Score,,"15,411",2:27,FleetCenter,,2000,February
"Wed, Feb 2, 2000",Milwaukee Bucks,112,Denver Nuggets,135,Box Score,,"12,365",,Pepsi Center,,2000,February
"Wed, Feb 2, 2000",Sacramento Kings,113,Detroit Pistons,110,Box Score,,"20,259",,The Palace of Auburn Hills,,2000,February
"Wed, Feb 2, 2000",Vancouver Grizzlies,95,Golden State Warriors,101,Box Score,,"10,019",,The Arena in Oakland,,2000,February
"Wed, Feb 2, 2000",Atlanta Hawks,97,New Jersey Nets,89,Box Score,,"15,640",,Continental Airlines Arena,,2000,February
"Wed, Feb 2, 2000",Los Angeles Clippers,68,Phoenix Suns,114,Box Score,,"18,421",,America West Arena,,2000,February
"Wed, Feb 2, 2000",Chicago Bulls,88,Seattle SuperSonics,81,Box Score,,"12,636",,KeyArena at Seattle Center,,2000,February
"Wed, Feb 2, 2000",Minnesota Timberwolves,93,Washington Wizards,103,Box Score,,"14,005",,MCI Center,,2000,February
"Thu, Feb 3, 2000",Charlotte Hornets,96,Dallas Mavericks,106,Box Score,,"11,126",,Reunion Arena,,2000,February
"Thu, Feb 3, 2000",Philadelphia 76ers,106,Houston Rockets,109,Box Score,,"16,285",,Compaq Center,,2000,February
"Thu, Feb 3, 2000",Portland Trail Blazers,88,New York Knicks,98,Box Score,,"19,763",,Madison Square Garden (IV),,2000,February
"Thu, Feb 3, 2000",Toronto Raptors,95,San Antonio Spurs,112,Box Score,,"19,048",,Alamodome,,2000,February
"Thu, Feb 3, 2000",Milwaukee Bucks,102,Utah Jazz,99,Box Score,,"19,871",,Delta Center,,2000,February
"Fri, Feb 4, 2000",Portland Trail Blazers,97,Atlanta Hawks,90,Box Score,,"18,109",,Philips Arena,,2000,February
"Fri, Feb 4, 2000",New Jersey Nets,95,Boston Celtics,100,Box Score,,"16,540",2:11,FleetCenter,,2000,February
"Fri, Feb 4, 2000",Cleveland Cavaliers,96,Detroit Pistons,105,Box Score,,"16,903",,The Palace of Auburn Hills,,2000,February
"Fri, Feb 4, 2000",Denver Nuggets,101,Golden State Warriors,103,Box Score,,"13,321",,The Arena in Oakland,,2000,February
"Fri, Feb 4, 2000",Sacramento Kings,94,Indiana Pacers,104,Box Score,,"18,345",,Conseco Fieldhouse,,2000,February
"Fri, Feb 4, 2000",Utah Jazz,67,Los Angeles Lakers,113,Box Score,,"18,997",,STAPLES Center,,2000,February
"Fri, Feb 4, 2000",Washington Wizards,92,Miami Heat,99,Box Score,,"19,231",,AmericanAirlines Arena,,2000,February
"Fri, Feb 4, 2000",Houston Rockets,85,Minnesota Timberwolves,102,Box Score,,"18,223",,Target Center,,2000,February
"Fri, Feb 4, 2000",Phoenix Suns,86,Seattle SuperSonics,94,Box Score,,"15,739",,KeyArena at Seattle Center,,2000,February
"Fri, Feb 4, 2000",Chicago Bulls,76,Vancouver Grizzlies,101,Box Score,,"15,357",,General Motors Place,,2000,February
"Sat, Feb 5, 2000",Atlanta Hawks,102,Cleveland Cavaliers,94,Box Score,,"18,595",,Gund Arena,,2000,February
"Sat, Feb 5, 2000",Minnesota Timberwolves,105,Denver Nuggets,97,Box Score,OT,"19,099",,Pepsi Center,,2000,February
"Sat, Feb 5, 2000",Dallas Mavericks,119,Los Angeles Clippers,106,Box Score,,"13,646",,STAPLES Center,,2000,February
"Sat, Feb 5, 2000",Toronto Raptors,98,Milwaukee Bucks,95,Box Score,,"18,717",,Bradley Center,,2000,February
"Sat, Feb 5, 2000",Indiana Pacers,102,Orlando Magic,107,Box Score,,"15,421",,TD Waterhouse Centre,,2000,February
"Sat, Feb 5, 2000",Charlotte Hornets,110,Washington Wizards,102,Box Score,,"18,422",,MCI Center,,2000,February
"Sun, Feb 6, 2000",Portland Trail Blazers,100,Boston Celtics,94,Box Score,,"18,624",2:25,FleetCenter,,2000,February
"Sun, Feb 6, 2000",Houston Rockets,105,Detroit Pistons,109,Box Score,,"15,388",,The Palace of Auburn Hills,,2000,February
"Sun, Feb 6, 2000",Chicago Bulls,100,Los Angeles Clippers,90,Box Score,,"12,973",,STAPLES Center,,2000,February
"Sun, Feb 6, 2000",Golden State Warriors,90,New Jersey Nets,110,Box Score,,"14,336",,Continental Airlines Arena,,2000,February
"Sun, Feb 6, 2000",Miami Heat,80,New York Knicks,94,Box Score,,"19,763",,Madison Square Garden (IV),,2000,February
"Sun, Feb 6, 2000",Sacramento Kings,108,Philadelphia 76ers,119,Box Score,,"20,718",,First Union Center,,2000,February
"Sun, Feb 6, 2000",Seattle SuperSonics,93,Phoenix Suns,105,Box Score,,"19,023",,America West Arena,,2000,February
"Sun, Feb 6, 2000",San Antonio Spurs,90,Utah Jazz,93,Box Score,,"18,981",,Delta Center,,2000,February
"Sun, Feb 6, 2000",Dallas Mavericks,103,Vancouver Grizzlies,99,Box Score,OT,"14,861",,General Motors Place,,2000,February
"Mon, Feb 7, 2000",New York Knicks,85,Charlotte Hornets,95,Box Score,,"18,128",,Charlotte Coliseum,,2000,February
"Mon, Feb 7, 2000",Philadelphia 76ers,84,Indiana Pacers,109,Box Score,,"18,345",,Conseco Fieldhouse,,2000,February
"Mon, Feb 7, 2000",Denver Nuggets,98,Los Angeles Lakers,106,Box Score,,"18,997",,STAPLES Center,,2000,February
"Mon, Feb 7, 2000",Portland Trail Blazers,115,Milwaukee Bucks,111,Box Score,,"15,389",,Bradley Center,,2000,February
"Mon, Feb 7, 2000",Golden State Warriors,100,Orlando Magic,120,Box Score,,"12,480",,TD Waterhouse Centre,,2000,February
"Tue, Feb 8, 2000",Cleveland Cavaliers,83,Houston Rockets,91,Box Score,,"14,239",,Compaq Center,,2000,February
"Tue, Feb 8, 2000",Boston Celtics,113,New Jersey Nets,131,Box Score,,"15,836",2:07,Continental Airlines Arena,,2000,February
"Tue, Feb 8, 2000",Vancouver Grizzlies,76,Phoenix Suns,94,Box Score,,"18,385",,America West Arena,,2000,February
"Tue, Feb 8, 2000",Chicago Bulls,80,Sacramento Kings,119,Box Score,,"17,317",,ARCO Arena (II),,2000,February
