Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Wed, Mar 1, 2000",Washington Wizards,102,Atlanta Hawks,83,Box Score,,"13,144",,Philips Arena,,2000,March
"Wed, Mar 1, 2000",Toronto Raptors,96,Boston Celtics,94,Box Score,,"17,198",2:24,FleetCenter,,2000,March
"Wed, Mar 1, 2000",New Jersey Nets,94,Denver Nuggets,81,Box Score,,"14,456",,Pepsi Center,,2000,March
"Wed, Mar 1, 2000",Utah Jazz,107,Detroit Pistons,94,Box Score,,"15,712",,The Palace of Auburn Hills,,2000,March
"Wed, Mar 1, 2000",Vancouver Grizzlies,91,Los Angeles Lakers,103,Box Score,,"18,912",,STAPLES Center,,2000,March
"Thu, Mar 2, 2000",Cleveland Cavaliers,114,Chicago Bulls,110,Box Score,OT,"21,848",,United Center,,2000,March
"Thu, Mar 2, 2000",New Jersey Nets,103,Dallas Mavericks,102,Box Score,,"13,757",,Reunion Arena,,2000,March
"Thu, Mar 2, 2000",Sacramento Kings,99,Houston Rockets,102,Box Score,,"15,754",,Compaq Center,,2000,March
"Thu, Mar 2, 2000",Seattle SuperSonics,83,Miami Heat,101,Box Score,,"18,859",,AmericanAirlines Arena,,2000,March
"Thu, Mar 2, 2000",Milwaukee Bucks,94,New York Knicks,109,Box Score,,"19,763",,Madison Square Garden (IV),,2000,March
"Thu, Mar 2, 2000",Charlotte Hornets,96,Orlando Magic,104,Box Score,,"12,382",,TD Waterhouse Centre,,2000,March
"Thu, Mar 2, 2000",Indiana Pacers,87,Phoenix Suns,118,Box Score,,"19,023",,America West Arena,,2000,March
"Thu, Mar 2, 2000",Minnesota Timberwolves,108,San Antonio Spurs,102,Box Score,,"16,320",,Alamodome,,2000,March
"Thu, Mar 2, 2000",Philadelphia 76ers,87,Washington Wizards,84,Box Score,,"17,203",,MCI Center,,2000,March
"Fri, Mar 3, 2000",New York Knicks,70,Atlanta Hawks,83,Box Score,,"15,576",,Philips Arena,,2000,March
"Fri, Mar 3, 2000",Utah Jazz,89,Charlotte Hornets,87,Box Score,,"21,148",,Charlotte Coliseum,,2000,March
"Fri, Mar 3, 2000",Golden State Warriors,88,Denver Nuggets,122,Box Score,,"18,152",,Pepsi Center,,2000,March
"Fri, Mar 3, 2000",Indiana Pacers,92,Los Angeles Lakers,107,Box Score,,"18,997",,STAPLES Center,,2000,March
"Fri, Mar 3, 2000",Vancouver Grizzlies,91,Portland Trail Blazers,101,Box Score,,"20,367",,Rose Garden Arena,,2000,March
"Fri, Mar 3, 2000",Boston Celtics,104,Toronto Raptors,114,Box Score,,"19,437",2:23,Air Canada Centre,,2000,March
"Sat, Mar 4, 2000",Seattle SuperSonics,93,Atlanta Hawks,81,Box Score,,"13,719",,Philips Arena,,2000,March
"Sat, Mar 4, 2000",Philadelphia 76ers,95,Chicago Bulls,84,Box Score,,"22,773",,United Center,,2000,March
"Sat, Mar 4, 2000",New Jersey Nets,92,Houston Rockets,99,Box Score,OT,"14,519",,Compaq Center,,2000,March
"Sat, Mar 4, 2000",Cleveland Cavaliers,109,Los Angeles Clippers,99,Box Score,,"12,522",,STAPLES Center,,2000,March
"Sat, Mar 4, 2000",Minnesota Timberwolves,91,Milwaukee Bucks,84,Box Score,,"17,632",,Bradley Center,,2000,March
"Sat, Mar 4, 2000",Dallas Mavericks,96,Phoenix Suns,110,Box Score,,"19,023",,America West Arena,,2000,March
"Sat, Mar 4, 2000",Sacramento Kings,108,San Antonio Spurs,103,Box Score,OT,"35,113",,Alamodome,,2000,March
"Sat, Mar 4, 2000",Detroit Pistons,94,Washington Wizards,100,Box Score,,"17,418",,MCI Center,,2000,March
"Sun, Mar 5, 2000",Orlando Magic,91,Boston Celtics,97,Box Score,,"18,624",2:25,FleetCenter,,2000,March
"Sun, Mar 5, 2000",Chicago Bulls,94,Charlotte Hornets,100,Box Score,,"15,799",,Charlotte Coliseum,,2000,March
"Sun, Mar 5, 2000",Cleveland Cavaliers,100,Denver Nuggets,92,Box Score,,"17,447",,Pepsi Center,,2000,March
"Sun, Mar 5, 2000",Indiana Pacers,114,Golden State Warriors,95,Box Score,,"15,283",,The Arena in Oakland,,2000,March
"Sun, Mar 5, 2000",Miami Heat,80,Los Angeles Lakers,93,Box Score,,"18,997",,STAPLES Center,,2000,March
"Sun, Mar 5, 2000",Seattle SuperSonics,100,Minnesota Timberwolves,105,Box Score,OT,"15,006",,Target Center,,2000,March
"Sun, Mar 5, 2000",Utah Jazz,88,New York Knicks,79,Box Score,,"19,763",,Madison Square Garden (IV),,2000,March
"Sun, Mar 5, 2000",Toronto Raptors,94,Vancouver Grizzlies,92,Box Score,,"19,193",,General Motors Place,,2000,March
"Mon, Mar 6, 2000",Los Angeles Lakers,123,Los Angeles Clippers,103,Box Score,,"20,385",,STAPLES Center,,2000,March
"Mon, Mar 6, 2000",Atlanta Hawks,78,Milwaukee Bucks,111,Box Score,,"12,365",,Bradley Center,,2000,March
"Mon, Mar 6, 2000",Miami Heat,92,Phoenix Suns,100,Box Score,,"19,023",,America West Arena,,2000,March
"Mon, Mar 6, 2000",Toronto Raptors,109,Portland Trail Blazers,90,Box Score,,"20,516",,Rose Garden Arena,,2000,March
"Mon, Mar 6, 2000",Dallas Mavericks,109,Sacramento Kings,130,Box Score,,"17,317",,ARCO Arena (II),,2000,March
"Mon, Mar 6, 2000",New Jersey Nets,104,San Antonio Spurs,106,Box Score,,"17,581",,Alamodome,,2000,March
"Mon, Mar 6, 2000",Orlando Magic,87,Washington Wizards,85,Box Score,,"11,325",,MCI Center,,2000,March
"Tue, Mar 7, 2000",Atlanta Hawks,82,Chicago Bulls,89,Box Score,,"21,904",,United Center,,2000,March
"Tue, Mar 7, 2000",Charlotte Hornets,102,Golden State Warriors,99,Box Score,,"10,201",,The Arena in Oakland,,2000,March
"Tue, Mar 7, 2000",Phoenix Suns,108,Houston Rockets,101,Box Score,,"14,749",,Compaq Center,,2000,March
"Tue, Mar 7, 2000",Denver Nuggets,89,Indiana Pacers,90,Box Score,,"18,345",,Conseco Fieldhouse,,2000,March
"Tue, Mar 7, 2000",Washington Wizards,90,Minnesota Timberwolves,86,Box Score,,"14,227",,Target Center,,2000,March
"Tue, Mar 7, 2000",Vancouver Grizzlies,86,New York Knicks,111,Box Score,,"19,763",,Madison Square Garden (IV),,2000,March
"Tue, Mar 7, 2000",Dallas Mavericks,86,Seattle SuperSonics,101,Box Score,,"13,621",,KeyArena at Seattle Center,,2000,March
"Tue, Mar 7, 2000",Cleveland Cavaliers,95,Utah Jazz,113,Box Score,,"19,224",,Delta Center,,2000,March
"Wed, Mar 8, 2000",Milwaukee Bucks,101,Boston Celtics,112,Box Score,,"15,860",2:10,FleetCenter,,2000,March
"Wed, Mar 8, 2000",Denver Nuggets,116,Detroit Pistons,130,Box Score,,"12,683",,The Palace of Auburn Hills,,2000,March
"Wed, Mar 8, 2000",Toronto Raptors,95,Los Angeles Clippers,94,Box Score,,"18,176",,STAPLES Center,,2000,March
"Wed, Mar 8, 2000",Portland Trail Blazers,103,New Jersey Nets,115,Box Score,,"16,234",,Continental Airlines Arena,,2000,March
"Wed, Mar 8, 2000",Chicago Bulls,67,Orlando Magic,103,Box Score,,"13,123",,TD Waterhouse Centre,,2000,March
"Wed, Mar 8, 2000",Vancouver Grizzlies,90,Philadelphia 76ers,107,Box Score,,"20,086",,First Union Center,,2000,March
"Wed, Mar 8, 2000",Charlotte Hornets,92,Sacramento Kings,105,Box Score,,"17,317",,ARCO Arena (II),,2000,March
"Wed, Mar 8, 2000",New York Knicks,113,Washington Wizards,118,Box Score,OT,"15,354",,MCI Center,,2000,March
"Thu, Mar 9, 2000",San Antonio Spurs,105,Atlanta Hawks,79,Box Score,,"12,674",,Philips Arena,,2000,March
"Thu, Mar 9, 2000",Minnesota Timberwolves,100,Dallas Mavericks,79,Box Score,,"13,435",,Reunion Arena,,2000,March
"Thu, Mar 9, 2000",Los Angeles Lakers,109,Golden State Warriors,92,Box Score,,"20,136",,The Arena in Oakland,,2000,March
"Thu, Mar 9, 2000",Portland Trail Blazers,119,Indiana Pacers,127,Box Score,OT,"18,345",,Conseco Fieldhouse,,2000,March
"Thu, Mar 9, 2000",Houston Rockets,82,Utah Jazz,101,Box Score,,"19,897",,Delta Center,,2000,March
"Fri, Mar 10, 2000",Chicago Bulls,74,Boston Celtics,104,Box Score,,"17,123",2:09,FleetCenter,,2000,March
"Fri, Mar 10, 2000",Indiana Pacers,95,Cleveland Cavaliers,92,Box Score,,"20,562",,Gund Arena,,2000,March
"Fri, Mar 10, 2000",Vancouver Grizzlies,97,Detroit Pistons,111,Box Score,,"22,076",,The Palace of Auburn Hills,,2000,March
"Fri, Mar 10, 2000",Charlotte Hornets,118,Los Angeles Clippers,101,Box Score,,"15,362",,STAPLES Center,,2000,March
"Fri, Mar 10, 2000",Denver Nuggets,88,Miami Heat,96,Box Score,,"19,016",,AmericanAirlines Arena,,2000,March
"Fri, Mar 10, 2000",New Jersey Nets,108,Milwaukee Bucks,80,Box Score,,"13,962",,Bradley Center,,2000,March
"Fri, Mar 10, 2000",New York Knicks,82,Philadelphia 76ers,77,Box Score,,"20,885",,First Union Center,,2000,March
"Fri, Mar 10, 2000",Utah Jazz,99,Phoenix Suns,96,Box Score,,"19,023",,America West Arena,,2000,March
"Fri, Mar 10, 2000",Toronto Raptors,88,Sacramento Kings,103,Box Score,,"17,317",,ARCO Arena (II),,2000,March
"Fri, Mar 10, 2000",Golden State Warriors,85,Seattle SuperSonics,99,Box Score,,"13,522",,KeyArena at Seattle Center,,2000,March
"Fri, Mar 10, 2000",San Antonio Spurs,106,Washington Wizards,99,Box Score,OT,"16,409",,MCI Center,,2000,March
"Sat, Mar 11, 2000",Vancouver Grizzlies,86,Atlanta Hawks,91,Box Score,,"13,344",,Philips Arena,,2000,March
"Sat, Mar 11, 2000",Phoenix Suns,99,Dallas Mavericks,104,Box Score,,"18,187",,Reunion Arena,,2000,March
"Sat, Mar 11, 2000",Portland Trail Blazers,99,Detroit Pistons,94,Box Score,,"22,076",,The Palace of Auburn Hills,,2000,March
"Sat, Mar 11, 2000",Minnesota Timberwolves,100,Houston Rockets,86,Box Score,,"16,285",,Compaq Center,,2000,March
"Sat, Mar 11, 2000",Denver Nuggets,107,Orlando Magic,110,Box Score,,"13,635",,TD Waterhouse Centre,,2000,March
"Sun, Mar 12, 2000",Philadelphia 76ers,77,Boston Celtics,93,Box Score,,"18,624",2:27,FleetCenter,,2000,March
"Sun, Mar 12, 2000",Los Angeles Clippers,112,Golden State Warriors,103,Box Score,,"10,078",,The Arena in Oakland,,2000,March
