Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Tue, Apr 2, 2002",7:00p,Phoenix Suns,96,Cleveland Cavaliers,101,Box Score,,"13,688",,Gund Arena,,2002,April
"Tue, Apr 2, 2002",7:00p,Boston Celtics,105,Indiana Pacers,94,Box Score,,"16,890",2:19,Conseco Fieldhouse,,2002,April
"Tue, Apr 2, 2002",7:30p,Milwaukee Bucks,92,Atlanta Hawks,100,Box Score,,"9,149",,Philips Arena,,2002,April
"Tue, Apr 2, 2002",7:30p,Detroit Pistons,90,Miami Heat,87,Box Score,,"15,401",,AmericanAirlines Arena,,2002,April
"Tue, Apr 2, 2002",8:00p,Sacramento Kings,107,Memphis Grizzlies,83,Box Score,,"11,835",,Pyramid Arena,,2002,April
"Tue, Apr 2, 2002",8:00p,Charlotte Hornets,85,New York Knicks,91,Box Score,,"19,763",,Madison Square Garden (IV),,2002,April
"Tue, Apr 2, 2002",8:00p,Los Angeles Lakers,113,Washington Wizards,93,Box Score,,"20,674",,MCI Center,,2002,April
"Tue, Apr 2, 2002",8:30p,Seattle SuperSonics,98,Houston Rockets,100,Box Score,,"9,932",,Compaq Center,,2002,April
"Tue, Apr 2, 2002",9:00p,Utah Jazz,90,Denver Nuggets,98,Box Score,,"17,042",,Pepsi Center,,2002,April
"Tue, Apr 2, 2002",10:30p,Portland Trail Blazers,91,Golden State Warriors,107,Box Score,,"13,127",,The Arena in Oakland,,2002,April
"Wed, Apr 3, 2002",7:00p,Miami Heat,90,Charlotte Hornets,97,Box Score,,"9,217",,Charlotte Coliseum,,2002,April
"Wed, Apr 3, 2002",7:00p,Phoenix Suns,83,Philadelphia 76ers,89,Box Score,OT,"20,652",,First Union Center,,2002,April
"Wed, Apr 3, 2002",7:00p,Chicago Bulls,104,Toronto Raptors,117,Box Score,,"19,800",,Air Canada Centre,,2002,April
"Wed, Apr 3, 2002",7:30p,Sacramento Kings,107,Detroit Pistons,86,Box Score,,"22,076",,The Palace of Auburn Hills,,2002,April
