Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Sat, Dec 1, 2001",1:00p,Boston Celtics,105,New Jersey Nets,98,Box Score,OT,"11,379",2:32,Continental Airlines Arena,,2002,December
"Sat, Dec 1, 2001",2:00p,Toronto Raptors,104,Atlanta Hawks,103,Box Score,,"18,628",,Philips Arena,,2002,December
"Sat, Dec 1, 2001",6:30p,Orlando Magic,96,Washington Wizards,87,Box Score,,"20,674",,MCI Center,,2002,December
"Sat, Dec 1, 2001",7:30p,Charlotte Hornets,81,Cleveland Cavaliers,93,Box Score,,"12,498",,Gund Arena,,2002,December
"Sat, Dec 1, 2001",8:00p,Detroit Pistons,100,New York Knicks,97,Box Score,,"19,763",,Madison Square Garden (IV),,2002,December
"Sat, Dec 1, 2001",8:30p,Philadelphia 76ers,93,Chicago Bulls,76,Box Score,,"20,212",,United Center,,2002,December
"Sat, Dec 1, 2001",8:30p,San Antonio Spurs,85,Houston Rockets,75,Box Score,,"12,232",,Compaq Center,,2002,December
"Sat, Dec 1, 2001",9:00p,Indiana Pacers,100,Utah Jazz,97,Box Score,,"17,885",,Delta Center,,2002,December
"Sat, Dec 1, 2001",10:00p,Phoenix Suns,97,Portland Trail Blazers,83,Box Score,,"18,487",,Rose Garden Arena,,2002,December
"Sat, Dec 1, 2001",10:30p,Dallas Mavericks,111,Golden State Warriors,82,Box Score,,"14,122",,The Arena in Oakland,,2002,December
"Sat, Dec 1, 2001",10:30p,Minnesota Timberwolves,76,Los Angeles Lakers,102,Box Score,,"18,997",,STAPLES Center,,2002,December
"Sun, Dec 2, 2001",3:00p,Boston Celtics,85,Toronto Raptors,69,Box Score,,"19,800",2:12,Air Canada Centre,,2002,December
"Sun, Dec 2, 2001",6:00p,Memphis Grizzlies,93,Philadelphia 76ers,87,Box Score,,"20,433",,First Union Center,,2002,December
"Sun, Dec 2, 2001",9:00p,Indiana Pacers,72,Los Angeles Clippers,103,Box Score,,"16,737",,STAPLES Center,,2002,December
