Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Fri, Feb 1, 2002",7:00p,New York Knicks,87,Indiana Pacers,92,Box Score,,"18,345",,Conseco Fieldhouse,,2002,February
"Fri, Feb 1, 2002",7:00p,Atlanta Hawks,90,Washington Wizards,97,Box Score,,"20,674",,MCI Center,,2002,February
"Fri, Feb 1, 2002",7:30p,Minnesota Timberwolves,98,Boston Celtics,95,Box Score,OT,"18,624",2:26,FleetCenter,,2002,February
"Fri, Feb 1, 2002",7:30p,San Antonio Spurs,83,Miami Heat,88,Box Score,,"15,658",,AmericanAirlines Arena,,2002,February
"Fri, Feb 1, 2002",8:00p,Orlando Magic,85,Detroit Pistons,83,Box Score,,"19,627",,The Palace of Auburn Hills,,2002,February
"Fri, Feb 1, 2002",8:00p,Los Angeles Lakers,100,Memphis Grizzlies,85,Box Score,,"19,405",,Pyramid Arena,,2002,February
"Fri, Feb 1, 2002",8:30p,Charlotte Hornets,73,Houston Rockets,72,Box Score,,"11,004",,Compaq Center,,2002,February
"Fri, Feb 1, 2002",9:00p,Golden State Warriors,98,Phoenix Suns,104,Box Score,,"18,733",,America West Arena,,2002,February
"Fri, Feb 1, 2002",10:00p,Denver Nuggets,96,Sacramento Kings,132,Box Score,,"17,317",,ARCO Arena (II),,2002,February
"Sat, Feb 2, 2002",12:30p,Toronto Raptors,91,New Jersey Nets,98,Box Score,,"20,049",,Continental Airlines Arena,,2002,February
"Sat, Feb 2, 2002",3:00p,Portland Trail Blazers,96,Utah Jazz,97,Box Score,,"18,847",,Delta Center,,2002,February
"Sat, Feb 2, 2002",5:30p,Philadelphia 76ers,86,Milwaukee Bucks,81,Box Score,,"18,717",,Bradley Center,,2002,February
"Sat, Feb 2, 2002",7:00p,Los Angeles Clippers,94,Atlanta Hawks,101,Box Score,,"14,994",,Philips Arena,,2002,February
"Sat, Feb 2, 2002",8:00p,Detroit Pistons,115,Cleveland Cavaliers,107,Box Score,,"17,476",,Gund Arena,,2002,February
"Sat, Feb 2, 2002",8:00p,Chicago Bulls,97,Seattle SuperSonics,91,Box Score,,"16,191",,KeyArena at Seattle Center,,2002,February
"Sun, Feb 3, 2002",12:00p,Miami Heat,94,New York Knicks,83,Box Score,,"19,763",,Madison Square Garden (IV),,2002,February
"Sun, Feb 3, 2002",12:00p,San Antonio Spurs,105,Orlando Magic,98,Box Score,OT,"15,072",,TD Waterhouse Centre,,2002,February
"Sun, Feb 3, 2002",12:00p,Indiana Pacers,89,Washington Wizards,109,Box Score,,"20,674",,MCI Center,,2002,February
"Sun, Feb 3, 2002",2:30p,Los Angeles Lakers,101,Dallas Mavericks,94,Box Score,,"20,179",,American Airlines Center,,2002,February
