Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Tue, Jan 1, 2002",9:00p,Portland Trail Blazers,97,Los Angeles Clippers,112,Box Score,,"18,964",,STAPLES Center,,2002,January
"Wed, Jan 2, 2002",7:00p,Orlando Magic,94,Boston Celtics,110,Box Score,,"15,003",1:58,FleetCenter,,2002,January
"Wed, Jan 2, 2002",7:00p,Golden State Warriors,98,Cleveland Cavaliers,113,Box Score,,"10,403",,Gund Arena,,2002,January
"Wed, Jan 2, 2002",7:30p,Memphis Grizzlies,74,New Jersey Nets,92,Box Score,,"7,796",,Continental Airlines Arena,,2002,January
"Wed, Jan 2, 2002",8:00p,Milwaukee Bucks,77,Minnesota Timberwolves,95,Box Score,,"19,497",,Target Center,,2002,January
"Wed, Jan 2, 2002",8:30p,Dallas Mavericks,107,Chicago Bulls,97,Box Score,,"17,824",,United Center,,2002,January
"Wed, Jan 2, 2002",8:30p,Detroit Pistons,85,San Antonio Spurs,97,Box Score,,"16,648",,Alamodome,,2002,January
"Wed, Jan 2, 2002",9:00p,Los Angeles Lakers,87,Denver Nuggets,86,Box Score,,"17,932",,Pepsi Center,,2002,January
"Wed, Jan 2, 2002",9:00p,Philadelphia 76ers,102,Phoenix Suns,81,Box Score,,"18,695",,America West Arena,,2002,January
"Wed, Jan 2, 2002",10:00p,Toronto Raptors,95,Portland Trail Blazers,84,Box Score,,"18,117",,Rose Garden Arena,,2002,January
"Wed, Jan 2, 2002",10:00p,Los Angeles Clippers,91,Sacramento Kings,105,Box Score,,"17,317",,ARCO Arena (II),,2002,January
"Thu, Jan 3, 2002",7:00p,Golden State Warriors,102,Charlotte Hornets,114,Box Score,,"7,770",,Charlotte Coliseum,,2002,January
"Thu, Jan 3, 2002",7:30p,Dallas Mavericks,101,New York Knicks,108,Box Score,OT,"19,763",,Madison Square Garden (IV),,2002,January
"Thu, Jan 3, 2002",8:30p,Detroit Pistons,97,Houston Rockets,99,Box Score,,"10,836",,Compaq Center,,2002,January
"Fri, Jan 4, 2002",7:00p,Cleveland Cavaliers,91,Toronto Raptors,101,Box Score,,"19,800",,Air Canada Centre,,2002,January
"Fri, Jan 4, 2002",7:00p,Chicago Bulls,83,Washington Wizards,89,Box Score,,"20,674",,MCI Center,,2002,January
"Fri, Jan 4, 2002",7:30p,Miami Heat,89,Boston Celtics,66,Box Score,,"16,473",1:59,FleetCenter,,2002,January
"Fri, Jan 4, 2002",7:30p,Orlando Magic,109,New Jersey Nets,96,Box Score,,"14,770",,Continental Airlines Arena,,2002,January
"Fri, Jan 4, 2002",8:00p,Atlanta Hawks,113,Memphis Grizzlies,109,Box Score,,"13,342",,Pyramid Arena,,2002,January
"Fri, Jan 4, 2002",8:00p,Utah Jazz,86,Minnesota Timberwolves,93,Box Score,,"19,579",,Target Center,,2002,January
"Fri, Jan 4, 2002",8:30p,Indiana Pacers,92,San Antonio Spurs,82,Box Score,,"29,243",,Alamodome,,2002,January
"Fri, Jan 4, 2002",9:00p,Los Angeles Clippers,82,Denver Nuggets,80,Box Score,,"16,004",,Pepsi Center,,2002,January
"Fri, Jan 4, 2002",10:00p,Philadelphia 76ers,87,Seattle SuperSonics,77,Box Score,,"17,072",,KeyArena at Seattle Center,,2002,January
"Fri, Jan 4, 2002",10:30p,Phoenix Suns,86,Los Angeles Lakers,118,Box Score,,"18,997",,STAPLES Center,,2002,January
"Sat, Jan 5, 2002",7:00p,Minnesota Timberwolves,112,Atlanta Hawks,96,Box Score,,"13,826",,Philips Arena,,2002,January
"Sat, Jan 5, 2002",7:30p,New Jersey Nets,89,Charlotte Hornets,80,Box Score,,"11,476",,Charlotte Coliseum,,2002,January
"Sat, Jan 5, 2002",7:30p,Cleveland Cavaliers,91,Detroit Pistons,101,Box Score,,"15,194",,The Palace of Auburn Hills,,2002,January
"Sat, Jan 5, 2002",7:30p,Boston Celtics,90,New York Knicks,81,Box Score,,"19,763",2:08,Madison Square Garden (IV),,2002,January
"Sat, Jan 5, 2002",7:30p,Golden State Warriors,109,Orlando Magic,118,Box Score,,"15,017",,TD Waterhouse Centre,,2002,January
"Sat, Jan 5, 2002",8:30p,Utah Jazz,113,Chicago Bulls,111,Box Score,OT,"18,076",,United Center,,2002,January
"Sat, Jan 5, 2002",8:30p,San Antonio Spurs,105,Dallas Mavericks,103,Box Score,,"20,123",,American Airlines Center,,2002,January
"Sat, Jan 5, 2002",8:30p,Indiana Pacers,81,Houston Rockets,79,Box Score,,"12,789",,Compaq Center,,2002,January
"Sat, Jan 5, 2002",9:00p,Sacramento Kings,118,Phoenix Suns,112,Box Score,,"17,042",,America West Arena,,2002,January
"Sat, Jan 5, 2002",10:00p,Philadelphia 76ers,88,Portland Trail Blazers,96,Box Score,,"20,580",,Rose Garden Arena,,2002,January
"Sat, Jan 5, 2002",10:30p,Milwaukee Bucks,83,Los Angeles Clippers,86,Box Score,,"19,232",,STAPLES Center,,2002,January
"Sun, Jan 6, 2002",3:00p,Seattle SuperSonics,89,Memphis Grizzlies,77,Box Score,,"12,832",,Pyramid Arena,,2002,January
"Sun, Jan 6, 2002",3:00p,Los Angeles Lakers,109,Toronto Raptors,89,Box Score,,"19,800",,Air Canada Centre,,2002,January
"Sun, Jan 6, 2002",7:30p,Golden State Warriors,84,Miami Heat,92,Box Score,,"15,098",,AmericanAirlines Arena,,2002,January
"Sun, Jan 6, 2002",9:00p,Milwaukee Bucks,101,Sacramento Kings,115,Box Score,,"17,317",,ARCO Arena (II),,2002,January
"Mon, Jan 7, 2002",7:00p,Denver Nuggets,80,Charlotte Hornets,94,Box Score,,"7,806",,Charlotte Coliseum,,2002,January
"Mon, Jan 7, 2002",7:00p,Portland Trail Blazers,98,Cleveland Cavaliers,72,Box Score,,"11,032",,Gund Arena,,2002,January
"Mon, Jan 7, 2002",7:00p,Los Angeles Clippers,92,Philadelphia 76ers,116,Box Score,,"20,414",,First Union Center,,2002,January
"Mon, Jan 7, 2002",7:30p,Boston Celtics,87,Orlando Magic,98,Box Score,,"13,273",2:10,TD Waterhouse Centre,,2002,January
"Mon, Jan 7, 2002",8:00p,Detroit Pistons,93,Minnesota Timberwolves,109,Box Score,,"14,427",,Target Center,,2002,January
"Mon, Jan 7, 2002",8:30p,Seattle SuperSonics,100,Chicago Bulls,88,Box Score,,"15,532",,United Center,,2002,January
"Mon, Jan 7, 2002",8:30p,New York Knicks,79,San Antonio Spurs,90,Box Score,,"18,428",,Alamodome,,2002,January
"Tue, Jan 8, 2002",7:00p,Los Angeles Clippers,88,Washington Wizards,96,Box Score,,"20,674",,MCI Center,,2002,January
"Tue, Jan 8, 2002",7:30p,Portland Trail Blazers,92,Atlanta Hawks,101,Box Score,,"7,843",,Philips Arena,,2002,January
"Tue, Jan 8, 2002",7:30p,Miami Heat,95,New Jersey Nets,104,Box Score,,"8,195",,Continental Airlines Arena,,2002,January
"Tue, Jan 8, 2002",8:00p,Los Angeles Lakers,121,Detroit Pistons,92,Box Score,,"22,076",,The Palace of Auburn Hills,,2002,January
"Tue, Jan 8, 2002",8:00p,Toronto Raptors,81,Memphis Grizzlies,84,Box Score,,"14,323",,Pyramid Arena,,2002,January
"Tue, Jan 8, 2002",8:30p,Denver Nuggets,94,Dallas Mavericks,95,Box Score,,"19,617",,American Airlines Center,,2002,January
"Tue, Jan 8, 2002",8:30p,New York Knicks,86,Houston Rockets,88,Box Score,,"11,344",,Compaq Center,,2002,January
"Tue, Jan 8, 2002",9:00p,Phoenix Suns,84,Utah Jazz,98,Box Score,,"18,976",,Delta Center,,2002,January
"Tue, Jan 8, 2002",10:30p,Milwaukee Bucks,113,Golden State Warriors,97,Box Score,,"14,011",,The Arena in Oakland,,2002,January
"Wed, Jan 9, 2002",7:00p,San Antonio Spurs,93,Boston Celtics,90,Box Score,,"16,003",2:34,FleetCenter,,2002,January
"Wed, Jan 9, 2002",7:00p,Atlanta Hawks,87,Charlotte Hornets,111,Box Score,,"10,476",,Charlotte Coliseum,,2002,January
"Wed, Jan 9, 2002",7:00p,Los Angeles Lakers,109,Indiana Pacers,90,Box Score,,"18,345",,Conseco Fieldhouse,,2002,January
"Wed, Jan 9, 2002",8:00p,Seattle SuperSonics,106,Minnesota Timberwolves,111,Box Score,,"16,561",,Target Center,,2002,January
"Wed, Jan 9, 2002",8:00p,Orlando Magic,102,Philadelphia 76ers,91,Box Score,,"20,496",,First Union Center,,2002,January
"Wed, Jan 9, 2002",8:30p,Toronto Raptors,85,Chicago Bulls,73,Box Score,,"16,227",,United Center,,2002,January
"Thu, Jan 10, 2002",7:30p,Portland Trail Blazers,92,Miami Heat,85,Box Score,,"15,133",,AmericanAirlines Arena,,2002,January
"Thu, Jan 10, 2002",7:30p,Los Angeles Clippers,89,New Jersey Nets,108,Box Score,,"15,039",,Continental Airlines Arena,,2002,January
"Thu, Jan 10, 2002",9:00p,New York Knicks,89,Dallas Mavericks,111,Box Score,,"20,019",,American Airlines Center,,2002,January
"Thu, Jan 10, 2002",9:00p,Cleveland Cavaliers,91,Denver Nuggets,96,Box Score,,"13,589",,Pepsi Center,,2002,January
"Thu, Jan 10, 2002",9:00p,Memphis Grizzlies,102,Phoenix Suns,96,Box Score,,"14,379",,America West Arena,,2002,January
"Thu, Jan 10, 2002",9:00p,Houston Rockets,79,Utah Jazz,83,Box Score,,"18,570",,Delta Center,,2002,January
"Fri, Jan 11, 2002",7:00p,Chicago Bulls,90,Indiana Pacers,97,Box Score,,"16,096",,Conseco Fieldhouse,,2002,January
"Fri, Jan 11, 2002",7:00p,San Antonio Spurs,84,Philadelphia 76ers,101,Box Score,,"20,488",,First Union Center,,2002,January
"Fri, Jan 11, 2002",7:00p,Atlanta Hawks,91,Toronto Raptors,94,Box Score,OT,"19,800",,Air Canada Centre,,2002,January
"Fri, Jan 11, 2002",7:30p,Detroit Pistons,90,Boston Celtics,104,Box Score,,"15,642",2:03,FleetCenter,,2002,January
"Fri, Jan 11, 2002",7:30p,Los Angeles Clippers,91,Charlotte Hornets,92,Box Score,OT,"13,087",,Charlotte Coliseum,,2002,January
"Fri, Jan 11, 2002",7:30p,Portland Trail Blazers,92,Orlando Magic,84,Box Score,,"14,752",,TD Waterhouse Centre,,2002,January
"Fri, Jan 11, 2002",8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,120,Box Score,,"19,806",,Target Center,,2002,January
