Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Fri, Mar 1, 2002",7:00p,New Jersey Nets,102,Philadelphia 76ers,110,Box Score,,"20,869",,First Union Center,,2002,March
"Fri, Mar 1, 2002",7:00p,Portland Trail Blazers,91,Toronto Raptors,81,Box Score,,"19,800",,Air Canada Centre,,2002,March
"Fri, Mar 1, 2002",7:30p,Charlotte Hornets,100,Boston Celtics,87,Box Score,,"17,872",2:07,FleetCenter,,2002,March
"Fri, Mar 1, 2002",7:30p,Seattle SuperSonics,87,New York Knicks,89,Box Score,,"19,763",,Madison Square Garden (IV),,2002,March
"Fri, Mar 1, 2002",8:00p,Orlando Magic,102,Detroit Pistons,110,Box Score,,"22,076",,The Palace of Auburn Hills,,2002,March
"Fri, Mar 1, 2002",8:00p,San Antonio Spurs,85,Minnesota Timberwolves,77,Box Score,,"19,799",,Target Center,,2002,March
"Fri, Mar 1, 2002",8:30p,Washington Wizards,81,Chicago Bulls,90,Box Score,,"22,623",,United Center,,2002,March
"Fri, Mar 1, 2002",9:00p,Memphis Grizzlies,83,Denver Nuggets,96,Box Score,,"16,177",,Pepsi Center,,2002,March
"Fri, Mar 1, 2002",10:30p,Sacramento Kings,116,Golden State Warriors,108,Box Score,,"19,869",,The Arena in Oakland,,2002,March
"Fri, Mar 1, 2002",10:30p,Indiana Pacers,84,Los Angeles Lakers,96,Box Score,,"18,897",,STAPLES Center,,2002,March
"Sat, Mar 2, 2002",7:00p,Cleveland Cavaliers,81,Atlanta Hawks,84,Box Score,,"15,878",,Philips Arena,,2002,March
"Sat, Mar 2, 2002",8:30p,Miami Heat,109,Dallas Mavericks,95,Box Score,,"20,140",,American Airlines Center,,2002,March
"Sat, Mar 2, 2002",8:30p,Portland Trail Blazers,104,Milwaukee Bucks,103,Box Score,OT,"18,717",,Bradley Center,,2002,March
"Sat, Mar 2, 2002",9:00p,Houston Rockets,104,Phoenix Suns,97,Box Score,,"15,686",,America West Arena,,2002,March
"Sat, Mar 2, 2002",9:00p,Minnesota Timberwolves,116,Utah Jazz,105,Box Score,,"18,641",,Delta Center,,2002,March
"Sat, Mar 2, 2002",10:30p,Golden State Warriors,95,Los Angeles Clippers,109,Box Score,,"18,964",,STAPLES Center,,2002,March
"Sun, Mar 3, 2002",12:30p,Philadelphia 76ers,96,Toronto Raptors,84,Box Score,,"19,800",,Air Canada Centre,,2002,March
"Sun, Mar 3, 2002",3:00p,Detroit Pistons,83,Charlotte Hornets,81,Box Score,,"8,632",,Charlotte Coliseum,,2002,March
"Sun, Mar 3, 2002",3:00p,Seattle SuperSonics,96,Memphis Grizzlies,71,Box Score,,"14,121",,Pyramid Arena,,2002,March
"Sun, Mar 3, 2002",3:00p,Chicago Bulls,84,New Jersey Nets,92,Box Score,,"13,676",,Continental Airlines Arena,,2002,March
"Sun, Mar 3, 2002",3:00p,San Antonio Spurs,99,New York Knicks,83,Box Score,,"19,763",,Madison Square Garden (IV),,2002,March
"Sun, Mar 3, 2002",6:00p,Indiana Pacers,97,Sacramento Kings,86,Box Score,,"17,317",,ARCO Arena (II),,2002,March
"Sun, Mar 3, 2002",6:00p,Orlando Magic,102,Washington Wizards,107,Box Score,OT,"20,674",,MCI Center,,2002,March
"Sun, Mar 3, 2002",7:00p,Milwaukee Bucks,101,Cleveland Cavaliers,91,Box Score,,"14,031",,Gund Arena,,2002,March
"Sun, Mar 3, 2002",9:00p,Dallas Mavericks,116,Denver Nuggets,110,Box Score,OT,"16,851",,Pepsi Center,,2002,March
"Sun, Mar 3, 2002",9:30p,Houston Rockets,79,Los Angeles Lakers,95,Box Score,,"18,997",,STAPLES Center,,2002,March
"Mon, Mar 4, 2002",7:00p,Boston Celtics,100,Philadelphia 76ers,94,Box Score,,"20,430",2:18,First Union Center,,2002,March
"Mon, Mar 4, 2002",7:30p,Memphis Grizzlies,76,Atlanta Hawks,95,Box Score,,"7,714",,Philips Arena,,2002,March
"Mon, Mar 4, 2002",9:00p,Denver Nuggets,82,Utah Jazz,100,Box Score,,"18,381",,Delta Center,,2002,March
"Mon, Mar 4, 2002",10:00p,Sacramento Kings,95,Portland Trail Blazers,107,Box Score,,"19,980",,Rose Garden Arena,,2002,March
"Tue, Mar 5, 2002",7:00p,Atlanta Hawks,96,Cleveland Cavaliers,103,Box Score,,"9,915",,Gund Arena,,2002,March
"Tue, Mar 5, 2002",7:00p,Chicago Bulls,90,Washington Wizards,115,Box Score,,"20,674",,MCI Center,,2002,March
"Tue, Mar 5, 2002",7:30p,Miami Heat,93,Detroit Pistons,91,Box Score,,"16,279",,The Palace of Auburn Hills,,2002,March
"Tue, Mar 5, 2002",7:30p,Milwaukee Bucks,89,New York Knicks,102,Box Score,,"19,763",,Madison Square Garden (IV),,2002,March
"Tue, Mar 5, 2002",8:00p,Orlando Magic,98,Indiana Pacers,111,Box Score,,"15,697",,Conseco Fieldhouse,,2002,March
"Tue, Mar 5, 2002",8:30p,Phoenix Suns,77,Dallas Mavericks,81,Box Score,,"19,745",,American Airlines Center,,2002,March
"Tue, Mar 5, 2002",8:30p,Toronto Raptors,109,Houston Rockets,112,Box Score,,"14,221",,Compaq Center,,2002,March
"Tue, Mar 5, 2002",8:30p,Golden State Warriors,88,San Antonio Spurs,109,Box Score,,"19,322",,Alamodome,,2002,March
"Tue, Mar 5, 2002",10:30p,New Jersey Nets,92,Los Angeles Lakers,101,Box Score,,"18,997",,STAPLES Center,,2002,March
"Tue, Mar 5, 2002",10:30p,Minnesota Timberwolves,83,Seattle SuperSonics,97,Box Score,,"17,072",,KeyArena at Seattle Center,,2002,March
"Wed, Mar 6, 2002",7:00p,Orlando Magic,110,Boston Celtics,130,Box Score,,"13,399",2:15,FleetCenter,,2002,March
"Wed, Mar 6, 2002",7:00p,Cleveland Cavaliers,76,Philadelphia 76ers,85,Box Score,,"20,359",,First Union Center,,2002,March
"Wed, Mar 6, 2002",8:00p,Los Angeles Clippers,86,Milwaukee Bucks,92,Box Score,,"16,985",,Bradley Center,,2002,March
"Wed, Mar 6, 2002",8:00p,Los Angeles Lakers,84,Utah Jazz,92,Box Score,,"19,911",,Delta Center,,2002,March
"Wed, Mar 6, 2002",8:30p,Miami Heat,92,Chicago Bulls,87,Box Score,,"17,054",,United Center,,2002,March
"Wed, Mar 6, 2002",9:00p,New Jersey Nets,87,Phoenix Suns,89,Box Score,,"16,251",,America West Arena,,2002,March
"Wed, Mar 6, 2002",10:00p,Minnesota Timberwolves,78,Portland Trail Blazers,85,Box Score,,"19,233",,Rose Garden Arena,,2002,March
"Thu, Mar 7, 2002",7:00p,Detroit Pistons,95,Washington Wizards,92,Box Score,,"20,674",,MCI Center,,2002,March
"Thu, Mar 7, 2002",8:00p,Indiana Pacers,111,Memphis Grizzlies,122,Box Score,,"12,234",,Pyramid Arena,,2002,March
"Thu, Mar 7, 2002",8:30p,Houston Rockets,97,San Antonio Spurs,99,Box Score,,"17,094",,Alamodome,,2002,March
"Thu, Mar 7, 2002",9:00p,Toronto Raptors,103,Dallas Mavericks,122,Box Score,,"19,945",,American Airlines Center,,2002,March
"Thu, Mar 7, 2002",9:00p,New York Knicks,93,Denver Nuggets,104,Box Score,,"16,307",,Pepsi Center,,2002,March
"Thu, Mar 7, 2002",10:00p,Charlotte Hornets,89,Seattle SuperSonics,92,Box Score,OT,"14,990",,KeyArena at Seattle Center,,2002,March
"Fri, Mar 8, 2002",7:00p,Indiana Pacers,100,Philadelphia 76ers,109,Box Score,,"20,773",,First Union Center,,2002,March
"Fri, Mar 8, 2002",7:30p,Detroit Pistons,92,Boston Celtics,117,Box Score,,"17,405",2:06,FleetCenter,,2002,March
"Fri, Mar 8, 2002",7:30p,Toronto Raptors,83,Miami Heat,74,Box Score,,"16,500",,AmericanAirlines Arena,,2002,March
"Fri, Mar 8, 2002",7:30p,Washington Wizards,96,Orlando Magic,99,Box Score,,"17,248",,TD Waterhouse Centre,,2002,March
"Fri, Mar 8, 2002",8:30p,Los Angeles Clippers,94,Chicago Bulls,90,Box Score,,"20,359",,United Center,,2002,March
"Fri, Mar 8, 2002",8:30p,Golden State Warriors,108,Houston Rockets,95,Box Score,,"10,222",,Compaq Center,,2002,March
"Fri, Mar 8, 2002",8:30p,Cleveland Cavaliers,115,Milwaukee Bucks,109,Box Score,OT,"18,717",,Bradley Center,,2002,March
"Fri, Mar 8, 2002",9:00p,Minnesota Timberwolves,76,Phoenix Suns,81,Box Score,,"16,914",,America West Arena,,2002,March
"Fri, Mar 8, 2002",9:00p,New York Knicks,85,Utah Jazz,79,Box Score,,"19,619",,Delta Center,,2002,March
"Fri, Mar 8, 2002",10:00p,New Jersey Nets,73,Portland Trail Blazers,82,Box Score,,"20,580",,Rose Garden Arena,,2002,March
