Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Wed, May 1, 2002",8:00p,Boston Celtics,81,Philadelphia 76ers,83,Box Score,,"20,904",2:29,First Union Center,,2002,May
"Wed, May 1, 2002",10:30p,San Antonio Spurs,79,Seattle SuperSonics,91,Box Score,,"17,072",,KeyArena at Seattle Center,,2002,May
"Thu, May 2, 2002",7:00p,Indiana Pacers,109,New Jersey Nets,120,Box Score,2OT,"20,049",,Continental Airlines Arena,,2002,May
"Thu, May 2, 2002",8:30p,Toronto Raptors,82,Detroit Pistons,85,Box Score,,"22,076",,The Palace of Auburn Hills,,2002,May
"Fri, May 3, 2002",7:00p,Philadelphia 76ers,87,Boston Celtics,120,Box Score,,"18,624",2:20,FleetCenter,,2002,May
"Fri, May 3, 2002",9:30p,Seattle SuperSonics,78,San Antonio Spurs,101,Box Score,,"23,369",,Alamodome,,2002,May
"Sat, May 4, 2002",6:30p,Dallas Mavericks,91,Sacramento Kings,108,Box Score,,"17,317",,ARCO Arena (II),,2002,May
"Sun, May 5, 2002",12:30p,Charlotte Hornets,93,New Jersey Nets,99,Box Score,,"19,071",,Continental Airlines Arena,,2002,May
"Sun, May 5, 2002",3:00p,Boston Celtics,84,Detroit Pistons,96,Box Score,,"20,252",2:13,The Palace of Auburn Hills,,2002,May
"Sun, May 5, 2002",5:30p,San Antonio Spurs,80,Los Angeles Lakers,86,Box Score,,"18,997",,STAPLES Center,,2002,May
"Mon, May 6, 2002",9:00p,Dallas Mavericks,110,Sacramento Kings,102,Box Score,,"17,317",,ARCO Arena (II),,2002,May
"Tue, May 7, 2002",8:00p,Charlotte Hornets,88,New Jersey Nets,102,Box Score,,"20,049",,Continental Airlines Arena,,2002,May
"Tue, May 7, 2002",10:30p,San Antonio Spurs,88,Los Angeles Lakers,85,Box Score,,"18,997",,STAPLES Center,,2002,May
"Wed, May 8, 2002",8:00p,Boston Celtics,85,Detroit Pistons,77,Box Score,,"22,076",2:10,The Palace of Auburn Hills,,2002,May
"Thu, May 9, 2002",7:00p,New Jersey Nets,97,Charlotte Hornets,115,Box Score,,"11,363",,Charlotte Coliseum,,2002,May
"Thu, May 9, 2002",9:30p,Sacramento Kings,125,Dallas Mavericks,119,Box Score,,"20,265",,American Airlines Center,,2002,May
"Fri, May 10, 2002",7:00p,Detroit Pistons,64,Boston Celtics,66,Box Score,,"18,624",2:25,FleetCenter,,2002,May
"Fri, May 10, 2002",9:30p,Los Angeles Lakers,99,San Antonio Spurs,89,Box Score,,"35,520",,Alamodome,,2002,May
"Sat, May 11, 2002",3:30p,Sacramento Kings,115,Dallas Mavericks,113,Box Score,OT,"20,274",,American Airlines Center,,2002,May
"Sun, May 12, 2002",12:30p,New Jersey Nets,89,Charlotte Hornets,79,Box Score,,"13,864",,Charlotte Coliseum,,2002,May
"Sun, May 12, 2002",3:00p,Detroit Pistons,79,Boston Celtics,90,Box Score,,"18,624",2:27,FleetCenter,,2002,May
"Sun, May 12, 2002",5:30p,Los Angeles Lakers,87,San Antonio Spurs,85,Box Score,,"32,342",,Alamodome,,2002,May
"Mon, May 13, 2002",9:00p,Dallas Mavericks,101,Sacramento Kings,114,Box Score,,"17,317",,ARCO Arena (II),,2002,May
"Tue, May 14, 2002",8:00p,Boston Celtics,90,Detroit Pistons,81,Box Score,,"22,076",2:24,The Palace of Auburn Hills,,2002,May
"Tue, May 14, 2002",10:30p,San Antonio Spurs,87,Los Angeles Lakers,93,Box Score,,"18,997",,STAPLES Center,,2002,May
"Wed, May 15, 2002",8:00p,Charlotte Hornets,95,New Jersey Nets,103,Box Score,,"20,049",,Continental Airlines Arena,,2002,May
"Sat, May 18, 2002",6:30p,Los Angeles Lakers,106,Sacramento Kings,99,Box Score,,"17,317",,ARCO Arena (II),,2002,May
"Sun, May 19, 2002",5:30p,Boston Celtics,97,New Jersey Nets,104,Box Score,,"20,049",2:35,Continental Airlines Arena,,2002,May
"Mon, May 20, 2002",9:30p,Los Angeles Lakers,90,Sacramento Kings,96,Box Score,,"17,317",,ARCO Arena (II),,2002,May
"Tue, May 21, 2002",8:30p,Boston Celtics,93,New Jersey Nets,86,Box Score,,"19,850",2:33,Continental Airlines Arena,,2002,May
"Fri, May 24, 2002",9:00p,Sacramento Kings,103,Los Angeles Lakers,90,Box Score,,"18,997",,STAPLES Center,,2002,May
"Sat, May 25, 2002",5:30p,New Jersey Nets,90,Boston Celtics,94,Box Score,,"18,624",2:32,FleetCenter,,2002,May
"Sun, May 26, 2002",5:30p,Sacramento Kings,99,Los Angeles Lakers,100,Box Score,,"18,997",,STAPLES Center,,2002,May
"Mon, May 27, 2002",5:30p,New Jersey Nets,94,Boston Celtics,92,Box Score,,"18,624",2:40,FleetCenter,,2002,May
"Tue, May 28, 2002",9:00p,Los Angeles Lakers,91,Sacramento Kings,92,Box Score,,"17,317",,ARCO Arena (II),,2002,May
"Wed, May 29, 2002",9:00p,Boston Celtics,92,New Jersey Nets,103,Box Score,,"19,850",2:24,Continental Airlines Arena,,2002,May
"Fri, May 31, 2002",7:00p,New Jersey Nets,96,Boston Celtics,88,Box Score,,"18,624",2:34,FleetCenter,,2002,May
"Fri, May 31, 2002",9:30p,Sacramento Kings,102,Los Angeles Lakers,106,Box Score,,"18,997",,STAPLES Center,,2002,May
