Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Notes/BoxScore,Notes/BoxScore,Attend.,LOG,Arena,Notes,Year,Month
"Thu, Nov 1, 2001",7:00p,Dallas Mavericks,99,Philadelphia 76ers,92,Box Score,,"20,230",,First Union Center,,2002,November
"Thu, Nov 1, 2001",8:00p,Washington Wizards,98,Atlanta Hawks,88,Box Score,,"20,072",,Philips Arena,,2002,November
"Thu, Nov 1, 2001",8:00p,Detroit Pistons,90,Memphis Grizzlies,80,Box Score,,"19,405",,Pyramid Arena,,2002,November
"Thu, Nov 1, 2001",8:30p,Los Angeles Clippers,92,Houston Rockets,98,Box Score,OT,"9,329",,Compaq Center,,2002,November
"Thu, Nov 1, 2001",9:00p,Milwaukee Bucks,102,Denver Nuggets,101,Box Score,,"18,634",,Pepsi Center,,2002,November
"Thu, Nov 1, 2001",9:00p,Los Angeles Lakers,105,Utah Jazz,101,Box Score,,"19,539",,Delta Center,,2002,November
"Thu, Nov 1, 2001",10:00p,San Antonio Spurs,108,Seattle SuperSonics,114,Box Score,,"15,491",,KeyArena at Seattle Center,,2002,November
"Thu, Nov 1, 2001",10:30p,Phoenix Suns,107,Golden State Warriors,101,Box Score,,"14,624",,The Arena in Oakland,,2002,November
"Fri, Nov 2, 2001",7:00p,Orlando Magic,107,Indiana Pacers,117,Box Score,,"18,345",,Conseco Fieldhouse,,2002,November
"Fri, Nov 2, 2001",7:00p,Dallas Mavericks,92,Toronto Raptors,109,Box Score,,"19,800",,Air Canada Centre,,2002,November
"Fri, Nov 2, 2001",7:30p,Chicago Bulls,82,Boston Celtics,96,Box Score,,"14,361",2:01,FleetCenter,,2002,November
"Fri, Nov 2, 2001",7:30p,New York Knicks,93,Charlotte Hornets,97,Box Score,,"13,588",,Charlotte Coliseum,,2002,November
"Fri, Nov 2, 2001",7:30p,Cleveland Cavaliers,90,Miami Heat,83,Box Score,,"15,208",,AmericanAirlines Arena,,2002,November
"Fri, Nov 2, 2001",8:00p,New Jersey Nets,88,Detroit Pistons,102,Box Score,,"22,076",,The Palace of Auburn Hills,,2002,November
"Fri, Nov 2, 2001",8:00p,Memphis Grizzlies,102,Minnesota Timberwolves,111,Box Score,,"16,922",,Target Center,,2002,November
"Fri, Nov 2, 2001",10:30p,Phoenix Suns,94,Los Angeles Lakers,117,Box Score,,"18,997",,STAPLES Center,,2002,November
"Sat, Nov 3, 2001",6:30p,Philadelphia 76ers,76,Washington Wizards,90,Box Score,,"20,674",,MCI Center,,2002,November
"Sat, Nov 3, 2001",7:00p,Miami Heat,83,Atlanta Hawks,90,Box Score,,"9,472",,Philips Arena,,2002,November
"Sat, Nov 3, 2001",8:00p,Charlotte Hornets,85,New Jersey Nets,95,Box Score,,"6,532",,Continental Airlines Arena,,2002,November
"Sat, Nov 3, 2001",8:30p,New York Knicks,79,Chicago Bulls,84,Box Score,,"18,064",,United Center,,2002,November
"Sat, Nov 3, 2001",8:30p,Orlando Magic,99,Cleveland Cavaliers,69,Box Score,,"16,930",,Gund Arena,,2002,November
"Sat, Nov 3, 2001",8:30p,Minnesota Timberwolves,90,Houston Rockets,88,Box Score,,"10,724",,Compaq Center,,2002,November
"Sat, Nov 3, 2001",8:30p,Boston Celtics,99,Milwaukee Bucks,105,Box Score,,"18,717",2:08,Bradley Center,,2002,November
"Sat, Nov 3, 2001",9:00p,Sacramento Kings,106,Denver Nuggets,94,Box Score,,"15,138",,Pepsi Center,,2002,November
"Sat, Nov 3, 2001",9:00p,Utah Jazz,91,Seattle SuperSonics,74,Box Score,,"15,370",,KeyArena at Seattle Center,,2002,November
"Sat, Nov 3, 2001",10:00p,San Antonio Spurs,106,Portland Trail Blazers,90,Box Score,,"19,980",,Rose Garden Arena,,2002,November
"Sat, Nov 3, 2001",10:30p,Golden State Warriors,110,Los Angeles Clippers,108,Box Score,OT,"19,445",,STAPLES Center,,2002,November
"Sun, Nov 4, 2001",3:00p,Dallas Mavericks,94,Memphis Grizzlies,85,Box Score,,"13,177",,Pyramid Arena,,2002,November
"Sun, Nov 4, 2001",5:30p,Indiana Pacers,100,Toronto Raptors,113,Box Score,,"18,825",,Air Canada Centre,,2002,November
"Sun, Nov 4, 2001",7:00p,Washington Wizards,78,Detroit Pistons,100,Box Score,,"22,076",,The Palace of Auburn Hills,,2002,November
"Sun, Nov 4, 2001",8:00p,Houston Rockets,103,Phoenix Suns,100,Box Score,,"13,562",,America West Arena,,2002,November
"Sun, Nov 4, 2001",9:00p,Portland Trail Blazers,86,Golden State Warriors,96,Box Score,,"12,724",,The Arena in Oakland,,2002,November
"Sun, Nov 4, 2001",9:00p,San Antonio Spurs,83,Sacramento Kings,103,Box Score,,"17,317",,ARCO Arena (II),,2002,November
"Sun, Nov 4, 2001",9:30p,Utah Jazz,96,Los Angeles Lakers,100,Box Score,,"18,997",,STAPLES Center,,2002,November
"Mon, Nov 5, 2001",7:30p,Seattle SuperSonics,123,Orlando Magic,119,Box Score,2OT,"13,723",,TD Waterhouse Centre,,2002,November
"Mon, Nov 5, 2001",10:30p,Atlanta Hawks,86,Los Angeles Clippers,109,Box Score,,"13,722",,STAPLES Center,,2002,November
"Tue, Nov 6, 2001",7:00p,Sacramento Kings,115,Cleveland Cavaliers,99,Box Score,,"14,584",,Gund Arena,,2002,November
"Tue, Nov 6, 2001",7:00p,Indiana Pacers,87,Philadelphia 76ers,77,Box Score,,"20,274",,First Union Center,,2002,November
"Tue, Nov 6, 2001",7:30p,Seattle SuperSonics,85,Miami Heat,87,Box Score,OT,"16,500",,AmericanAirlines Arena,,2002,November
"Tue, Nov 6, 2001",8:00p,New York Knicks,94,Minnesota Timberwolves,104,Box Score,,"16,444",,Target Center,,2002,November
"Tue, Nov 6, 2001",8:00p,Orlando Magic,89,San Antonio Spurs,104,Box Score,,"15,927",,Alamodome,,2002,November
"Tue, Nov 6, 2001",8:30p,Charlotte Hornets,92,Dallas Mavericks,110,Box Score,,"16,905",,American Airlines Center,,2002,November
"Tue, Nov 6, 2001",8:30p,Denver Nuggets,93,Houston Rockets,99,Box Score,,"9,671",,Compaq Center,,2002,November
"Tue, Nov 6, 2001",9:00p,Memphis Grizzlies,101,Phoenix Suns,113,Box Score,,"12,765",,America West Arena,,2002,November
"Tue, Nov 6, 2001",10:00p,Utah Jazz,83,Portland Trail Blazers,101,Box Score,,"19,980",,Rose Garden Arena,,2002,November
"Wed, Nov 7, 2001",7:00p,Golden State Warriors,92,Toronto Raptors,109,Box Score,,"18,887",,Air Canada Centre,,2002,November
"Wed, Nov 7, 2001",7:30p,Cleveland Cavaliers,64,New York Knicks,82,Box Score,,"19,763",,Madison Square Garden (IV),,2002,November
"Wed, Nov 7, 2001",8:00p,Washington Wizards,95,Boston Celtics,104,Box Score,,"18,624",2:21,FleetCenter,,2002,November
"Wed, Nov 7, 2001",8:00p,Sacramento Kings,104,Indiana Pacers,116,Box Score,,"15,309",,Conseco Fieldhouse,,2002,November
"Wed, Nov 7, 2001",8:30p,Detroit Pistons,97,Chicago Bulls,73,Box Score,,"17,023",,United Center,,2002,November
"Wed, Nov 7, 2001",9:00p,Atlanta Hawks,89,Utah Jazz,96,Box Score,,"17,538",,Delta Center,,2002,November
"Wed, Nov 7, 2001",10:30p,Memphis Grizzlies,92,Los Angeles Clippers,108,Box Score,,"13,835",,STAPLES Center,,2002,November
"Thu, Nov 8, 2001",7:00p,San Antonio Spurs,105,Charlotte Hornets,95,Box Score,,"9,511",,Charlotte Coliseum,,2002,November
"Thu, Nov 8, 2001",7:30p,Seattle SuperSonics,94,New Jersey Nets,106,Box Score,,"5,277",,Continental Airlines Arena,,2002,November
"Thu, Nov 8, 2001",8:00p,Miami Heat,82,Milwaukee Bucks,86,Box Score,,"18,364",,Bradley Center,,2002,November
"Thu, Nov 8, 2001",8:00p,Chicago Bulls,74,Minnesota Timberwolves,127,Box Score,,"15,719",,Target Center,,2002,November
"Thu, Nov 8, 2001",8:30p,Denver Nuggets,91,Dallas Mavericks,105,Box Score,,"17,471",,American Airlines Center,,2002,November
"Thu, Nov 8, 2001",9:00p,Philadelphia 76ers,72,Houston Rockets,77,Box Score,,"12,351",,Compaq Center,,2002,November
"Thu, Nov 8, 2001",9:00p,Atlanta Hawks,80,Phoenix Suns,108,Box Score,,"13,206",,America West Arena,,2002,November
"Thu, Nov 8, 2001",10:00p,Los Angeles Clippers,101,Portland Trail Blazers,119,Box Score,,"19,980",,Rose Garden Arena,,2002,November
"Fri, Nov 9, 2001",7:00p,New York Knicks,95,Indiana Pacers,103,Box Score,,"16,494",,Conseco Fieldhouse,,2002,November
"Fri, Nov 9, 2001",7:00p,Golden State Warriors,109,Washington Wizards,100,Box Score,,"20,674",,MCI Center,,2002,November
"Fri, Nov 9, 2001",7:30p,Seattle SuperSonics,94,Boston Celtics,104,Box Score,,"15,575",2:03,FleetCenter,,2002,November
"Fri, Nov 9, 2001",7:30p,Sacramento Kings,105,Orlando Magic,115,Box Score,,"17,248",,TD Waterhouse Centre,,2002,November
"Fri, Nov 9, 2001",9:00p,Houston Rockets,81,Denver Nuggets,108,Box Score,,"11,451",,Pepsi Center,,2002,November
"Fri, Nov 9, 2001",10:30p,Memphis Grizzlies,86,Los Angeles Lakers,110,Box Score,,"18,997",,STAPLES Center,,2002,November
"Sat, Nov 10, 2001",1:00p,Cleveland Cavaliers,84,New Jersey Nets,87,Box Score,,"5,631",,Continental Airlines Arena,,2002,November
"Sat, Nov 10, 2001",3:30p,Phoenix Suns,102,Los Angeles Clippers,111,Box Score,,"17,111",,STAPLES Center,,2002,November
"Sat, Nov 10, 2001",7:30p,Sacramento Kings,90,Miami Heat,75,Box Score,,"17,853",,AmericanAirlines Arena,,2002,November
"Sat, Nov 10, 2001",7:30p,Golden State Warriors,90,New York Knicks,71,Box Score,,"19,763",,Madison Square Garden (IV),,2002,November
"Sat, Nov 10, 2001",8:00p,Portland Trail Blazers,96,Indiana Pacers,105,Box Score,,"18,345",,Conseco Fieldhouse,,2002,November
"Sat, Nov 10, 2001",8:30p,Charlotte Hornets,89,Chicago Bulls,85,Box Score,,"20,406",,United Center,,2002,November
"Sat, Nov 10, 2001",8:30p,Philadelphia 76ers,98,Dallas Mavericks,91,Box Score,,"19,857",,American Airlines Center,,2002,November
"Sat, Nov 10, 2001",8:30p,Minnesota Timberwolves,98,Milwaukee Bucks,82,Box Score,,"18,717",,Bradley Center,,2002,November
"Sat, Nov 10, 2001",8:30p,Atlanta Hawks,88,San Antonio Spurs,110,Box Score,,"20,403",,Alamodome,,2002,November
"Sat, Nov 10, 2001",9:00p,Toronto Raptors,117,Utah Jazz,96,Box Score,,"18,194",,Delta Center,,2002,November
"Sun, Nov 11, 2001",1:00p,Seattle SuperSonics,99,Washington Wizards,84,Box Score,,"20,674",,MCI Center,,2002,November
"Sun, Nov 11, 2001",6:00p,Portland Trail Blazers,100,Detroit Pistons,98,Box Score,,"13,671",,The Palace of Auburn Hills,,2002,November
"Sun, Nov 11, 2001",9:00p,Toronto Raptors,85,Denver Nuggets,96,Box Score,,"13,735",,Pepsi Center,,2002,November
"Sun, Nov 11, 2001",9:30p,Orlando Magic,95,Los Angeles Lakers,108,Box Score,,"18,997",,STAPLES Center,,2002,November
"Mon, Nov 12, 2001",8:00p,Golden State Warriors,86,Memphis Grizzlies,79,Box Score,,"11,126",,Pyramid Arena,,2002,November
"Mon, Nov 12, 2001",9:00p,Orlando Magic,98,Utah Jazz,105,Box Score,,"18,135",,Delta Center,,2002,November
"Tue, Nov 13, 2001",7:00p,New Jersey Nets,91,Indiana Pacers,82,Box Score,,"15,188",,Conseco Fieldhouse,,2002,November
"Tue, Nov 13, 2001",7:30p,Philadelphia 76ers,82,Miami Heat,76,Box Score,,"15,465",,AmericanAirlines Arena,,2002,November
"Tue, Nov 13, 2001",7:30p,Portland Trail Blazers,82,New York Knicks,89,Box Score,,"19,763",,Madison Square Garden (IV),,2002,November
"Tue, Nov 13, 2001",8:00p,Cleveland Cavaliers,107,Minnesota Timberwolves,103,Box Score,,"13,605",,Target Center,,2002,November
"Tue, Nov 13, 2001",8:00p,Toronto Raptors,86,Sacramento Kings,95,Box Score,,"17,317",,ARCO Arena (II),,2002,November
"Tue, Nov 13, 2001",8:30p,Houston Rockets,86,San Antonio Spurs,90,Box Score,,"15,643",,Alamodome,,2002,November
"Tue, Nov 13, 2001",9:00p,Chicago Bulls,93,Denver Nuggets,101,Box Score,,"11,307",,Pepsi Center,,2002,November
"Tue, Nov 13, 2001",10:00p,Phoenix Suns,92,Seattle SuperSonics,91,Box Score,,"10,880",,KeyArena at Seattle Center,,2002,November
"Wed, Nov 14, 2001",7:00p,Indiana Pacers,93,Boston Celtics,101,Box Score,,"14,081",2:08,FleetCenter,,2002,November
"Wed, Nov 14, 2001",7:00p,Dallas Mavericks,107,Cleveland Cavaliers,94,Box Score,,"12,414",,Gund Arena,,2002,November
"Wed, Nov 14, 2001",7:00p,Charlotte Hornets,86,Philadelphia 76ers,100,Box Score,,"20,153",,First Union Center,,2002,November
"Wed, Nov 14, 2001",7:00p,Milwaukee Bucks,107,Washington Wizards,98,Box Score,,"20,674",,MCI Center,,2002,November
"Wed, Nov 14, 2001",7:30p,Utah Jazz,79,Atlanta Hawks,111,Box Score,,"8,558",,Philips Arena,,2002,November
"Wed, Nov 14, 2001",8:00p,Orlando Magic,93,Phoenix Suns,92,Box Score,,"17,393",,America West Arena,,2002,November
"Wed, Nov 14, 2001",10:30p,Toronto Raptors,89,Golden State Warriors,82,Box Score,,"18,269",,The Arena in Oakland,,2002,November
"Wed, Nov 14, 2001",10:30p,Chicago Bulls,102,Los Angeles Clippers,106,Box Score,,"14,788",,STAPLES Center,,2002,November
"Thu, Nov 15, 2001",7:30p,Dallas Mavericks,89,Detroit Pistons,115,Box Score,,"13,445",,The Palace of Auburn Hills,,2002,November
"Thu, Nov 15, 2001",7:30p,Miami Heat,74,New York Knicks,83,Box Score,,"19,763",,Madison Square Garden (IV),,2002,November
"Thu, Nov 15, 2001",8:00p,Portland Trail Blazers,101,Memphis Grizzlies,85,Box Score,,"10,161",,Pyramid Arena,,2002,November
"Thu, Nov 15, 2001",9:00p,Orlando Magic,101,Denver Nuggets,82,Box Score,,"12,015",,Pepsi Center,,2002,November
"Thu, Nov 15, 2001",9:00p,Los Angeles Lakers,98,Houston Rockets,97,Box Score,OT,"16,285",,Compaq Center,,2002,November
"Fri, Nov 16, 2001",7:00p,Minnesota Timberwolves,120,Indiana Pacers,113,Box Score,2OT,"17,097",,Conseco Fieldhouse,,2002,November
"Fri, Nov 16, 2001",7:00p,Atlanta Hawks,78,Philadelphia 76ers,98,Box Score,,"20,424",,First Union Center,,2002,November
"Fri, Nov 16, 2001",7:00p,Utah Jazz,101,Washington Wizards,92,Box Score,,"20,674",,MCI Center,,2002,November
"Fri, Nov 16, 2001",7:30p,Charlotte Hornets,96,Miami Heat,87,Box Score,,"15,322",,AmericanAirlines Arena,,2002,November
"Fri, Nov 16, 2001",7:30p,New York Knicks,83,New Jersey Nets,109,Box Score,,"15,638",,Continental Airlines Arena,,2002,November
"Fri, Nov 16, 2001",8:30p,Cleveland Cavaliers,91,San Antonio Spurs,105,Box Score,,"19,222",,Alamodome,,2002,November
"Fri, Nov 16, 2001",9:00p,Los Angeles Lakers,83,Phoenix Suns,95,Box Score,,"19,023",,America West Arena,,2002,November
"Fri, Nov 16, 2001",10:00p,Chicago Bulls,71,Sacramento Kings,105,Box Score,,"17,317",,ARCO Arena (II),,2002,November
"Fri, Nov 16, 2001",10:00p,Golden State Warriors,91,Seattle SuperSonics,100,Box Score,,"11,714",,KeyArena at Seattle Center,,2002,November
"Fri, Nov 16, 2001",10:30p,Toronto Raptors,94,Los Angeles Clippers,85,Box Score,,"18,964",,STAPLES Center,,2002,November
"Sat, Nov 17, 2001",7:00p,Boston Celtics,103,Atlanta Hawks,112,Box Score,,"10,563",2:04,Philips Arena,,2002,November
