Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2025-26,NBA,SAS,62,20,1,,82,19730,3366,7469,0.451,1066,3028,0.352,2300,4441,0.518,1347,1705,0.79,856,2635,3491,2148,628,374,1064,1659,9145
2024-25,NBA,SAS,34,48,4,,82,19730,3595,7587,0.474,1177,3226,0.365,2418,4361,0.554,1201,1520,0.79,992,2794,3786,2296,664,356,1121,1428,9568
2023-24,NBA,SAS,22,60,5,,82,19830,3684,7570,0.487,1040,2791,0.373,2644,4779,0.553,1316,1679,0.784,860,2857,3717,2296,733,380,1098,1470,9724
2022-23,NBA,SAS,22,60,5,,82,19855,3780,7460,0.507,1036,2651,0.391,2744,4809,0.571,1496,1942,0.77,877,2811,3688,2198,665,431,1135,1516,10092
2021-22,NBA,SAS,34,48,4,,82,19805,3482,7475,0.466,992,2756,0.36,2490,4719,0.528,1313,1711,0.767,933,2902,3835,1970,601,403,1131,1553,9269
2020-21,NBA,SAS,33,39,3,,72,17480,3055,6469,0.472,885,2350,0.377,2170,4119,0.527,1128,1489,0.758,732,2681,3413,1784,454,369,949,1338,8123
2019-20,NBA,SAS,32,39,4,,71,17215,3004,6402,0.469,931,2493,0.373,2073,3909,0.53,1238,1594,0.777,665,2551,3216,1825,486,308,937,1424,8177
2018-19,NBA,SAS,48,34,2,,82,19805,3404,7354,0.463,961,2678,0.359,2443,4676,0.522,1249,1654,0.755,756,2844,3600,2025,589,332,999,1611,9018
2017-18,NBA,SAS,47,35,3,,82,19730,3131,6911,0.453,750,2154,0.348,2381,4757,0.501,1175,1549,0.759,756,2731,3487,1786,622,318,1155,1619,8187
2016-17,NBA,SAS,61,21,1,,82,19805,3032,6839,0.443,668,1942,0.344,2364,4897,0.483,1315,1705,0.771,800,2600,3400,1757,614,333,1184,1623,8047
2015-16,NBA,SAS,67,15,1,,82,19705,2928,6709,0.436,541,1634,0.331,2387,5075,0.47,1221,1611,0.758,747,2576,3323,1707,592,317,1214,1597,7618
2014-15,NBA,SAS,55,27,3,,82,19955,3044,6861,0.444,558,1550,0.36,2486,5311,0.468,1307,1754,0.745,813,2643,3456,1699,648,362,1167,1613,7953
2013-14,NBA,SAS,62,20,1,,82,19755,3096,6976,0.444,529,1500,0.353,2567,5476,0.469,1285,1691,0.76,862,2600,3462,1669,628,379,1137,1585,8006
2012-13,NBA,SAS,58,24,1,,82,19880,3079,6960,0.442,519,1471,0.353,2560,5489,0.466,1246,1639,0.76,912,2577,3489,1756,675,405,1221,1565,7923
Dec-11,NBA,SAS,50,16,1,,66,15940,2512,5560,0.452,412,1166,0.353,2100,4394,0.478,932,1233,0.756,680,2039,2719,1291,489,330,906,1244,6368
Nov-10,NBA,SAS,61,21,1,,82,19780,3127,6860,0.456,479,1305,0.367,2648,5555,0.477,1301,1698,0.766,884,2494,3378,1685,567,374,1095,1701,8034
Oct-09,NBA,SAS,50,32,2,,82,19780,3025,6691,0.452,412,1200,0.343,2613,5491,0.476,1433,1896,0.756,814,2427,3241,1576,567,417,1032,1672,7895
Sep-08,NBA,SAS,54,28,1,,82,19905,2973,6568,0.453,447,1180,0.379,2526,5388,0.469,1257,1635,0.769,745,2570,3315,1481,531,352,961,1511,7650
Aug-07,NBA,SAS,56,26,2,,82,19730,2857,6431,0.444,420,1227,0.342,2437,5204,0.468,1293,1710,0.756,776,2527,3303,1490,566,361,1058,1625,7427
Jul-06,NBA,SAS,58,24,2,,82,19780,2860,6463,0.443,368,1101,0.334,2492,5362,0.465,1300,1756,0.74,829,2379,3208,1416,580,337,1176,1739,7388
Jun-05,NBA,SAS,63,19,1,,82,19805,2782,6420,0.433,300,886,0.339,2482,5534,0.449,1414,1912,0.74,886,2417,3303,1336,599,343,1136,1709,7278
May-04,NBA,SAS,59,23,1,,82,19805,2712,6359,0.426,323,881,0.367,2389,5478,0.436,1501,1955,0.768,893,2403,3296,1385,594,421,1240,1891,7248
Apr-03,NBA,SAS,57,25,2,,82,19755,2613,6388,0.409,311,951,0.327,2302,5437,0.423,1372,1844,0.744,909,2459,3368,1419,635,380,1254,1837,6909
Mar-02,NBA,SAS,60,22,1,,82,19830,2862,6703,0.427,354,1043,0.339,2508,5660,0.443,1334,1737,0.768,1029,2322,3351,1559,665,422,1231,1915,7412
Feb-01,NBA,SAS,58,24,1,,82,19855,2883,6775,0.426,374,1108,0.338,2509,5667,0.443,1283,1651,0.777,1003,2429,3432,1543,635,428,1192,1896,7423
Jan-00,NBA,SAS,58,24,1,,82,19830,2837,6770,0.419,343,1043,0.329,2494,5727,0.435,1233,1664,0.741,967,2432,3399,1617,600,426,1107,1946,7250
1999-00,NBA,SAS,53,29,2,,82,19855,2884,6781,0.425,355,1036,0.343,2529,5745,0.44,1276,1726,0.739,986,2410,3396,1667,645,429,1181,1893,7399
1998-99,NBA,SAS,37,13,1,,50,12075,1631,4061,0.402,170,559,0.304,1461,3502,0.417,805,1148,0.701,696,1407,2103,941,437,243,730,1148,4237
1997-98,NBA,SAS,56,26,2,,82,19830,2737,6656,0.411,338,1029,0.328,2399,5627,0.426,1448,1956,0.74,1017,2236,3253,1556,730,378,1045,1845,7260
1996-97,NBA,SAS,20,62,6,,82,19730,3002,6379,0.471,552,1425,0.387,2450,4954,0.495,1508,2042,0.738,1048,2302,3350,1955,664,448,1180,1646,8064
1995-96,NBA,SAS,59,23,1,,82,19780,3017,6866,0.439,441,1337,0.33,2576,5529,0.466,1485,2034,0.73,1109,2473,3582,1849,604,428,1257,1972,7960
1994-95,NBA,SAS,62,20,1,,82,19855,3168,6974,0.454,426,1251,0.341,2742,5723,0.479,1491,2089,0.714,1017,2303,3320,1878,633,408,1182,2063,8253
1993-94,NBA,SAS,55,27,2,,82,19780,3066,6880,0.446,290,871,0.333,2776,6009,0.462,1349,1875,0.719,1089,2153,3242,1769,632,346,1020,1791,7771
1992-93,NBA,SAS,49,33,2,,82,19855,3290,7177,0.458,270,747,0.361,3020,6430,0.47,1583,2051,0.772,1082,2388,3470,1905,655,373,1131,1998,8433
1991-92,NBA,SAS,47,35,2,,82,19780,3211,7098,0.452,243,700,0.347,2968,6398,0.464,1587,2061,0.77,1103,2362,3465,1882,753,463,1252,1810,8252
1990-91,NBA,SAS,55,27,1,,82,19830,3265,7289,0.448,218,704,0.31,3047,6585,0.463,1664,2187,0.761,1122,2270,3392,1928,801,437,1260,2008,8412
1989-90,NBA,SAS,56,26,1,,82,19730,3269,7090,0.461,231,624,0.37,3038,6466,0.47,1663,2169,0.767,1125,2241,3366,1967,760,416,1420,1919,8432
1988-89,NBA,SAS,21,61,5,,82,19755,3486,7148,0.488,172,532,0.323,3314,6616,0.501,2105,2714,0.776,1256,2462,3718,2062,915,545,1728,1938,9249
1987-88,NBA,SAS,31,51,5,,82,19805,3851,7678,0.502,157,450,0.349,3694,7228,0.511,1855,2390,0.776,1292,2513,3805,2470,690,537,1427,1969,9714
1986-87,NBA,SAS,28,54,6,,82,19805,3704,7310,0.507,106,379,0.28,3598,6931,0.519,1786,2364,0.755,1100,2461,3561,2375,699,463,1417,1844,9300
1985-86,NBA,SAS,35,47,6,,82,19805,3629,7365,0.493,98,322,0.304,3531,7043,0.501,1916,2491,0.769,1157,2304,3461,2269,800,454,1519,2108,9272
