Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2025-26,NBA,SAS,62,20,1,,25.4,6月7日,217,,82,19730,3562,7371,0.483,1116,3108,0.359,2446,4263,0.574,1586,2016,0.787,935,2921,3856,2302,617,447,1103,1546,9826
2024-25,NBA,SAS,34,48,4,,26,6月6日,213,,82,19730,3426,7362,0.465,1158,3246,0.357,2268,4116,0.551,1332,1721,0.774,896,2685,3581,2348,674,455,1138,1363,9342
2023-24,NBA,SAS,22,60,5,,23,6月7日,212,,82,19830,3438,7436,0.462,1036,2983,0.347,2402,4453,0.539,1280,1637,0.782,849,2778,3627,2449,584,520,1242,1414,9192
2022-23,NBA,SAS,22,60,5,,23.9,6月6日,217,,82,19855,3533,7593,0.465,911,2640,0.345,2622,4953,0.529,1292,1739,0.743,965,2619,3584,2232,572,322,1253,1630,9269
2021-22,NBA,SAS,34,48,4,,24.5,6月6日,211,,82,19805,3546,7601,0.467,925,2626,0.352,2621,4975,0.527,1262,1673,0.754,901,2815,3716,2289,626,403,1043,1483,9279
2020-21,NBA,SAS,33,39,3,,26.2,6月6日,214,,72,17480,3014,6518,0.462,716,2046,0.35,2298,4472,0.514,1254,1584,0.792,669,2489,3158,1759,505,366,821,1293,7998
2019-20,NBA,SAS,32,39,4,,27.6,6月6日,216,,71,17215,2995,6350,0.472,760,2021,0.376,2235,4329,0.516,1348,1664,0.81,640,2530,3170,1751,518,390,895,1377,8098
2018-19,NBA,SAS,48,34,2,,28.8,6月6日,222,,82,19805,3468,7248,0.478,812,2071,0.392,2656,5177,0.513,1408,1720,0.819,757,2910,3667,2013,501,386,992,1487,9156
2017-18,NBA,SAS,47,35,3,,29.3,6月6日,214,,82,19730,3202,6999,0.457,696,1977,0.352,2506,5022,0.499,1324,1715,0.772,849,2777,3626,1868,628,460,1078,1408,8424
2016-17,NBA,SAS,61,21,1,,29.6,6月7日,222,,82,19805,3222,6864,0.469,753,1927,0.391,2469,4937,0.5,1440,1806,0.797,821,2777,3598,1954,655,484,1101,1498,8637
2015-16,NBA,SAS,67,15,1,,30.3,6月7日,223,,82,19705,3289,6797,0.484,570,1518,0.375,2719,5279,0.515,1342,1672,0.803,770,2831,3601,2010,677,485,1071,1433,8490
2014-15,NBA,SAS,55,27,3,,29.8,6月6日,215,,82,19955,3208,6854,0.468,677,1847,0.367,2531,5007,0.505,1368,1754,0.78,806,2772,3578,2000,657,444,1146,1564,8461
2013-14,NBA,SAS,62,20,1,,28.9,6月6日,213,,82,19755,3326,6844,0.486,698,1757,0.397,2628,5087,0.517,1289,1642,0.785,762,2786,3548,2064,604,420,1180,1495,8639
2012-13,NBA,SAS,58,24,1,,28.6,6月6日,217,,82,19880,3210,6675,0.481,663,1764,0.376,2547,4911,0.519,1365,1725,0.791,666,2721,3387,2058,695,446,1206,1427,8448
Dec-11,NBA,SAS,50,16,1,,27.5,6月6日,221,,66,15940,2611,5463,0.478,552,1405,0.393,2059,4058,0.507,1067,1427,0.748,683,2153,2836,1528,490,293,895,1143,6841
Nov-10,NBA,SAS,61,21,1,,28.8,6月6日,217,,82,19780,3148,6628,0.475,685,1727,0.397,2463,4901,0.503,1521,1984,0.767,829,2603,3432,1836,602,372,1101,1556,8502
Oct-09,NBA,SAS,50,32,2,,28.7,6月6日,217,,82,19780,3150,6659,0.473,554,1547,0.358,2596,5112,0.508,1458,1969,0.74,887,2621,3508,1829,516,381,1116,1669,8312
Sep-08,NBA,SAS,54,28,1,,30.4,6月6日,213,,82,19905,3042,6534,0.466,625,1620,0.386,2417,4914,0.492,1249,1641,0.761,728,2638,3366,1736,474,329,963,1546,7958
Aug-07,NBA,SAS,56,26,2,,31.4,6月6日,212,,82,19730,2938,6424,0.457,594,1610,0.369,2344,4814,0.487,1350,1774,0.761,771,2612,3383,1718,521,337,1035,1537,7820
Jul-06,NBA,SAS,58,24,2,,30.4,6月7日,212,,82,19780,2999,6328,0.474,595,1561,0.381,2404,4767,0.504,1486,1980,0.751,761,2577,3338,1814,587,417,1137,1588,8079
Jun-05,NBA,SAS,63,19,1,,29.8,6月7日,210,,82,19805,2993,6342,0.472,524,1362,0.385,2469,4980,0.496,1327,1891,0.702,851,2548,3399,1717,543,467,1126,1714,7837
May-04,NBA,SAS,59,23,1,,28.5,6月6日,212,,82,19805,2923,6450,0.453,507,1395,0.363,2416,5055,0.478,1535,2120,0.724,987,2489,3476,1771,613,543,1126,1717,7888
Apr-03,NBA,SAS,57,25,2,,27.3,6月7日,215,,82,19755,2842,6434,0.442,408,1140,0.358,2434,5294,0.46,1409,2069,0.681,1029,2669,3698,1676,661,537,1203,1667,7501
Mar-02,NBA,SAS,60,22,1,,28.4,6月7日,213,,82,19830,2908,6297,0.462,449,1270,0.354,2459,5027,0.489,1591,2194,0.725,939,2556,3495,1636,629,529,1295,1672,7856
Feb-01,NBA,SAS,58,24,1,,28.5,6月7日,214,,82,19855,2913,6363,0.458,438,1211,0.362,2475,5152,0.48,1668,2249,0.742,907,2566,3473,1643,625,537,1180,1575,7932
Jan-00,NBA,SAS,58,24,1,,29.5,6月7日,216,,82,19830,2884,6262,0.461,445,1094,0.407,2439,5168,0.472,1673,2340,0.715,902,2712,3614,1778,568,576,1145,1551,7886
