player,season,game_rank,career_games,team_games,date,team,location,opponent,result,game_started,minutes_played,fg,fga,fg_pct,three_p,three_pa,three_p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_type
Chet Holmgren,2023-24,1,1,1,2023-10-25 00:00:00,OKC,@,CHI,"W, 124-104",*,"1 day, 1:07:00",4,7,0.571,2,3,0.667,1,3,0.333,0,4,4,3,1,0,1,3,11,regular
Chet Holmgren,2023-24,2,2,2,2023-10-27 00:00:00,OKC,@,CLE,"W, 108-105",*,"1 day, 6:50:00",5,9,0.556,3,4,0.75,3,4,0.75,1,12,13,2,1,7,1,3,16,regular
Chet Holmgren,2023-24,3,3,3,2023-10-29 00:00:00,OKC,,DEN,"L, 95-128",*,"1 day, 1:34:00",7,12,0.583,1,4,0.25,4,4,1,2,2,4,0,0,0,1,2,19,regular
Chet Holmgren,2023-24,4,4,4,2023-10-30 00:00:00,OKC,,DET,"W, 124-112",*,"1 day, 0:02:00",4,5,0.8,4,5,0.8,2,2,1,0,4,4,3,2,4,3,5,14,regular
Chet Holmgren,2023-24,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,regular
Chet Holmgren,2023-24,5,5,5,2023-11-01 00:00:00,OKC,,NOP,"L, 106-110",*,"1 day, 13:16:00",8,14,0.571,1,5,0.2,2,2,1,3,8,11,3,1,2,5,4,19,regular
Chet Holmgren,2023-24,6,6,6,2023-11-03 00:00:00,OKC,,GSW,"L, 139-141",*,"1 day, 7:59:00",7,9,0.778,2,2,1,8,8,1,3,5,8,5,1,1,2,4,24,regular
Chet Holmgren,2023-24,7,7,7,2023-11-06 00:00:00,OKC,,ATL,"W, 126-117",*,"1 day, 9:52:00",4,14,0.286,1,3,0.333,7,7,1,3,9,12,3,1,3,1,3,16,regular
Chet Holmgren,2023-24,8,8,8,2023-11-08 00:00:00,OKC,,CLE,"W, 128-120",*,"1 day, 5:17:00",7,10,0.7,1,1,1,0,0,,3,4,7,2,1,3,2,4,15,regular
Chet Holmgren,2023-24,9,9,9,2023-11-10 00:00:00,OKC,@,SAC,"L, 98-105",*,"1 day, 5:36:00",5,12,0.417,0,3,0,2,3,0.667,1,6,7,1,1,1,4,2,12,regular
Chet Holmgren,2023-24,10,10,10,2023-11-12 00:00:00,OKC,@,PHO,"W, 111-99",*,"1 day, 9:07:00",5,10,0.5,3,6,0.5,5,5,1,0,6,6,4,0,2,0,3,18,regular
Chet Holmgren,2023-24,11,11,11,2023-11-14 00:00:00,OKC,,SAS,"W, 123-87",*,"1 day, 5:39:00",3,10,0.3,1,5,0.2,2,2,1,0,7,7,3,2,1,2,2,9,regular
