player,season,game_rank,career_games,team_games,date,team,location,opponent,result,game_started,minutes_played,fg,fga,fg_pct,three_p,three_pa,three_p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_type
ChetHolmgren,2023-24,1.0,1.0,1.0,2023-10-25,OKC,@,CHI,"W, 124-104",*,25.116666666666667,4.0,7.0,0.571,2.0,3.0,0.667,1.0,3.0,0.333,0.0,4.0,4.0,3.0,1.0,0.0,1.0,3.0,11.0,regular
ChetHolmgren,2023-24,2.0,2.0,2.0,2023-10-27,OKC,@,CLE,"W, 108-105",*,30.833333333333332,5.0,9.0,0.556,3.0,4.0,0.75,3.0,4.0,0.75,1.0,12.0,13.0,2.0,1.0,7.0,1.0,3.0,16.0,regular
ChetHolmgren,2023-24,3.0,3.0,3.0,2023-10-29,OKC,,DEN,"L, 95-128",*,25.566666666666666,7.0,12.0,0.583,1.0,4.0,0.25,4.0,4.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,19.0,regular
ChetHolmgren,2023-24,4.0,4.0,4.0,2023-10-30,OKC,,DET,"W, 124-112",*,24.033333333333335,4.0,5.0,0.8,4.0,5.0,0.8,2.0,2.0,1.0,0.0,4.0,4.0,3.0,2.0,4.0,3.0,5.0,14.0,regular
ChetHolmgren,2023-24,5.0,5.0,5.0,2023-11-01,OKC,,NOP,"L, 106-110",*,37.266666666666666,8.0,14.0,0.571,1.0,5.0,0.2,2.0,2.0,1.0,3.0,8.0,11.0,3.0,1.0,2.0,5.0,4.0,19.0,regular
ChetHolmgren,2023-24,6.0,6.0,6.0,2023-11-03,OKC,,GSW,"L, 139-141",*,31.983333333333334,7.0,9.0,0.778,2.0,2.0,1.0,8.0,8.0,1.0,3.0,5.0,8.0,5.0,1.0,1.0,2.0,4.0,24.0,regular
ChetHolmgren,2023-24,7.0,7.0,7.0,2023-11-06,OKC,,ATL,"W, 126-117",*,33.86666666666667,4.0,14.0,0.286,1.0,3.0,0.333,7.0,7.0,1.0,3.0,9.0,12.0,3.0,1.0,3.0,1.0,3.0,16.0,regular
ChetHolmgren,2023-24,8.0,8.0,8.0,2023-11-08,OKC,,CLE,"W, 128-120",*,29.283333333333335,7.0,10.0,0.7,1.0,1.0,1.0,0.0,0.0,,3.0,4.0,7.0,2.0,1.0,3.0,2.0,4.0,15.0,regular
ChetHolmgren,2023-24,9.0,9.0,9.0,2023-11-10,OKC,@,SAC,"L, 98-105",*,29.6,5.0,12.0,0.417,0.0,3.0,0.0,2.0,3.0,0.667,1.0,6.0,7.0,1.0,1.0,1.0,4.0,2.0,12.0,regular
ChetHolmgren,2023-24,10.0,10.0,10.0,2023-11-12,OKC,@,PHO,"W, 111-99",*,33.11666666666667,5.0,10.0,0.5,3.0,6.0,0.5,5.0,5.0,1.0,0.0,6.0,6.0,4.0,0.0,2.0,0.0,3.0,18.0,regular
ChetHolmgren,2023-24,11.0,11.0,11.0,2023-11-14,OKC,,SAS,"W, 123-87",*,29.65,3.0,10.0,0.3,1.0,5.0,0.2,2.0,2.0,1.0,0.0,7.0,7.0,3.0,2.0,1.0,2.0,2.0,9.0,regular
ChetHolmgren,2023-24,12.0,12.0,12.0,2023-11-16,OKC,@,GSW,"W, 128-109",*,27.1,4.0,7.0,0.571,0.0,2.0,0.0,5.0,5.0,1.0,1.0,9.0,10.0,2.0,0.0,2.0,4.0,2.0,13.0,regular
ChetHolmgren,2023-24,13.0,13.0,13.0,2023-11-18,OKC,@,GSW,"W, 130-123 (OT)",*,36.95,14.0,22.0,0.636,2.0,5.0,0.4,6.0,7.0,0.857,4.0,6.0,10.0,5.0,2.0,2.0,4.0,2.0,36.0,regular
ChetHolmgren,2023-24,14.0,14.0,14.0,2023-11-19,OKC,@,POR,"W, 134-91",*,20.05,6.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,1.0,16.0,regular
ChetHolmgren,2023-24,15.0,15.0,15.0,2023-11-22,OKC,,CHI,"W, 116-102",*,31.783333333333335,5.0,11.0,0.455,0.0,3.0,0.0,8.0,11.0,0.727,5.0,8.0,13.0,2.0,1.0,4.0,2.0,3.0,18.0,regular
ChetHolmgren,2023-24,16.0,16.0,16.0,2023-11-25,OKC,,PHI,"L, 123-127",*,31.516666666666666,13.0,21.0,0.619,5.0,11.0,0.455,2.0,2.0,1.0,1.0,5.0,6.0,2.0,0.0,3.0,1.0,3.0,33.0,regular
ChetHolmgren,2023-24,17.0,17.0,17.0,2023-11-28,OKC,@,MIN,"L, 103-106",*,33.833333333333336,6.0,20.0,0.3,3.0,8.0,0.375,1.0,2.0,0.5,2.0,6.0,8.0,6.0,1.0,1.0,0.0,2.0,16.0,regular
ChetHolmgren,2023-24,18.0,18.0,18.0,2023-11-30,OKC,,LAL,"W, 133-110",*,28.266666666666666,8.0,15.0,0.533,1.0,6.0,0.167,1.0,1.0,1.0,1.0,4.0,5.0,1.0,2.0,0.0,2.0,3.0,18.0,regular
ChetHolmgren,2023-24,19.0,19.0,19.0,2023-12-02,OKC,@,DAL,"W, 126-120",*,30.316666666666666,4.0,10.0,0.4,0.0,3.0,0.0,3.0,4.0,0.75,3.0,8.0,11.0,3.0,1.0,4.0,2.0,3.0,11.0,regular
ChetHolmgren,2023-24,20.0,20.0,20.0,2023-12-06,OKC,@,HOU,"L, 101-110",*,25.983333333333334,2.0,9.0,0.222,0.0,4.0,0.0,0.0,0.0,,1.0,4.0,5.0,2.0,1.0,6.0,1.0,2.0,4.0,regular
ChetHolmgren,2023-24,21.0,21.0,21.0,2023-12-08,OKC,,GSW,"W, 138-136 (OT)",*,34.583333333333336,6.0,12.0,0.5,1.0,4.0,0.25,8.0,8.0,1.0,2.0,5.0,7.0,1.0,0.0,3.0,3.0,4.0,21.0,regular
ChetHolmgren,2023-24,22.0,22.0,22.0,2023-12-11,OKC,,UTA,"W, 134-120",*,25.033333333333335,6.0,9.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,2.0,6.0,8.0,2.0,1.0,2.0,3.0,2.0,16.0,regular
