player,season,game_rank,career_games,team_games,date,team,location,opponent,result,game_started,minutes_played,fg,fga,fg_pct,three_p,three_pa,three_p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_type
Wembanyama,2023-24,1.0,1.0,1.0,2023-10-25,SAS,,DAL,"L, 119-126",*,23.316666666666666,6.0,9.0,0.667,3.0,5.0,0.6,0.0,1.0,0.0,0.0,5.0,5.0,2.0,2.0,1.0,5.0,5.0,15.0,regular
Wembanyama,2023-24,2.0,2.0,2.0,2023-10-27,SAS,,HOU,"W, 126-122 (OT)",*,30.983333333333334,7.0,19.0,0.368,0.0,6.0,0.0,7.0,8.0,0.875,5.0,7.0,12.0,1.0,3.0,3.0,4.0,2.0,21.0,regular
Wembanyama,2023-24,3.0,3.0,3.0,2023-10-29,SAS,@,LAC,"L, 83-123",*,26.266666666666666,4.0,10.0,0.4,0.0,2.0,0.0,3.0,6.0,0.5,1.0,4.0,5.0,2.0,1.0,1.0,5.0,1.0,11.0,regular
Wembanyama,2023-24,4.0,4.0,4.0,2023-10-31,SAS,@,PHO,"W, 115-114",*,28.216666666666665,6.0,12.0,0.5,2.0,6.0,0.333,4.0,5.0,0.8,3.0,5.0,8.0,1.0,0.0,4.0,5.0,3.0,18.0,regular
Wembanyama,2023-24,5.0,5.0,5.0,2023-11-02,SAS,@,PHO,"W, 132-121",*,34.35,15.0,26.0,0.577,3.0,6.0,0.5,5.0,6.0,0.833,2.0,8.0,10.0,2.0,1.0,2.0,2.0,3.0,38.0,regular
Wembanyama,2023-24,6.0,6.0,6.0,2023-11-05,SAS,,TOR,"L, 116-123 (OT)",*,37.9,7.0,16.0,0.438,2.0,7.0,0.286,4.0,5.0,0.8,2.0,7.0,9.0,4.0,1.0,5.0,2.0,1.0,20.0,regular
Wembanyama,2023-24,7.0,7.0,7.0,2023-11-06,SAS,@,IND,"L, 111-152",*,21.283333333333335,3.0,12.0,0.25,2.0,5.0,0.4,5.0,6.0,0.833,1.0,9.0,10.0,0.0,1.0,2.0,2.0,1.0,13.0,regular
Wembanyama,2023-24,8.0,8.0,8.0,2023-11-08,SAS,@,NYK,"L, 105-126",*,30.183333333333334,4.0,14.0,0.286,0.0,4.0,0.0,6.0,6.0,1.0,4.0,5.0,9.0,2.0,0.0,1.0,3.0,2.0,14.0,regular
Wembanyama,2023-24,9.0,9.0,9.0,2023-11-10,SAS,,MIN,"L, 110-117",*,34.9,12.0,21.0,0.571,3.0,7.0,0.429,2.0,4.0,0.5,1.0,8.0,9.0,4.0,1.0,4.0,3.0,5.0,29.0,regular
Wembanyama,2023-24,10.0,10.0,10.0,2023-11-12,SAS,,MIA,"L, 113-118",*,34.4,8.0,22.0,0.364,2.0,9.0,0.222,0.0,0.0,,1.0,10.0,11.0,7.0,1.0,1.0,7.0,3.0,18.0,regular
Wembanyama,2023-24,11.0,11.0,11.0,2023-11-14,SAS,@,OKC,"L, 87-123",*,28.333333333333332,4.0,15.0,0.267,0.0,3.0,0.0,0.0,0.0,,3.0,11.0,14.0,2.0,0.0,2.0,5.0,2.0,8.0,regular
Wembanyama,2023-24,12.0,12.0,12.0,2023-11-17,SAS,,SAC,"L, 120-129",*,30.466666666666665,12.0,26.0,0.462,2.0,8.0,0.25,1.0,1.0,1.0,1.0,8.0,9.0,0.0,2.0,0.0,4.0,3.0,27.0,regular
Wembanyama,2023-24,13.0,13.0,13.0,2023-11-18,SAS,,MEM,"L, 108-120",*,31.116666666666667,6.0,17.0,0.353,2.0,6.0,0.333,5.0,6.0,0.833,4.0,9.0,13.0,4.0,1.0,8.0,2.0,5.0,19.0,regular
