game_id,team_id,season_id,game_date,game_number,is_home,opp_team_abbr,opp_team_name,result,team_score,opp_score,game_type,is_win
LAL_2025-10-21_GSW,LAL,2025-2026,2025-10-21,1,True,GSW,Golden State Warriors,L,109,119,regular,False
LAL_2025-10-24_MIN,LAL,2025-2026,2025-10-24,2,True,MIN,Minnesota Timberwolves,W,128,110,regular,True
LAL_2025-10-26_SAC,LAL,2025-2026,2025-10-26,3,False,SAC,Sacramento Kings,W,127,120,regular,True
LAL_2025-10-27_POR,LAL,2025-2026,2025-10-27,4,True,POR,Portland Trail Blazers,L,108,122,regular,False
LAL_2025-10-29_MIN,LAL,2025-2026,2025-10-29,5,False,MIN,Minnesota Timberwolves,W,116,115,regular,True
LAL_2025-10-31_MEM,LAL,2025-2026,2025-10-31,6,False,MEM,Memphis Grizzlies,W,117,112,regular,True
LAL_2025-11-02_MIA,LAL,2025-2026,2025-11-02,7,True,MIA,Miami Heat,W,130,120,regular,True
LAL_2025-11-03_POR,LAL,2025-2026,2025-11-03,8,False,POR,Portland Trail Blazers,W,123,115,regular,True
LAL_2025-11-05_SAS,LAL,2025-2026,2025-11-05,9,True,SAS,San Antonio Spurs,W,118,116,regular,True
LAL_2025-11-08_ATL,LAL,2025-2026,2025-11-08,10,False,ATL,Atlanta Hawks,L,102,122,regular,False
LAL_2025-11-10_CHO,LAL,2025-2026,2025-11-10,11,False,CHO,Charlotte Hornets,W,121,111,regular,True
LAL_2025-11-12_OKC,LAL,2025-2026,2025-11-12,12,False,OKC,Oklahoma City Thunder,L,92,121,regular,False
LAL_2025-11-14_NOP,LAL,2025-2026,2025-11-14,13,False,NOP,New Orleans Pelicans,W,118,104,regular,True
LAL_2025-11-15_MIL,LAL,2025-2026,2025-11-15,14,False,MIL,Milwaukee Bucks,W,119,95,regular,True
LAL_2025-11-18_UTA,LAL,2025-2026,2025-11-18,15,True,UTA,Utah Jazz,W,140,126,regular,True
LAL_2025-11-23_UTA,LAL,2025-2026,2025-11-23,16,False,UTA,Utah Jazz,W,108,106,regular,True
LAL_2025-11-25_LAC,LAL,2025-2026,2025-11-25,17,True,LAC,Los Angeles Clippers,W,135,118,regular,True
LAL_2025-11-28_DAL,LAL,2025-2026,2025-11-28,18,True,DAL,Dallas Mavericks,W,129,119,regular,True
