player_id,player_name,from_year,to_year,position,height,weight,birth_date,colleges,player_url
abdelal01,Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke,https://www.basketball-reference.com/players/a/abdelal01.html
abdulza01,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State,https://www.basketball-reference.com/players/a/abdulza01.html
abdulka01,Kareem Abdul-Jabbar*,1970,1989,C,7-2,225,"April 16, 1947",UCLA,https://www.basketball-reference.com/players/a/abdulka01.html
abdulma02,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",LSU,https://www.basketball-reference.com/players/a/abdulma02.html
abdulta01,Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974","Michigan,San Jose State",https://www.basketball-reference.com/players/a/abdulta01.html
abdursh01,Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",California,https://www.basketball-reference.com/players/a/abdursh01.html
abernto01,Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana,https://www.basketball-reference.com/players/a/abernto01.html
ablefo01,Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky,https://www.basketball-reference.com/players/a/ablefo01.html
abramjo01,John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem University,https://www.basketball-reference.com/players/a/abramjo01.html
abrinal01,Álex Abrines,2017,2019,G-F,6-6,200,"August 1, 1993",,https://www.basketball-reference.com/players/a/abrinal01.html
achiupr01,Precious Achiuwa,2021,2026,F,6-8,243,"September 19, 1999",Memphis,https://www.basketball-reference.com/players/a/achiupr01.html
ackeral01,Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine,https://www.basketball-reference.com/players/a/ackeral01.html
ackerdo01,Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,https://www.basketball-reference.com/players/a/ackerdo01.html
acresma01,Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts,https://www.basketball-reference.com/players/a/acresma01.html
actonbu01,Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,https://www.basketball-reference.com/players/a/actonbu01.html
acyqu01,Quincy Acy,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor,https://www.basketball-reference.com/players/a/acyqu01.html
adamsal01,Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",Oklahoma,https://www.basketball-reference.com/players/a/adamsal01.html
adamsdo01,Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern,https://www.basketball-reference.com/players/a/adamsdo01.html
adamsge01,George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,https://www.basketball-reference.com/players/a/adamsge01.html
adamsha01,Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",Arizona,https://www.basketball-reference.com/players/a/adamsha01.html
adamsja01,Jaylen Adams,2019,2021,G,6-0,225,"May 4, 1996",St. Bonaventure,https://www.basketball-reference.com/players/a/adamsja01.html
adamsjo01,Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994",UCLA,https://www.basketball-reference.com/players/a/adamsjo01.html
adamsmi01,Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,https://www.basketball-reference.com/players/a/adamsmi01.html
adamsst01,Steven Adams,2014,2026,C,6-11,265,"July 20, 1993",Pitt,https://www.basketball-reference.com/players/a/adamsst01.html
addisra01,Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse,https://www.basketball-reference.com/players/a/addisra01.html
adebaba01,Bam Adebayo,2018,2026,C-F,6-9,255,"July 18, 1997",Kentucky,https://www.basketball-reference.com/players/a/adebaba01.html
adelde01,Deng Adel,2019,2019,F,6-7,200,"February 1, 1997",Louisville,https://www.basketball-reference.com/players/a/adelde01.html
adelmri01,Rick Adelman*,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount,https://www.basketball-reference.com/players/a/adelmri01.html
adrieje01,Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",UConn,https://www.basketball-reference.com/players/a/adrieje01.html
afflaar01,Arron Afflalo,2008,2018,G-F,6-5,210,"October 15, 1985",UCLA,https://www.basketball-reference.com/players/a/afflaar01.html
agbajoc01,Ochai Agbaji,2023,2026,G,6-5,215,"April 20, 2000",Kansas,https://www.basketball-reference.com/players/a/agbajoc01.html
agerma01,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State,https://www.basketball-reference.com/players/a/agerma01.html
aguirma01,Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul,https://www.basketball-reference.com/players/a/aguirma01.html
ahearbl01,Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State,https://www.basketball-reference.com/players/a/ahearbl01.html
aingeda01,Danny Ainge,1982,1995,G,6-5,185,"March 17, 1959",BYU,https://www.basketball-reference.com/players/a/aingeda01.html
aitchma01,Matt Aitch,1968,1968,F,6-7,230,"September 21, 1944","Moberly Area Community College,Michigan State",https://www.basketball-reference.com/players/a/aitchma01.html
ajincal01,Alexis Ajinça,2009,2017,C-F,7-2,248,"May 6, 1988",,https://www.basketball-reference.com/players/a/ajincal01.html
akinhe01,Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,https://www.basketball-reference.com/players/a/akinhe01.html
akognjo01,Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","Washington State,Cal State Fullerton",https://www.basketball-reference.com/players/a/akognjo01.html
akoonde01,DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,"June 5, 1993",Illinois State,https://www.basketball-reference.com/players/a/akoonde01.html
alabiso01,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State,https://www.basketball-reference.com/players/a/alabiso01.html
alarima01,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke,https://www.basketball-reference.com/players/a/alarima01.html
alcorga01,Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936",Fresno State,https://www.basketball-reference.com/players/a/alcorga01.html
aldamsa01,Santi Aldama,2022,2026,F-C,7-0,215,"January 10, 2001",Loyola (MD),https://www.basketball-reference.com/players/a/aldamsa01.html
aldemfu01,Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",,https://www.basketball-reference.com/players/a/aldemfu01.html
