series_name,game_number,game_date,home_team,away_team,home_score,away_score,winner
东部首轮 G1,1,2026-04-19,Orlando Magic,Detroit Pistons,112,101,Orlando Magic
东部首轮 G1,2,2026-04-22,Orlando Magic,Detroit Pistons,83,98,Detroit Pistons
东部首轮 G1,3,2026-04-25,Detroit Pistons,Orlando Magic,105,113,Orlando Magic
东部首轮 G1,4,2026-04-27,Detroit Pistons,Orlando Magic,88,94,Orlando Magic
东部首轮 G1,5,2026-04-29,Orlando Magic,Detroit Pistons,109,116,Detroit Pistons
东部首轮 G1,6,2026-05-01,Detroit Pistons,Orlando Magic,93,79,Detroit Pistons
东部首轮 G1,7,2026-05-03,Orlando Magic,Detroit Pistons,94,116,Detroit Pistons
东部首轮 G2,1,2026-04-19,Philadelphia 76ers,Boston Celtics,91,123,Boston Celtics
东部首轮 G2,2,2026-04-21,Philadelphia 76ers,Boston Celtics,111,97,Philadelphia 76ers
东部首轮 G2,3,2026-04-24,Boston Celtics,Philadelphia 76ers,108,100,Boston Celtics
东部首轮 G2,4,2026-04-26,Boston Celtics,Philadelphia 76ers,128,96,Boston Celtics
东部首轮 G2,5,2026-04-28,Philadelphia 76ers,Boston Celtics,113,97,Philadelphia 76ers
东部首轮 G2,6,2026-04-30,Boston Celtics,Philadelphia 76ers,93,106,Philadelphia 76ers
东部首轮 G2,7,2026-05-02,Boston Celtics,Philadelphia 76ers,100,109,Philadelphia 76ers
东部首轮 G3,1,2026-04-18,Atlanta Hawks,New York Knicks,102,113,New York Knicks
东部首轮 G3,2,2026-04-20,Atlanta Hawks,New York Knicks,107,106,Atlanta Hawks
东部首轮 G3,3,2026-04-23,New York Knicks,Atlanta Hawks,108,109,Atlanta Hawks
东部首轮 G3,4,2026-04-25,New York Knicks,Atlanta Hawks,114,98,New York Knicks
东部首轮 G3,5,2026-04-28,Atlanta Hawks,New York Knicks,97,126,New York Knicks
东部首轮 G3,6,2026-04-30,New York Knicks,Atlanta Hawks,140,89,New York Knicks
东部首轮 G4,1,2026-04-18,Toronto Raptors,Cleveland Cavaliers,113,126,Cleveland Cavaliers
东部首轮 G4,2,2026-04-20,Toronto Raptors,Cleveland Cavaliers,105,115,Cleveland Cavaliers
东部首轮 G4,3,2026-04-23,Cleveland Cavaliers,Toronto Raptors,104,126,Toronto Raptors
东部首轮 G4,4,2026-04-26,Cleveland Cavaliers,Toronto Raptors,89,93,Toronto Raptors
东部首轮 G4,5,2026-04-29,Toronto Raptors,Cleveland Cavaliers,120,125,Cleveland Cavaliers
东部首轮 G4,6,2026-05-01,Cleveland Cavaliers,Toronto Raptors,110,112,Toronto Raptors
东部首轮 G4,7,2026-05-03,Toronto Raptors,Cleveland Cavaliers,102,114,Cleveland Cavaliers
西部首轮 G1,1,2026-04-19,Phoenix Suns,Oklahoma City Thunder,84,119,Oklahoma City Thunder
西部首轮 G1,2,2026-04-22,Phoenix Suns,Oklahoma City Thunder,107,120,Oklahoma City Thunder
西部首轮 G1,3,2026-04-25,Oklahoma City Thunder,Phoenix Suns,121,109,Oklahoma City Thunder
西部首轮 G1,4,2026-04-27,Oklahoma City Thunder,Phoenix Suns,131,122,Oklahoma City Thunder
西部首轮 G2,1,2026-04-19,Portland Trail Blazers,San Antonio Spurs,98,111,San Antonio Spurs
西部首轮 G2,2,2026-04-21,Portland Trail Blazers,San Antonio Spurs,106,103,Portland Trail Blazers
西部首轮 G2,3,2026-04-24,San Antonio Spurs,Portland Trail Blazers,120,108,San Antonio Spurs
西部首轮 G2,4,2026-04-26,San Antonio Spurs,Portland Trail Blazers,114,93,San Antonio Spurs
西部首轮 G2,5,2026-04-28,Portland Trail Blazers,San Antonio Spurs,95,114,San Antonio Spurs
西部首轮 G3,1,2026-04-18,Minnesota Timberwolves,Denver Nuggets,105,116,Denver Nuggets
西部首轮 G3,2,2026-04-20,Minnesota Timberwolves,Denver Nuggets,119,114,Minnesota Timberwolves
西部首轮 G3,3,2026-04-23,Denver Nuggets,Minnesota Timberwolves,96,113,Minnesota Timberwolves
西部首轮 G3,4,2026-04-25,Denver Nuggets,Minnesota Timberwolves,96,112,Minnesota Timberwolves
西部首轮 G3,5,2026-04-27,Minnesota Timberwolves,Denver Nuggets,113,125,Denver Nuggets
西部首轮 G3,6,2026-04-30,Denver Nuggets,Minnesota Timberwolves,98,110,Minnesota Timberwolves
西部首轮 G4,1,2026-04-18,Houston Rockets,Los Angeles Lakers,98,107,Los Angeles Lakers
西部首轮 G4,2,2026-04-21,Houston Rockets,Los Angeles Lakers,94,101,Los Angeles Lakers
西部首轮 G4,3,2026-04-23,Los Angeles Lakers,Houston Rockets,104,111,Houston Rockets
西部首轮 G4,4,2026-04-25,Los Angeles Lakers,Houston Rockets,101,108,Houston Rockets
西部首轮 G4,5,2026-04-27,Houston Rockets,Los Angeles Lakers,99,112,Los Angeles Lakers
西部首轮 G4,6,2026-04-29,Los Angeles Lakers,Houston Rockets,106,98,Los Angeles Lakers
